timestep,n_updates,ep_rew_mean,ep_len_mean,policy_loss,value_loss,entropy_loss,explained_variance,clip_fraction,approx_kl,fps
4096,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8192,10,0.0,0.0,-0.00253869,1.417665,-2.834084,-0.342954,0.027026,0.00382364,0
12288,20,0.0,0.0,-0.00254758,0.28012,-2.846958,0.778962,0.027441,0.00390624,0
16384,30,0.0,0.0,-0.00321182,0.123315,-2.874326,0.924161,0.047119,0.00488677,0
20480,40,0.0,0.0,-0.00391143,0.460947,-2.88373,0.905054,0.027661,0.00498601,0
24576,50,0.0,0.0,-0.00199478,0.491058,-2.889132,0.859994,0.028394,0.00417341,0
28672,60,0.0,0.0,-0.00266407,0.093258,-2.904489,0.975792,0.069385,0.00868616,0
32768,70,0.0,0.0,-0.00146123,0.437248,-2.918117,0.884311,0.025171,0.00510391,0
36864,80,0.0,0.0,-0.00413973,0.529962,-2.922773,0.924282,0.048999,0.00453415,0
40960,90,0.0,0.0,-0.00334426,0.381759,-2.929353,0.9259,0.039355,0.00460974,0
45056,100,0.0,0.0,-0.00226948,0.566146,-2.918182,0.903197,0.039478,0.00550557,0
49152,110,0.0,0.0,-0.00191635,0.601741,-2.909637,0.898886,0.03623,0.0051576,0
53248,120,0.0,0.0,-0.00420795,0.41556,-2.900816,0.930114,0.039771,0.00490853,0
57344,130,0.0,0.0,-0.00335586,0.327188,-2.889663,0.950708,0.027271,0.00412469,0
61440,140,0.0,0.0,-0.0029414,0.337865,-2.87851,0.94893,0.044922,0.00426053,0
65536,150,0.0,0.0,-0.00203266,0.697865,-2.884652,0.874133,0.029102,0.00364987,0
69632,160,0.0,0.0,-0.00278926,0.772445,-2.897123,0.850794,0.047168,0.00739816,0
73728,170,0.0,0.0,-0.00350579,0.70371,-2.910116,0.846453,0.07688,0.00629678,0
77824,180,0.0,0.0,-0.00110096,0.774373,-2.906784,0.833734,0.030908,0.0049725,0
81920,190,0.0,0.0,-0.0054533,0.545647,-2.925471,0.893951,0.057373,0.0050944,0
86016,200,0.0,0.0,-0.00386773,0.499778,-2.952333,0.910253,0.071143,0.00804663,0
90112,210,0.0,0.0,-0.00150467,0.557893,-2.970546,0.902298,0.036865,0.00508798,0
94208,220,0.0,0.0,-0.00244566,0.373573,-2.977697,0.932586,0.040186,0.00382261,0
