timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
5590,35,157,2.0398,0.2,-0.336095,0.0,0.009908,0.00201047,-0.179983,-0.966031,0.36081,0.696558,0.193097,3939.4,58.1,48.0,528.9,100.0,1.0
5745,36,155,-3.971519,0.301994,0.6,0.001471,3.9e-05,0.00256176,-0.7649,-1.0,-1.0,-0.714503,0.252744,915.4,80.2,52.4,569.1,100.0,1.0
5906,37,161,-0.372087,1.0,0.748988,0.0,0.0,0.00262539,-0.447055,-1.0,0.047034,-0.02593,0.219899,2477.4,63.6,60.9,441.7,100.0,1.0
6075,38,169,0.803403,1.0,0.689348,0.001293,0.0,0.00384423,-0.610338,-1.0,-0.450372,-0.413061,0.206913,1350.5,57.5,63.1,364.0,100.0,1.0
6234,39,159,-0.566257,0.688299,-0.432094,0.004863,0.0,0.00221939,-0.389879,-1.0,-0.072519,0.201037,0.214689,2989.0,62.2,59.1,457.8,100.0,1.0
6391,40,157,-3.558769,0.59052,0.689235,0.00129,0.0,0.00222161,-0.587688,-1.0,-0.861395,-0.18481,0.230526,2279.4,69.9,55.8,702.5,100.0,1.0
6551,41,160,0.433028,0.2,-0.361027,0.014702,0.006279,0.00204939,-0.297501,-0.920707,-0.01919,0.407828,0.248236,4112.1,73.0,65.7,1017.2,100.0,1.0
6711,42,160,-0.301647,0.2,-0.255623,0.0,0.032453,0.00217323,-0.366678,-1.0,-0.383353,0.384764,0.21886,3454.5,62.4,62.9,569.7,100.0,1.0
6866,43,155,0.460122,0.577893,-0.239418,0.0,0.0,0.00205929,-0.287295,-1.0,-0.253787,0.598578,0.20745,3803.2,59.5,58.8,608.3,100.0,1.0
7029,44,163,3.729223,0.932497,-0.308167,0.010662,0.0,0.00218934,-0.109125,-0.714907,0.381275,0.629962,0.251391,4896.2,75.1,63.6,550.0,100.0,1.0
7189,45,160,0.1357,1.0,-0.467238,0.011404,0.0,0.00231522,-0.360358,-1.0,-0.035334,0.291814,0.221843,3227.8,62.5,65.7,514.3,100.0,1.0
7350,46,161,-2.81331,0.441076,0.689594,0.0,0.0,0.00222204,-0.541955,-1.0,-0.594828,-0.137971,0.205406,2097.3,60.8,53.3,572.3,100.0,1.0
7514,47,164,-1.118358,0.2,-0.466515,0.007062,0.131386,0.00233887,-0.45637,-1.0,-0.378021,0.083512,0.218109,2820.5,65.1,55.4,569.3,100.0,1.0
7674,48,160,2.175624,0.137726,-0.347457,0.013738,0.0,0.00277933,-0.302514,-0.965563,-0.141856,0.478755,0.228647,3941.2,66.6,62.1,237.4,100.0,1.0
7838,49,164,-0.79782,1.0,-0.399889,0.000975,0.0,0.00255995,-0.472062,-1.0,-0.610487,0.126703,0.245121,3108.0,69.0,72.7,561.9,100.0,1.0
8003,50,165,2.203012,0.354124,-0.249369,0.001238,0.0,0.0020837,-0.198722,-0.845437,0.048344,0.603899,0.232757,4398.9,68.6,61.3,677.8,100.0,1.0
8161,51,158,-0.4884,0.701659,-0.370094,0.000234,0.0,0.00245774,-0.419865,-1.0,-0.59165,0.272265,0.211899,2872.9,56.5,70.8,518.2,100.0,1.0
