scenario,level_idx,level_label,corner,episode,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,cum_reward
sensor_rate,0,0 %,yield,1,0.7934650182723999,-0.36358144879341125,0.3965577781200409,10643.101806640625,418.08577881568317,241.3768835067749,1.3006997101006408
sensor_rate,0,0 %,yield,2,0.6264800429344177,-0.47825539112091064,0.411791056394577,10006.889038085938,479.4917335510254,235.28358268737793,1.26822452951237
sensor_rate,0,0 %,yield,3,0.6794646382331848,-0.3966502845287323,0.18475431203842163,10208.760375976562,423.0034523010254,326.0982723236084,1.3854430935702378
sensor_rate,0,0 %,n_eff,1,-0.1484914869070053,0.3016471266746521,0.4546850323677063,7054.2474365234375,135.4869384765625,218.1259822845459,0.6870720427555752
sensor_rate,0,0 %,n_eff,2,0.19604027271270752,0.7797896265983582,0.31994134187698364,8366.913452148438,117.52671813964844,272.0234615058672,1.1885808966380191
sensor_rate,0,0 %,n_eff,3,-0.45492464303970337,0.44500547647476196,0.2808949947357178,5886.737060546875,101.84627532958984,287.64200592041016,0.9073365640000637
sensor_rate,0,0 %,water,1,0.7194276452064514,-0.025131940841674805,0.6558663845062256,10361.019287109375,265.70311737060547,137.65344429016113,1.0867366776409495
sensor_rate,0,0 %,water,2,1.0,0.09535131603479385,0.6127220988273621,11803.831787109375,269.4074401855469,154.91117095947266,1.1975884901967395
sensor_rate,0,0 %,water,3,-0.04396821931004524,-0.36086663603782654,0.48785361647605896,7452.4810791015625,291.5072784423828,204.858549118042,1.176320719100742
sensor_rate,0,0 %,balanced,1,0.6614165306091309,-0.004281798377633095,0.553631067276001,10139.996948242188,254.59002685546875,178.54757118225098,0.8012508317972705
sensor_rate,0,0 %,balanced,2,1.0,0.17782194912433624,0.5413209795951843,12261.920166015625,260.266845703125,183.47161483764648,1.1352227736269689
sensor_rate,0,0 %,balanced,3,0.5962762832641602,-0.01890990510582924,0.3650039732456207,9891.812744140625,252.06178283691406,253.99841499328613,0.8575385933739382
sensor_rate,1,2 %,yield,1,0.8254186511039734,-0.6762502193450928,0.362960547208786,10764.844970703125,831.2627105712891,254.8157787322998,1.3512595650439758
sensor_rate,1,2 %,yield,2,1.0,-0.6921262741088867,0.3935067355632782,11454.344482421875,930.1171531677246,242.5973062841822,1.6710914153706171
sensor_rate,1,2 %,yield,3,-0.08441674709320068,-0.7709380984306335,0.3802284896373749,7298.3721923828125,796.5502662658691,247.90860486010504,0.6022906102861476
sensor_rate,1,2 %,n_eff,1,0.562145471572876,0.09976424276828766,0.6577893495559692,9761.774291992188,221.90606689453125,136.88426685333252,0.5123877063272694
sensor_rate,1,2 %,n_eff,2,-0.040369708091020584,0.4095812141895294,0.6777347326278687,7466.19140625,132.41860961914062,128.90610122680664,0.8692142559642753
sensor_rate,1,2 %,n_eff,3,-1.0,-1.0,0.6646451950073242,3735.7940673828125,110.01708984375,134.1419162750244,-0.5533440051318017
sensor_rate,1,2 %,water,1,0.6970573663711548,-0.3018213212490082,0.7248637676239014,10275.78857421875,367.94981384277344,110.05449867248535,1.233345409076836
sensor_rate,1,2 %,water,2,0.2879486382007599,0.1746632158756256,0.7064317464828491,8717.084350585938,185.52305603027344,117.42730331420898,1.2260187943852854
sensor_rate,1,2 %,water,3,-0.23520737886428833,-0.5806301832199097,0.5714306235313416,6723.85986328125,400.83118438720703,171.42775535583496,1.247632812299615
