==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen_v3.csv
  Metrics log  → /workspace/training_metrics_nitrogen_v3.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
  -----  --------  ----  -------  ------  -----  -----  -------  -------  -------  -------
      1       161   161   +6.042    2298     58     80  -0.8242  -1.0000  -0.6051  -1.0000
      2       321   160   -5.747    3696     68     69  -0.8217  -1.0000  -0.4246  -1.0000
      3       482   161   -6.408    1627     52     66  -0.8504  -1.0000  -1.0000  -1.0000
      4       643   161   -5.677    2356     72     72  -0.8289  -1.0000  -0.4146  -1.0000
      5       800   157   -5.450    3992     64     69  -0.7488  -0.9523  +0.1201  -1.0000
      6       959   159   -5.571    3411     74     58  -0.8228  -1.0000  -0.3475  -1.0000
      7      1120   161   -4.817    1314     68     61  -0.8775  -1.0000  -1.0000  -1.0000
      8      1273   153   -2.431    2959     64     56  -0.7515  -1.0000  +0.1798  -1.0000
      9      1435   162   -6.205    1698     62     76  -0.8706  -1.0000  -1.0000  -1.0000
     10      1597   162   -4.185    4703     63     68  -0.7029  -0.7656  +0.0856  -1.0000
     11      1761   164   -5.365    2604     58     64  -0.8524  -1.0000  -0.9231  -1.0000
     12      1925   164   -5.728    1814     70     56  -0.8817  -1.0000  -1.0000  -1.0000
     13      2080   155   -7.537    1819     54     64  -0.8542  -1.0000  -1.0000  -1.0000
     14      2241   161   -4.091    1195     54     60  -0.8484  -1.0000  -0.9417  -1.0000
     15      2403   162   -5.808    3021     70     56  -0.8191  -1.0000  -0.3787  -1.0000
     16      2561   158   -5.894    3169     61     62  -0.8290  -1.0000  -0.6303  -1.0000
     17      2724   163   -4.834    4165     67     55  -0.7428  -0.9067  +0.0931  -1.0000
     18      2886   162   -6.690    2287     56     68  -0.8282  -1.0000  -0.6968  -1.0000
     19      3044   158   -5.678    2125     55     83  -0.8242  -1.0000  -0.6473  -1.0000
     20      3208   164   -4.376    4530     67     70  -0.7389  -0.8111  -0.0902  -1.0000
     21      3363   155   -5.836    4255     57     61  -0.7273  -0.8833  +0.0225  -1.0000
     22      3524   161   -6.104    4060     64     61  -0.7863  -0.9345  -0.3106  -1.0000
     23      3679   155   -6.535    3050     80     66  -0.8299  -1.0000  -0.2933  -1.0000
     24      3844   165   -6.270    3957     68     68  -0.7840  -0.9613  -0.1474  -1.0000
     25      3997   153   -7.032    2296     57     60  -0.8441  -1.0000  -0.8484  -1.0000
     26      4156   159   -4.737    4495     63     62  -0.6925  -0.8203  +0.3279  -1.0000
     27      4313   157   -5.781    3430     70     63  -0.8127  -1.0000  -0.2993  -1.0000
     28      4468   155   -5.216    2847     61     55  -0.8203  -1.0000  -0.5535  -1.0000
     29      4631   163   -5.579    3861     73     59  -0.8165  -0.9866  -0.3381  -1.0000
     30      4792   161   -5.498    2940     70     62  -0.8611  -1.0000  -0.7840  -1.0000
     31      4953   161   -6.366    3801     65     65  -0.7707  -1.0000  +0.0210  -1.0000
     32      5115   162   -5.331    2299     73     63  -0.8354  -1.0000  -0.4747  -1.0000
     33      5278   163   -5.029    1305     67     75  -0.8780  -1.0000  -1.0000  -1.0000
     34      5433   155   -6.349    2776     61     51  -0.8077  -1.0000  -0.4304  -1.0000
     35      5590   157   -5.678    3930     57     48  -0.7130  -0.9685  +0.3668  -1.0000
     36      5745   155   -5.866     899     80     51  -0.8978  -1.0000  -1.0000  -1.0000
     37      5906   161   -5.293    2454     63     60  -0.7657  -1.0000  +0.0378  -1.0000
     38      6075   169   -3.424    1294     57     62  -0.8083  -1.0000  -0.4929  -1.0000
     39      6234   159   -6.160    3004     62     60  -0.7738  -1.0000  -0.0693  -1.0000
     40      6391   157   -6.259    2254     70     56  -0.8674  -1.0000  -0.8739  -1.0000
     41      6551   160   -6.407    4117     73     66  -0.7688  -0.9195  -0.0167  -1.0000
     42      6711   160   -6.209    3452     62     63  -0.8065  -1.0000  -0.3841  -1.0000
     43      6866   155   -6.600    3796     59     60  -0.7875  -1.0000  -0.2569  -1.0000
     44      7029   163   -4.747    4954     75     64  -0.6738  -0.6997  +0.4179  -1.0000
     45      7189   160   -5.918    3221     62     66  -0.7717  -1.0000  -0.0366  -1.0000
     46      7350   161   -6.185    2070     60     53  -0.8243  -1.0000  -0.6080  -1.0000
     47      7514   164   -5.721    2831     65     56  -0.8073  -1.0000  -0.3582  -1.0000
     48      7674   160   -5.126    3948     66     63  -0.7809  -0.9637  -0.1425  -1.0000
     49      7838   164   -5.430    3058     68     73  -0.8445  -1.0000  -0.6364  -1.0000
     50      8003   165   -5.786    4389     68     62  -0.7359  -0.8481  +0.0446  -1.0000
     51      8161   158   -5.843    2863     56     71  -0.8181  -1.0000  -0.5959  -1.0000
     52      8317   156   -6.494    2598     47     78  -0.7906  -1.0000  -0.4602  -1.0000
     53      8477   160   -6.559    2177     70     58  -0.8740  -1.0000  -0.9333  -1.0000
     54      8637   160   -5.531     986     59     73  -0.8644  -1.0000  -1.0000  -1.0000
     55      8802   165   -5.504    4007     67     69  -0.7875  -0.9483  -0.2312  -1.0000
     56      8958   156   -6.326    1943     62     54  -0.8609  -1.0000  -0.9338  -1.0000
     57      9118   160   -5.791    4109     63     57  -0.7570  -0.9216  -0.0738  -1.0000
     58      9278   160   -5.232    1759     83     41  -0.8832  -1.0000  -0.8234  -1.0000
     59      9440   162   -5.120    1614     51     62  -0.8480  -1.0000  -1.0000  -1.0000
