timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
5590,35,157,2.092155,0.2,-0.336319,0.0,0.009907,0.00171508,-0.144988,-0.966935,0.361589,0.69763,0.434453,3936.0,58.0,47.9,528.9,100.0,1.0
5745,36,155,-4.544993,0.302124,0.6,0.001473,3.9e-05,0.00207224,-0.818429,-1.0,-1.0,-0.713816,0.592966,918.2,80.2,52.5,569.1,100.0,1.0
5906,37,161,-1.60278,1.0,0.748974,0.0,0.0,0.00219852,-0.449016,-1.0,0.052295,-0.02266,0.481572,2485.5,63.6,60.9,441.7,100.0,1.0
6075,38,169,-1.604438,-0.196564,0.689312,0.001301,0.0,0.00294448,-0.627619,-1.0,-0.450713,-0.412889,0.440182,1349.9,57.5,63.0,364.0,100.0,1.0
6234,39,159,-1.360963,0.688783,-0.432246,0.004821,0.0,0.00188184,-0.380294,-1.0,-0.070481,0.202546,0.470683,2990.7,62.2,59.1,457.8,100.0,1.0
6391,40,157,-5.172514,0.590242,0.689217,0.001294,0.0,0.00186408,-0.604802,-1.0,-0.860263,-0.18378,0.522264,2279.9,69.8,55.7,702.5,100.0,1.0
6551,41,160,-0.341489,0.2,-0.360644,0.014646,0.006269,0.0016966,-0.290765,-0.920401,-0.018784,0.409366,0.550122,4113.3,73.0,65.6,1017.2,100.0,1.0
6711,42,160,-0.93997,0.2,-0.255771,0.0,0.032395,0.00183116,-0.348127,-1.0,-0.383564,0.385752,0.473922,3453.8,62.3,62.9,569.7,100.0,1.0
6866,43,155,0.149679,0.577862,-0.238859,0.0,0.0,0.00170938,-0.254994,-1.0,-0.252712,0.601048,0.450446,3799.5,59.3,58.6,608.3,100.0,1.0
7029,44,163,3.269058,0.932916,-0.308315,0.010642,0.0,0.00183221,-0.105014,-0.716136,0.378568,0.629883,0.563411,4891.5,75.0,63.7,550.0,100.0,1.0
7189,45,160,-0.519242,1.0,-0.4672,0.01138,0.0,0.00197656,-0.34589,-1.0,-0.034218,0.293664,0.476253,3230.0,62.4,65.5,514.3,100.0,1.0
7350,46,161,-4.331941,0.441219,0.68953,0.0,0.0,0.00183445,-0.549005,-1.0,-0.595272,-0.137263,0.457178,2096.3,60.7,53.3,572.3,100.0,1.0
7514,47,164,-2.19517,0.2,-0.466398,0.006996,0.131241,0.00199713,-0.455845,-1.0,-0.377801,0.084541,0.488269,2820.1,65.0,55.4,569.3,100.0,1.0
7674,48,160,1.553261,0.135938,-0.347952,0.013753,0.0,0.00235148,-0.285846,-0.966046,-0.142681,0.477965,0.50375,3939.4,66.6,62.2,237.4,100.0,1.0
7838,49,164,-1.995209,1.0,-0.399916,0.000971,0.0,0.00216114,-0.471448,-1.0,-0.608784,0.127773,0.526452,3111.5,69.0,72.7,561.9,100.0,1.0
8003,50,165,1.838536,0.354207,-0.249938,0.001232,0.0,0.00176551,-0.183248,-0.846921,0.047178,0.604646,0.515849,4393.2,68.4,61.2,677.8,100.0,1.0
8161,51,158,-1.333585,0.702322,-0.37063,0.000199,0.0,0.002051,-0.401372,-1.0,-0.591319,0.272148,0.437461,2872.1,56.4,70.6,518.2,100.0,1.0
8317,52,156,-1.428966,0.2,-0.461514,0.019125,0.120272,0.00171639,-0.349636,-1.0,-0.45837,0.351877,0.384778,2611.2,48.3,77.9,544.0,100.0,1.0
8477,53,160,-5.502961,0.586596,-0.370238,0.00754,0.0,0.00163186,-0.621668,-1.0,-0.938431,-0.215249,0.512437,2146.8,68.4,56.2,748.5,100.0,1.0
8637,54,160,-4.067764,0.2,0.6,0.00047,0.07607,0.00215542,-0.746074,-1.0,-1.0,-0.583999,0.458369,983.9,59.1,74.1,422.8,100.0,1.0
8802,55,165,1.213636,0.2,-0.243332,0.013869,0.053124,0.00211023,-0.277692,-0.950033,-0.222218,0.50858,0.504809,4000.4,66.3,67.9,563.5,100.0,1.0
8958,56,156,-5.149707,0.2,-0.447053,0.004835,0.030525,0.00180374,-0.607155,-1.0,-0.934369,-0.207483,0.455492,1919.9,60.6,52.6,562.5,100.0,1.0
9118,57,160,1.663559,0.430218,-0.105081,0.003007,0.0,0.0019492,-0.214594,-0.950109,-0.098983,0.629805,0.462945,4000.1,61.4,55.7,486.4,100.0,1.0
9278,58,160,-3.798197,0.2,0.666336,0.006496,0.021856,0.00225524,-0.695435,-1.0,-0.802563,-0.435204,0.564284,1744.3,77.2,39.7,495.5,100.0,1.0
9440,59,162,-3.576961,0.618062,-0.509377,0.0,0.0,0.00230896,-0.597572,-1.0,-1.0,-0.198183,0.391041,1622.9,50.6,61.4,202.8,100.0,1.0
9603,60,163,-5.665871,0.537653,-0.432408,0.027398,6e-06,0.00155481,-0.60757,-1.0,-0.849833,-0.161404,0.580478,2552.8,76.1,79.6,886.9,100.0,1.0
9763,61,160,0.198102,0.2,-0.361762,0.000814,0.223535,0.00191221,-0.293793,-1.0,-0.361637,0.516098,0.441316,3607.8,59.5,41.5,389.8,100.0,1.0
9922,62,159,-4.097738,1.0,-0.481228,0.001352,0.0,0.00217214,-0.59153,-1.0,-1.0,-0.168221,0.413264,1855.8,55.8,38.0,474.9,100.0,1.0
10085,63,163,-2.640936,0.465553,-0.443162,0.0,6e-06,0.00188144,-0.460095,-1.0,-0.595321,0.109375,0.444219,2581.2,58.2,61.7,530.1,100.0,1.0
10247,64,162,-0.433754,0.42381,-0.333338,0.000288,0.0,0.00145973,-0.260991,-1.0,0.958074,0.268747,0.504298,3383.9,66.7,62.6,582.5,100.0,1.0
10405,65,158,1.859866,0.912787,-0.314281,0.0,0.0,0.00173698,-0.166236,-0.971943,0.391525,0.639553,0.445261,3916.9,59.7,45.3,495.3,100.0,1.0
10565,66,160,-0.993897,0.813232,-0.379078,0.0,0.0,0.00199936,-0.37696,-1.0,-0.688241,0.363101,0.426106,3023.4,55.5,63.3,515.9,100.0,1.0
10725,67,160,3.781809,0.2,0.762713,0.0,0.028121,0.00256931,-0.193836,-1.0,0.869079,0.457083,0.453616,3497.0,60.0,56.0,371.3,100.0,1.0
10884,68,159,-2.23463,1.0,-0.398411,0.0,0.0,0.00228734,-0.493485,-1.0,-0.883103,0.094143,0.440622,2438.4,55.7,84.4,606.1,100.0,1.0
11043,69,159,6.068952,0.942769,-0.193074,0.0,0.0,0.00210174,0.016052,-0.741371,0.44855,0.928411,0.471334,4795.4,62.2,60.3,427.5,100.0,1.0
11201,70,158,-5.023744,0.34942,0.702876,0.0,0.000145,0.00182928,-0.654995,-1.0,-0.750906,-0.349938,0.537129,1880.0,72.3,51.7,597.6,100.0,1.0
11362,71,161,-5.225264,0.2,-0.394235,0.006311,0.058715,0.00170807,-0.601694,-1.0,-1.0,-0.196562,0.414484,1699.2,52.9,73.9,536.8,100.0,1.0
11521,72,159,-4.049348,0.825015,-0.498441,0.014953,0.0,0.00186365,-0.530088,-1.0,-0.689766,-0.033253,0.497366,2495.3,64.5,76.1,690.9,100.0,1.0
11680,73,159,-4.117095,0.445981,0.645662,0.001376,0.0,0.00215035,-0.75633,-1.0,-1.0,-0.593305,0.493366,1028.3,63.2,84.8,366.1,100.0,1.0
11838,74,158,-5.161339,1.0,-0.516557,0.000172,0.0,0.00178754,-0.647108,-1.0,-1.0,-0.32012,0.42533,1511.8,55.6,60.3,549.1,100.0,1.0
11994,75,156,-4.561636,0.2,0.738311,0.015306,0.08765,0.0020322,-0.673708,-1.0,-0.856742,-0.372805,0.537758,1792.4,71.4,62.7,758.1,100.0,1.0
