episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
48,7674,160,-0.4282,0.0047,0.7356,0.2597,0.991,-0.8119,-1.0,11395.8,1514.2,1317.4,237.4,0.018915,
49,7838,164,0.8083,0.6943,0.2075,0.0982,1.0,-0.936,-1.0,12618.0,4932.2,1249.6,561.9,0.013605,
50,8003,165,-0.3174,0.0541,0.73,0.2159,0.826,-0.7857,-1.0,10767.2,1255.9,1247.1,677.8,0.014542,0.728986
51,8161,158,0.7387,0.7367,0.1119,0.1514,0.8528,-0.9467,-1.0,10869.0,5097.8,1482.3,518.2,0.010252,0.709236
52,8317,156,-0.0794,0.0,1.0,0.0,-0.2409,-0.2502,-1.0,6702.4,223.5,1661.0,544.0,0.01614,0.745313
53,8477,160,-0.1347,0.0,1.0,0.0,-0.3596,-0.2682,-1.0,6250.0,213.5,1580.9,748.5,0.005381,0.720185
54,8637,160,-0.4347,0.0287,0.6694,0.3019,0.6052,-0.8745,-1.0,9925.8,1976.8,1010.3,422.8,0.007964,0.722644
55,8802,165,1.1173,0.8426,0.0362,0.1211,1.0,-0.9374,-1.0,11923.8,4760.8,1148.9,563.5,0.014549,
56,8958,156,-0.0186,0.3195,0.4688,0.2117,0.7309,-0.9269,-1.0,10404.7,3556.5,1179.4,562.5,0.003316,
57,9118,160,0.8397,0.0236,0.1301,0.8463,0.3295,-0.9515,0.4013,8875.3,4576.8,239.5,486.4,0.013587,
58,9278,160,0.4138,0.4108,0.2271,0.3621,0.9147,-0.9274,-0.7691,11104.9,3825.1,707.6,495.5,0.004751,
59,9440,162,-0.7065,0.0,1.0,0.0,-0.7008,-1.0,-1.0,4950.0,141.7,851.3,202.8,0.01182,
60,9603,163,0.0921,0.2619,0.655,0.0831,1.0,-0.8366,-1.0,11871.4,1816.6,856.0,886.9,0.111663,0.732409
61,9763,160,-0.1779,0.1174,0.6595,0.2231,0.6502,-0.8653,-1.0,10097.2,1873.4,823.7,389.8,0.040505,0.703075
62,9922,159,-0.1382,0.0845,0.8049,0.1106,0.7726,-0.6062,-1.0,10563.7,670.5,967.5,474.9,0.026173,
63,10085,163,0.2987,0.5025,0.1429,0.3546,0.6521,-0.9291,-1.0,10104.3,3564.7,801.2,530.1,0.004787,0.699868
64,10247,162,0.8388,0.0749,0.13,0.7951,-0.6871,-0.9738,0.4707,5002.0,4781.1,211.7,582.5,0.006185,0.710939
65,10405,158,0.213,0.4016,0.1706,0.4278,0.6153,-0.9476,-0.8817,9964.2,4751.2,752.7,495.3,0.009267,0.698687
66,10565,160,-0.0008,0.0,1.0,0.0,-0.6102,-0.2414,-1.0,5295.1,174.5,1055.4,515.9,0.013688,0.704124
67,10725,160,0.7286,0.5737,0.4169,0.0094,1.0,-0.9127,-1.0,11839.8,3389.7,849.0,371.3,0.011157,0.675895
