timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
161,1,161,6.042238,0.642835,0.709471,0.000969,9.9e-05,0.00216725,-0.824192,-1.0,-0.605125,-1.0,0.454719,2297.8,58.1,79.5,358.1,100.0,1.0
321,2,160,-5.746903,0.635119,-0.281698,0.004779,0.0,0.00181923,-0.821684,-1.0,-0.424601,-1.0,0.516895,3696.3,67.9,69.0,635.9,100.0,1.0
482,3,161,-6.407967,0.2,-0.353822,0.020282,0.070707,0.00155245,-0.850376,-1.0,-1.0,-1.0,0.401506,1626.9,51.7,65.6,946.6,100.0,1.0
643,4,161,-5.676822,0.24336,0.711916,0.0,0.036121,0.0019132,-0.828942,-1.0,-0.414606,-1.0,0.549926,2355.6,72.4,72.5,613.3,100.0,1.0
800,5,157,-5.450119,0.77465,-0.311888,0.0,0.0,0.00209007,-0.748844,-0.95226,0.120083,-1.0,0.491149,3991.9,64.3,69.0,244.8,100.0,1.0
959,6,159,-5.570752,0.605931,-0.425735,0.006394,0.0,0.0020104,-0.822765,-1.0,-0.347504,-1.0,0.552058,3410.9,73.9,57.5,440.5,100.0,1.0
1120,7,161,-4.816801,0.362507,0.666535,0.007431,0.032064,0.00234819,-0.877465,-1.0,-1.0,-1.0,0.509858,1314.2,67.6,60.8,382.3,100.0,1.0
1273,8,153,-2.431007,0.498038,0.778897,0.001257,0.0,0.0034265,-0.751475,-1.0,0.179772,-1.0,0.47781,2958.7,63.5,55.9,231.3,100.0,1.0
1435,9,162,-6.205306,0.012701,-0.480438,0.000709,0.0,0.0018277,-0.870568,-1.0,-1.0,-1.0,0.482273,1698.2,62.4,76.2,500.8,100.0,1.0
1597,10,162,-4.184926,1.0,-0.238546,0.002849,0.0,0.00230689,-0.702859,-0.765593,0.085565,-1.0,0.480068,4703.1,62.7,68.5,654.1,100.0,1.0
1761,11,164,-5.364728,1.0,-0.295419,0.002845,0.0,0.00220302,-0.85241,-1.0,-0.923052,-1.0,0.440418,2604.3,57.5,63.7,359.1,100.0,1.0
1925,12,164,-5.727746,0.2,0.658622,0.008043,0.023872,0.00203181,-0.881659,-1.0,-1.0,-1.0,0.526635,1814.2,70.5,55.6,471.7,100.0,1.0
2080,13,155,-7.536569,0.259469,-0.31745,0.0,0.0,0.00123967,-0.854244,-1.0,-1.0,-1.0,0.416978,1819.3,54.1,63.9,1103.0,100.0,1.0
2241,14,161,-4.090616,0.424979,0.6,0.025037,1.3e-05,0.00288906,-0.84838,-1.0,-0.941733,-1.0,0.416827,1194.8,54.4,59.8,532.4,100.0,1.0
2403,15,162,-5.807866,0.2,-0.330355,0.003752,2e-06,0.00207181,-0.819121,-1.0,-0.378711,-1.0,0.525,3020.8,70.2,56.0,746.6,100.0,1.0
2561,16,158,-5.894301,1.0,-0.393804,0.013721,0.0,0.00208804,-0.828955,-1.0,-0.630305,-1.0,0.4637,3168.9,60.9,62.0,477.2,100.0,1.0
2724,17,163,-4.83442,0.2,-0.27073,0.0,0.0,0.00218169,-0.742809,-0.90674,0.093133,-1.0,0.501748,4165.3,66.9,55.2,569.5,100.0,1.0
2886,18,162,-6.690273,0.848704,-0.36531,0.005024,0.0,0.0016315,-0.82819,-1.0,-0.69682,-1.0,0.434031,2287.3,56.1,68.3,820.9,100.0,1.0
3044,19,158,-5.678192,0.373133,0.694087,0.000653,0.0,0.0021771,-0.824207,-1.0,-0.64727,-1.0,0.43792,2124.7,55.4,83.0,478.0,100.0,1.0
3208,20,164,-4.37617,1.0,-0.247178,0.0,0.0,0.0023727,-0.73887,-0.811136,-0.090161,-1.0,0.508278,4529.6,66.6,69.9,391.4,100.0,1.0
3363,21,155,-5.836295,0.273376,-0.177299,0.000483,0.0,0.00172142,-0.727322,-0.883264,0.022453,-1.0,0.435004,4254.8,57.0,60.6,571.7,100.0,1.0
3524,22,161,-6.104029,0.331607,-0.368948,0.0,0.0,0.00189623,-0.786283,-0.934454,-0.310634,-1.0,0.486425,4059.7,64.3,60.6,653.0,100.0,1.0
3679,23,155,-6.5355,0.38653,-0.385407,0.001236,0.0,0.00175171,-0.829869,-1.0,-0.293273,-1.0,0.602166,3050.1,80.4,66.1,552.0,100.0,1.0
3844,24,165,-6.27025,0.514312,-0.268047,0.005603,0.0,0.00177242,-0.783973,-0.961304,-0.147431,-1.0,0.515617,3957.4,67.9,67.7,708.2,100.0,1.0
3997,25,153,-7.032019,0.246421,-0.351244,0.005151,0.00901,0.00151107,-0.844147,-1.0,-0.848385,-1.0,0.437235,2296.0,57.3,60.5,944.9,100.0,1.0
4156,26,159,-4.736646,0.917685,-0.26561,0.003271,0.0,0.00203516,-0.692485,-0.820266,0.327853,-1.0,0.480817,4494.8,63.4,62.0,497.1,100.0,1.0
4313,27,157,-5.780757,-0.032878,-0.382188,0.003555,0.0,0.00207275,-0.812686,-1.0,-0.299271,-1.0,0.531036,3430.3,70.4,63.2,311.6,100.0,1.0
4468,28,155,-5.216283,0.2,-0.385658,0.016516,0.084322,0.00238226,-0.820331,-1.0,-0.553545,-1.0,0.459906,2846.9,61.0,54.7,296.2,100.0,1.0
4631,29,163,-5.578894,0.71688,-0.340991,0.005203,0.0,0.00210874,-0.816508,-0.986629,-0.338103,-1.0,0.544163,3860.9,72.7,58.7,526.3,100.0,1.0
4792,30,161,-5.498261,1.0,-0.336575,0.012265,0.0,0.00217936,-0.861141,-1.0,-0.783974,-1.0,0.530976,2940.0,70.5,62.0,442.2,100.0,1.0
4953,31,161,-6.365552,0.390227,-0.376765,0.009262,0.000178,0.00171999,-0.770715,-1.0,0.020971,-1.0,0.491248,3801.4,64.6,64.8,461.2,100.0,1.0
5115,32,162,-5.33128,0.2,0.731569,0.002401,0.046498,0.00223556,-0.835367,-1.0,-0.474706,-1.0,0.551584,2298.8,73.4,63.1,519.0,100.0,1.0
5278,33,163,-5.029413,0.819099,0.662675,0.000344,0.0,0.0023751,-0.877977,-1.0,-1.0,-1.0,0.511908,1305.2,66.7,74.7,445.0,100.0,1.0
5433,34,155,-6.348754,1.0,-0.290686,0.011878,0.0,0.00183635,-0.807735,-1.0,-0.430446,-1.0,0.45876,2776.5,61.2,50.6,546.8,100.0,1.0
5590,35,157,-5.677802,0.2,-0.335465,0.0,0.00998,0.00175338,-0.713032,-0.96854,0.366843,-1.0,0.430324,3929.9,57.3,48.2,528.9,100.0,1.0
5745,36,155,-5.865629,0.303805,0.6,0.000915,3.8e-05,0.00206224,-0.897783,-1.0,-1.0,-1.0,0.591134,899.0,80.0,51.4,569.1,100.0,1.0
5906,37,161,-5.292596,1.0,0.748403,0.0,0.0,0.00221485,-0.76571,-1.0,0.037847,-1.0,0.47798,2454.0,63.1,60.4,441.7,100.0,1.0
6075,38,169,-3.423727,1.0,0.686445,0.001236,0.0,0.0030232,-0.808265,-1.0,-0.492913,-1.0,0.435896,1294.1,57.0,62.0,364.0,100.0,1.0
6234,39,159,-6.160333,0.65807,-0.422857,0.0053,0.0,0.00185255,-0.773818,-1.0,-0.069341,-1.0,0.467534,3004.4,61.7,59.7,457.8,100.0,1.0
6391,40,157,-6.258529,0.592318,0.689092,0.001235,0.0,0.00186746,-0.867401,-1.0,-0.873909,-1.0,0.52004,2254.4,69.5,55.5,702.5,100.0,1.0
6551,41,160,-6.407134,0.2,-0.359387,0.01531,0.00651,0.00169712,-0.768781,-0.919538,-0.016721,-1.0,0.548898,4116.6,72.7,66.3,1017.2,100.0,1.0
6711,42,160,-6.208815,0.2,-0.257947,0.0,0.033149,0.00183246,-0.806512,-1.0,-0.384112,-1.0,0.472401,3451.6,62.1,63.2,569.7,100.0,1.0
6866,43,155,-6.599769,0.56764,-0.245336,0.0,0.0,0.00170473,-0.787513,-1.0,-0.256899,-1.0,0.447294,3795.8,58.8,59.7,608.3,100.0,1.0
7029,44,163,-4.747044,0.922264,-0.304696,0.011519,0.0,0.0018883,-0.673754,-0.69968,0.417904,-1.0,0.562498,4954.2,74.9,64.0,550.0,100.0,1.0
7189,45,160,-5.91828,1.0,-0.463311,0.011901,0.0,0.00197349,-0.771729,-1.0,-0.036615,-1.0,0.47227,3221.2,61.8,65.7,514.3,100.0,1.0
7350,46,161,-6.185257,0.438533,0.68856,0.0,0.0,0.00183602,-0.824312,-1.0,-0.608003,-1.0,0.454045,2069.7,60.3,52.9,572.3,100.0,1.0
7514,47,164,-5.721083,0.2,-0.464535,0.007261,0.132228,0.00199706,-0.807266,-1.0,-0.358233,-1.0,0.48577,2830.6,64.6,55.7,569.3,100.0,1.0
7674,48,160,-5.125732,0.061416,-0.345435,0.01448,0.0,0.00233164,-0.780894,-0.963656,-0.142492,-1.0,0.502923,3948.5,66.4,63.3,237.4,100.0,1.0
7838,49,164,-5.430099,1.0,-0.401105,0.001325,0.0,0.0021528,-0.844474,-1.0,-0.636375,-1.0,0.523346,3057.7,68.5,72.7,561.9,100.0,1.0
8003,50,165,-5.785957,0.337491,-0.247992,0.001219,0.0,0.00176809,-0.735907,-0.848116,0.044635,-1.0,0.513366,4388.7,68.0,61.7,677.8,100.0,1.0
8161,51,158,-5.843284,0.696087,-0.366779,0.000564,0.0,0.0020248,-0.81812,-1.0,-0.595912,-1.0,0.434115,2862.8,56.0,70.7,518.2,100.0,1.0
8317,52,156,-6.493774,0.2,-0.456537,0.019187,0.120328,0.00171726,-0.790598,-1.0,-0.4602,-1.0,0.378311,2598.4,47.4,77.8,544.0,100.0,1.0
8477,53,160,-6.559142,0.589469,-0.369725,0.007722,0.0,0.00165134,-0.874018,-1.0,-0.933291,-1.0,0.522755,2176.7,69.7,57.7,748.5,100.0,1.0
8637,54,160,-5.530855,0.2,0.6,0.000407,0.094649,0.00214546,-0.864359,-1.0,-1.0,-1.0,0.457434,985.9,59.1,73.1,422.8,100.0,1.0
8802,55,165,-5.503631,0.2,-0.243259,0.014329,0.060949,0.00208429,-0.787508,-0.948324,-0.231232,-1.0,0.509213,4006.9,66.9,68.8,563.5,100.0,1.0
8958,56,156,-6.326397,0.2,-0.451072,0.005003,0.030704,0.00179956,-0.860893,-1.0,-0.933757,-1.0,0.470067,1942.7,62.5,54.1,562.5,100.0,1.0
9118,57,160,-5.791056,0.433357,-0.096634,0.00365,0.0,0.00195852,-0.757022,-0.921592,-0.07384,-1.0,0.476962,4108.7,63.2,57.4,486.4,100.0,1.0
9278,58,160,-5.231799,0.2,0.666693,0.006814,0.013838,0.0022874,-0.883164,-1.0,-0.82339,-1.0,0.603301,1758.6,82.7,41.1,495.5,100.0,1.0
9440,59,162,-5.11958,0.632811,-0.510622,0.0,0.0,0.00230961,-0.848025,-1.0,-1.0,-1.0,0.392101,1614.4,50.7,62.3,202.8,100.0,1.0
9603,60,163,-6.692305,0.536546,-0.42767,0.027198,6e-06,0.00155881,-0.879725,-1.0,-0.85302,-1.0,0.577691,2555.1,75.7,79.4,886.9,100.0,1.0
9763,61,160,-6.017267,0.2,-0.358796,0.00091,0.222828,0.00190259,-0.799204,-1.0,-0.340347,-1.0,0.460676,3708.0,62.1,43.6,389.8,100.0,1.0
9922,62,159,-5.469224,1.0,-0.483876,0.001487,0.0,0.00219432,-0.857552,-1.0,-1.0,-1.0,0.430208,1903.2,58.1,39.6,474.9,100.0,1.0
10085,63,163,-6.089619,0.462037,-0.444244,0.0,6e-06,0.00184019,-0.822504,-1.0,-0.609246,-1.0,0.446317,2560.2,58.4,62.3,530.1,100.0,1.0
10247,64,162,-5.783463,0.438167,-0.333245,0.000361,0.0,0.001506,-0.686192,-1.0,0.929528,-1.0,0.516581,3370.3,68.5,61.5,582.5,100.0,1.0
10405,65,158,-5.634195,0.918128,-0.315177,0.0,0.0,0.00176207,-0.708278,-0.940787,0.42935,-1.0,0.464067,4035.6,62.3,46.8,495.3,100.0,1.0
10565,66,160,-5.826997,0.811005,-0.377705,0.0,0.0,0.00199862,-0.826038,-1.0,-0.695213,-1.0,0.426068,3019.3,55.4,64.3,515.9,100.0,1.0
10725,67,160,-3.473176,0.2,0.762679,0.0,0.028379,0.0025769,-0.678257,-1.0,0.862705,-1.0,0.458111,3507.2,60.6,56.3,371.3,100.0,1.0
10884,68,159,-5.038069,1.0,-0.394596,0.0,0.0,0.00239339,-0.844488,-1.0,-0.894396,-1.0,0.420195,2367.0,53.0,82.4,606.1,100.0,1.0
11043,69,159,-4.17869,0.943804,-0.18349,0.0,0.0,0.00210843,-0.654128,-0.720897,0.45793,-1.0,0.478787,4873.4,63.1,61.5,427.5,100.0,1.0
