episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
47,7514,164,0.959,0.0062,0.086,0.9078,-0.5887,-0.9748,0.3923,5376.9,5328.2,243.1,569.3,0.074935,
48,7674,160,1.0737,0.8329,0.0395,0.1276,0.991,-0.9405,-1.0,11395.8,4785.9,1220.7,237.4,0.115257,
49,7838,164,-0.0108,0.2279,0.3125,0.4597,1.0,-0.9189,-0.932,12618.0,3888.8,772.8,561.9,0.020757,
50,8003,165,0.4275,0.5501,0.0224,0.4274,0.826,-0.9473,-1.0,10767.2,5105.5,866.2,677.8,0.032646,0.278706
51,8161,158,0.1014,0.1745,0.7761,0.0495,0.8522,-0.5956,-1.0,10866.7,671.8,910.1,518.2,0.004945,0.290812
52,8317,156,0.133,0.3361,0.6493,0.0146,0.7738,-0.8457,-1.0,10568.2,1712.2,1079.9,544.0,0.001417,0.266428
53,8477,160,0.3317,0.2669,0.105,0.6281,0.5274,-0.936,-0.3384,9629.4,3763.4,535.4,748.5,0.004893,0.253792
54,8637,160,0.5414,0.6789,0.1105,0.2106,0.5986,-0.9284,-1.0,9900.8,3455.8,1029.6,422.8,0.001897,0.26884
55,8802,165,0.826,0.3479,0.0154,0.6366,0.8023,-0.933,-0.0775,10676.9,3985.1,431.0,563.5,0.020509,
56,8958,156,-0.1907,0.1772,0.656,0.1669,0.7303,-0.8445,-1.0,10402.5,1672.4,1281.5,562.5,0.011533,
57,9118,160,0.8805,0.1201,0.1211,0.7588,0.2396,-0.942,0.4467,8532.9,3677.4,221.3,486.4,0.009983,
58,9278,160,0.4272,0.37,0.0619,0.568,-0.0405,-0.9441,-0.1578,7465.9,3336.0,463.1,495.5,0.011985,
59,9440,162,0.0397,0.1972,0.757,0.0458,0.773,-0.7026,-1.0,10565.0,888.2,1249.2,202.8,0.011351,
60,9603,163,0.9283,0.0576,0.0432,0.8992,-0.2887,-0.9624,0.4817,6520.2,4338.1,207.3,886.9,0.005271,0.284057
61,9763,160,0.3066,0.4054,0.2321,0.3625,1.0,-0.9049,-1.0,12560.0,3300.9,850.0,389.8,0.002734,0.269335
62,9922,159,-0.0896,0.2881,0.6014,0.1105,0.082,-0.896,-0.8928,7932.6,1906.4,757.1,474.9,0.020175,
63,10085,163,-0.0284,0.3138,0.4703,0.2159,0.6671,-0.9249,-1.0,10161.6,3382.6,1059.9,530.1,0.009007,0.248835
64,10247,162,-0.3149,0.5111,0.3884,0.1005,-0.6317,-0.9642,-1.0,5213.1,3640.1,888.7,582.5,0.024589,0.252755
65,10405,158,-0.1489,0.1493,0.5417,0.309,0.7787,-0.8729,-0.9524,10586.8,2081.9,780.9,495.3,0.006468,0.298988
66,10565,160,0.2436,0.5466,0.1117,0.3417,0.4003,-0.9516,-0.9522,9145.3,4724.2,780.9,515.9,0.003989,0.272175
67,10725,160,0.5125,0.4999,0.1795,0.3206,1.0,-0.9095,-1.0,12180.0,3363.6,876.0,371.3,0.009429,0.274459
68,10884,159,1.0125,0.7827,0.0254,0.1919,1.0,-0.942,-1.0,11979.0,5164.5,976.9,606.1,0.008825,
69,11043,159,-0.3248,0.0092,0.7424,0.2484,0.6066,-0.7353,-1.0,9931.1,938.1,1005.8,427.5,0.003413,0.271472
70,11201,158,0.1013,0.3957,0.2533,0.351,0.408,-0.9258,-0.8257,9174.6,3090.6,730.3,597.6,0.006373,0.272686
71,11362,161,-0.2823,0.3135,0.4415,0.2449,-0.0955,-0.9446,-1.0,7256.2,3273.2,999.0,536.8,0.00473,
72,11521,159,0.4861,0.2445,0.1801,0.5754,0.6752,-0.945,-0.0708,10192.5,4633.4,428.3,690.9,0.008518,0.260063
73,11680,159,0.2064,0.3725,0.4433,0.1842,1.0,-0.9147,-1.0,11704.7,3432.0,1080.4,366.1,0.001182,
74,11838,158,-0.0621,0.1906,0.6488,0.1606,0.9561,-0.848,-1.0,11262.7,1851.9,1066.3,549.1,0.004329,
75,11994,156,0.3924,0.3451,0.0043,0.6506,-0.4961,-0.9629,0.0422,5729.8,3865.8,383.1,758.1,0.000796,
76,12145,151,0.1635,0.3026,0.6584,0.039,1.0,-0.8299,-1.0,12046.8,1770.4,930.7,247.5,0.013342,0.278473
77,12310,165,0.242,0.3002,0.1582,0.5417,0.2871,-0.9461,-0.4117,8714.0,4045.1,564.7,770.9,0.003574,
78,12475,165,0.8326,0.6947,0.2384,0.0669,1.0,-0.9321,-1.0,12273.6,4515.8,966.9,476.6,0.004958,0.266796
79,12637,162,0.9089,0.6986,0.2197,0.0817,1.0,-0.9367,-1.0,11774.3,4649.4,886.9,522.9,0.018238,0.282432
80,12791,154,-0.2436,0.0043,0.6036,0.3921,1.0,-0.8455,-0.6649,12574.1,2034.1,666.0,338.6,0.00608,0.260394
81,12959,168,-0.1594,0.0681,0.4665,0.4653,0.5883,-0.9356,-0.6284,9861.3,3829.0,651.4,544.1,0.004055,0.316606
82,13121,162,0.2047,0.3439,0.6,0.056,1.0,-0.8716,-1.0,12018.3,2339.2,1108.5,701.4,0.002874,0.265109
83,13278,157,0.6201,0.5473,0.3285,0.1243,0.9697,-0.9291,-1.0,11314.4,3988.0,855.9,249.4,0.006385,
84,13433,155,-0.133,0.0784,0.8751,0.0465,-0.0457,-0.3056,-1.0,7445.9,268.1,1515.1,664.9,0.001907,0.270336
85,13594,161,-0.3226,0.0248,0.7098,0.2654,1.0,-0.7811,-1.0,12238.2,1397.7,914.9,770.1,0.011478,
86,13755,161,-0.2061,0.1254,0.686,0.1886,0.7998,-0.8057,-1.0,10667.4,1372.4,986.9,941.7,0.001849,0.271766
87,13912,157,0.8921,0.7025,0.2445,0.053,0.9901,-0.9255,-1.0,11392.1,3823.5,877.4,251.6,0.030113,
88,14074,162,-0.0045,0.04,0.433,0.527,-0.5745,-0.9596,-0.3194,5431.0,3363.4,527.8,394.2,0.007793,
89,14235,161,0.3217,0.4345,0.5264,0.0391,0.8279,-0.9022,-1.0,10774.5,2754.5,933.3,389.1,0.008194,0.293503
90,14391,156,1.0325,0.1816,0.053,0.7655,0.7281,-0.9261,0.4829,10394.0,3516.8,206.8,715.6,0.004289,0.252567
91,14555,164,0.0281,0.2776,0.4536,0.2688,1.0,-0.9169,-1.0,11914.4,3586.0,1002.5,600.9,0.005455,0.262466
92,14713,158,-0.0641,0.3047,0.3876,0.3076,0.4239,-0.9279,-1.0,9234.9,3200.0,841.2,629.7,0.00262,0.261781
93,14873,160,-0.1426,0.1767,0.5759,0.2474,0.9358,-0.868,-1.0,11185.3,2118.3,1098.4,615.8,0.001167,0.272851
94,15029,156,0.2063,0.2306,0.2447,0.5247,1.0,-0.9183,-0.4754,12679.2,3878.3,590.1,616.5,0.001308,0.288993
95,15187,158,0.1845,0.2446,0.2549,0.5005,0.9649,-0.9278,-0.6782,11296.2,3911.9,671.3,514.4,0.003745,0.267467
96,15350,163,0.101,0.094,0.3229,0.5831,1.0,-0.9215,-0.369,11744.3,3738.2,547.6,850.0,0.013826,
97,15507,157,-0.1402,0.1441,0.6934,0.1625,0.8791,-0.7869,-1.0,10969.3,1286.8,1030.7,460.2,0.000578,0.266692
98,15669,162,0.174,0.3819,0.5409,0.0772,0.8261,-0.9075,-1.0,10767.4,2908.7,1082.9,672.7,0.003221,0.281797
99,15828,159,0.5945,0.4158,0.0029,0.5814,1.0,-0.9393,-0.457,11735.6,4836.4,582.8,547.0,0.000454,
100,15991,163,0.3532,0.4478,0.5052,0.047,0.9058,-0.9005,-1.0,11071.1,2780.9,1140.3,911.6,0.005866,0.281426
101,16151,160,0.6613,0.6022,0.026,0.3718,1.0,-0.9367,-1.0,12146.1,4794.4,900.1,571.9,0.003606,0.27369
102,16318,167,0.0446,0.2635,0.215,0.5216,0.9149,-0.9466,-0.8283,11105.8,5199.0,731.3,668.0,0.000788,
103,16477,159,-0.2059,0.1569,0.4492,0.3939,1.0,-0.9061,-1.0,12385.2,3298.8,1028.8,387.2,0.00744,0.260171
104,16637,160,0.3404,0.4167,0.5423,0.041,1.0,-0.8856,-1.0,11686.2,2553.2,954.0,448.9,0.000554,0.268796
105,16803,166,0.3518,0.6659,0.251,0.0831,0.3826,-0.9453,-1.0,9077.8,4150.2,1047.7,873.3,0.009949,0.273365
106,16970,167,1.0987,0.839,0.1346,0.0264,1.0,-0.9459,-1.0,11461.2,5297.8,1252.8,352.8,0.001008,
107,17127,157,0.3915,0.0771,0.2896,0.6332,1.0,-0.9324,0.0014,11878.2,4395.2,399.4,534.7,0.006091,0.278884
108,17290,163,0.4165,0.4726,0.2628,0.2646,1.0,-0.945,-1.0,11647.9,5295.6,1004.0,383.7,0.001647,
109,17456,166,0.9843,0.1891,0.0856,0.7253,0.5268,-0.949,0.3425,9627.2,4719.4,263.0,483.2,0.005441,
110,17618,162,-0.0307,0.1445,0.7694,0.0861,0.8283,-0.6549,-1.0,10775.7,780.6,1056.2,559.5,0.000913,
111,17774,156,-0.0464,0.246,0.6462,0.1079,0.6698,-0.8438,-1.0,10172.0,1628.5,937.0,451.9,0.000952,
