==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen_v2.csv
  Metrics log  → /workspace/training_metrics_nitrogen_v2.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
     62      9922   159   -1.328    1848     54     38  -0.4196  -1.0000  -1.0000  -0.1396
     63     10085   163   +0.271    2562     58     61  -0.2848  -1.0000  -0.6000  +0.1105
     64     10247   162   +1.564    3281     66     63  -0.1536  -1.0000  +0.8861  +0.2523
     65     10405   158   +5.881    3810     58     45  +0.0371  -1.0000  +0.3343  +0.6556
     66     10565   160   +3.087    3000     55     63  -0.1555  -1.0000  -0.6864  +0.3683
     67     10725   160   +7.102    3512     59     55  -0.0266  -1.0000  +0.8588  +0.4845
     68     10884   159   +1.360    2454     57     82  -0.3123  -1.0000  -0.8669  +0.0847
     69     11043   159  +10.555    4721     61     60  +0.2194  -0.7608  +0.4298  +0.9319
     70     11201   158   -4.745    1896     71     52  -0.5336  -1.0000  -0.7414  -0.3299
     71     11362   161   -3.470    1692     53     73  -0.4546  -1.0000  -1.0000  -0.2018
     72     11521   159   -1.509    2496     65     75  -0.3758  -1.0000  -0.6888  -0.0342
     73     11680   159   -3.582    1057     64     84  -0.6669  -1.0000  -1.0000  -0.5855
     74     11838   158   -4.338    1509     55     60  -0.5118  -1.0000  -1.0000  -0.3134
     75     11994   156   -4.095    1791     70     63  -0.5551  -1.0000  -0.8585  -0.3604
     76     12145   151   -2.360    1538     67     68  -0.5930  -1.0000  -1.0000  -0.4296
     77     12310   165   -4.090    1749     61     43  -0.5052  -1.0000  -0.9593  -0.2870
     78     12475   165   +4.061    3786     67     54  -0.1423  -1.0000  -0.5483  +0.4196
     79     12637   162  +11.640    4774     59     43  +0.2782  -0.7469  +0.7291  +1.0000
     80     12791   154   -3.899    1330     54     60  -0.5422  -1.0000  -1.0000  -0.3790
     81     12959   168   +2.860    3700     72     66  -0.1685  -1.0000  +0.4558  +0.2886
     82     13121   162   +7.811    5075     71     76  +0.1625  -0.6680  +0.7305  +0.7899
     83     13278   157   -0.145    1146     61     56  -0.6195  -1.0000  -0.8213  -0.5278
     84     13433   155   +0.047    2475     52     74  -0.2328  -1.0000  -0.5012  +0.1890
     85     13594   161   +6.111    4318     65     57  +0.0391  -0.8668  +0.0385  +0.6652
     86     13755   161   +6.527    3868     55     61  +0.0745  -0.9849  +0.1127  +0.7440
     87     13912   157   +1.750    2366     51     63  -0.2578  -1.0000  -0.8737  +0.1681
     88     14074   162   +0.630    2196     62     53  -0.3957  -1.0000  -0.4070  -0.1171
     89     14235   161   +1.781    2468     52     58  -0.2169  -1.0000  -0.1546  +0.1818
     90     14391   156   -0.939    3212     72     60  -0.2966  -1.0000  -0.4190  +0.1180
     91     14555   164   +0.391    2825     65     55  -0.3202  -1.0000  -0.8265  +0.0862
     92     14713   158   -1.651    2125     69     67  -0.4558  -1.0000  -0.1783  -0.2316
     93     14873   160   +9.907    4400     56     65  +0.2125  -0.8450  +0.3429  +0.9460
     94     15029   156   +9.976    5044     65     49  +0.2089  -0.6760  -0.0970  +0.9402
     95     15187   158   +6.770    3905     55     59  +0.0971  -0.9751  +0.2401  +0.7709
     96     15350   163   +6.811    4602     65     54  +0.1029  -0.7923  +0.0401  +0.7632
     97     15507   157  +11.617    5929     72     72  +0.2805  -0.4439  +0.1325  +1.0000
     98     15669   162   +2.029    3064     60     64  -0.1999  -1.0000  -0.5668  +0.2849
     99     15828   159   +4.767    4350     70     57  -0.0196  -0.8581  +0.0374  +0.5612
    100     15991   163   +3.128    2963     54     57  -0.1234  -1.0000  -0.2026  +0.3786

  ── rolling mean (last 100 ep) ──  cum_R=+1.747  yield=2972 kg/ha  N=63  W=62 mm  R_seas=-0.2412  R_ane=+0.1792

    101     16151   160   +0.566    2977     66     52  -0.2836  -1.0000  -0.4529  +0.1253
    102     16318   167   +3.229    3626     63     68  -0.1276  -1.0000  -0.5304  +0.4387
    103     16477   159   -3.239    2005     70     50  -0.5205  -1.0000  -1.0000  -0.2818
    104     16637   160  +13.002    6266     55     76  +0.3665  -0.3554  +0.9021  +1.0000
    105     16803   166   +2.278    3473     63     62  -0.1395  -1.0000  -0.2434  +0.3836
    106     16970   167  +13.081    5969     66     54  +0.3199  -0.4333  +0.5978  +1.0000
    107     17127   157   -1.781    1832     51     73  -0.4008  -1.0000  -0.9441  -0.1059
    108     17290   163  +12.047    5061     58     61  +0.2934  -0.6716  +0.7852  +1.0000
    109     17456   166   +2.353    2324     46     75  -0.2059  -1.0000  -0.8917  +0.2611
    110     17618   162   -3.457    1832     67     64  -0.5353  -1.0000  -1.0000  -0.3168
    111     17774   156   +8.824    3494     46     56  +0.1503  -1.0000  -0.3969  +0.9165
    112     17936   162   +5.560    2816     47     76  -0.0781  -1.0000  -0.5614  +0.4884
    113     18091   155  +10.986    4222     50     77  +0.2722  -0.8917  +0.9818  +1.0000
    114     18249   158   +0.944    2473     54     66  -0.2457  -1.0000  -0.3668  +0.1527
    115     18410   161   +1.755    2852     62     66  -0.2561  -1.0000  -0.1836  +0.1439
    116     18568   158   -3.144    1828     58     47  -0.4620  -1.0000  -0.9540  -0.2116
    117     18733   165  +10.492    4996     65     58  +0.2431  -0.6888  +0.8175  +0.9245
    118     18897   164   -4.067    1226     51     57  -0.5494  -1.0000  -1.0000  -0.4021
    119     19055   158   -2.617    1051     65     53  -0.6705  -1.0000  -1.0000  -0.5969
    120     19211   156   +7.402    4125     57     53  +0.0935  -0.9174  -0.2594  +0.7967
    121     19373   162   +8.377    5083     70     56  +0.1469  -0.6658  +0.1011  +0.8123
    122     19533   160   +3.227    3109     55     63  -0.1084  -1.0000  -0.1333  +0.4085
    123     19687   154   +1.155    2379     55     67  -0.2812  -1.0000  -0.4118  +0.0898
    124     19846   159   +2.778    2748     55     46  -0.1891  -1.0000  -0.2098  +0.2491
    125     20008   162   -0.775    1994     52     81  -0.3573  -1.0000  -0.6000  -0.0472
    126     20165   157   -0.751    2691     65     63  -0.3481  -1.0000  -0.8665  +0.0364
    127     20321   156  +12.079    5592     55     60  +0.3261  -0.5324  +0.7483  +1.0000
    128     20481   160   -0.369    1981     59     72  -0.4319  -1.0000  -0.6879  -0.1655
    129     20642   161   +6.824    3833     56     56  +0.0666  -0.9940  +0.4536  +0.6995
    130     20805   163   -5.065    1244     62     63  -0.6156  -1.0000  -1.0000  -0.4962
    131     20969   164   +2.145    3162     63     74  -0.2044  -1.0000  -0.2757  +0.2603
    132     21137   168   -1.218    2846     66     78  -0.3091  -1.0000  -0.4156  +0.0777
    133     21298   161   +0.298    2480     68     52  -0.3909  -1.0000  -0.4804  -0.0817
    134     21462   164   -0.626    2873     68     59  -0.3344  -1.0000  -0.6603  +0.0537
    135     21619   157   -1.896    2231     64     60  -0.4051  -1.0000  -0.4430  -0.1248
    136     21772   153   -3.374    1605     52     55  -0.4661  -1.0000  -1.0000  -0.2326
    137     21931   159   +2.144    2748     51     60  -0.1537  -1.0000  -0.4578  +0.3364
    138     22091   160   +8.369    3902     55     61  +0.0982  -0.9759  +0.1962  +0.7775
    139     22252   161   +1.875    3374     66     62  -0.1815  -1.0000  +0.1935  +0.2689
    140     22409   157   +0.979    2621     53     38  -0.2120  -1.0000  -0.6480  +0.2375
    141     22571   162   +2.432    2987     59     42  -0.1919  -1.0000  -0.4026  +0.2740
    142     22731   160   +1.717    2408     48     49  -0.2050  -1.0000  -0.7007  +0.2442
    143     22886   155   -0.592    1209     51     46  -0.5454  -1.0000  -0.9173  -0.4070
    144     23045   159   -0.228    1824     53     69  -0.4042  -1.0000  -0.5632  -0.1447
    145     23203   158   +4.068    3454     55     45  -0.0401  -1.0000  -0.4781  +0.5733
    146     23361   158   +2.785    3642     62     44  -0.1029  -1.0000  -0.3152  +0.4576
    147     23519   158   +3.736    2995     54     78  -0.1296  -1.0000  -0.3806  +0.3907
    148     23677   158   +0.360    2784     61     52  -0.2703  -1.0000  -0.5635  +0.1442
    149     23839   162   -2.156    2427     72     54  -0.4429  -1.0000  -0.6458  -0.1540
    150     23997   158   -2.209    1972     58     64  -0.4184  -1.0000  -0.6672  -0.1484
    151     24157   160   +3.893    3244     58     39  -0.1196  -1.0000  -0.2731  +0.4022
    152     24323   166   +4.840    3479     56     47  -0.0504  -1.0000  -0.4385  +0.5531
    153     24484   161   +4.870    3350     59     47  -0.1372  -1.0000  -0.6350  +0.4109
    154     24645   161   +0.114    2052     50     59  -0.3067  -1.0000  -0.5351  +0.0319
    155     24805   160   +0.505    2192     48     64  -0.2691  -1.0000  -0.9552  +0.1441
    156     24973   168   +2.012    2801     52     57  -0.1522  -1.0000  -0.5284  +0.3474
    157     25130   157   -1.432     699     54     55  -0.6889  -1.0000  -1.0000  -0.6738
    158     25292   162   +8.335    4048     58     49  +0.0854  -0.9376  +0.1225  +0.7506
    159     25457   165   -1.555    1800     49     79  -0.3785  -1.0000  -0.7045  -0.0899
    160     25621   164   +6.739    3709     55     49  +0.0400  -1.0000  +0.0388  +0.6835
    161     25782   161   +3.575    2457     45     64  -0.1290  -1.0000  -0.3776  +0.3573
    162     25940   158   +1.168    2737     54     40  -0.1940  -1.0000  -0.4757  +0.2613
    163     26094   154   -3.612    1255     55     58  -0.5700  -1.0000  -1.0000  -0.4298
    164     26256   162   +0.418    3321     67     37  -0.2275  -1.0000  -0.4096  +0.2328
    165     26408   152   +1.053    1634     34     87  -0.2310  -1.0000  -1.0000  +0.1848
    166     26564   156   +3.453    3601     58     33  -0.0546  -1.0000  -0.3731  +0.5423
    167     26719   155  +12.644    4919     47     96  +0.3043  -0.7090  +0.8494  +1.0000
    168     26885   166   -2.737    1872     56     65  -0.4321  -1.0000  -0.8203  -0.1661
    169     27046   161   -2.717    2030     59     36  -0.4074  -1.0000  -0.6205  -0.1364
    170     27210   164   +3.151    3429     56     67  -0.0480  -1.0000  +0.0460  +0.5173
    171     27376   166   +3.030    3248     59     56  -0.1517  -1.0000  -0.4535  +0.3665
    172     27542   166   +5.753    4317     66     42  +0.0077  -0.8668  -0.1514  +0.6227
    173     27700   158  +10.992    4335     46     76  +0.2854  -0.8623  +1.0000  +1.0000
    174     27862   162  +11.400    4636     51     48  +0.2857  -0.7833  +0.7853  +1.0000
    175     28020   158   +3.112    2980     53     36  -0.1230  -1.0000  -0.5079  +0.4016
    176     28174   154   +2.171    2790     52     68  -0.1708  -1.0000  -0.7041  +0.3324
    177     28334   160   +9.615    3854     47     75  +0.2019  -0.9885  -0.1286  +1.0000
    178     28494   160   +3.495    2426     49     61  -0.1636  -1.0000  +0.3460  +0.2292
    179     28653   159  +13.762    5553     50     57  +0.3393  -0.5425  +0.8941  +1.0000
    180     28812   159   +9.128    3941     54     70  +0.1376  -0.9656  +0.3202  +0.8381
    181     28971   159   -2.486    2354     66     41  -0.4036  -1.0000  -0.6024  -0.1047
    182     29124   153   -1.302    2191     58     26  -0.3811  -1.0000  -0.8932  -0.0610
    183     29283   159  +10.318    3685     46     48  +0.2007  -1.0000  -0.1602  +0.9934
    184     29441   158   -3.760    1419     49     46  -0.4769  -1.0000  -1.0000  -0.2698
    185     29598   157   +3.164    3340     58     40  -0.0955  -1.0000  -0.1540  +0.4395
    186     29757   159   +2.867    3409     58     37  -0.0915  -1.0000  -0.3117  +0.4632
    187     29916   159   -0.674    2863     58     39  -0.2232  -1.0000  -0.5228  +0.2224
    188     30071   155   +3.638    2765     46     76  -0.0701  -1.0000  -0.4172  +0.4871
    189     30226   155  +10.504    4379     53     58  +0.2298  -0.8506  +0.0378  +1.0000
    190     30387   161   +2.871    2592     49     49  -0.1590  -1.0000  -0.4687  +0.3159
    191     30542   155   +0.802    2452     52     55  -0.2532  -1.0000  -0.7948  +0.1724
    192     30706   164   -0.734    1764     47     54  -0.3614  -1.0000  -0.9042  -0.0532
    193     30866   160  +10.709    4641     49     61  +0.2660  -0.7819  +0.3554  +1.0000
    194     31028   162   +1.514    2037     50     47  -0.3142  -1.0000  -0.6023  +0.0206
    195     31186   158   +5.284    3519     60     26  -0.0665  -1.0000  +0.2723  +0.4585
    196     31344   158   +6.759    2632     42     44  -0.0215  -1.0000  -0.3602  +0.5545
    197     31509   165   -2.470    1842     55     50  -0.3911  -1.0000  -0.0842  -0.1655
    198     31665   156   +5.197    3607     60     38  -0.0270  -1.0000  +0.6366  +0.5036
    199     31828   163   -1.149    1598     43     89  -0.3615  -1.0000  -0.8290  -0.0640
    200     31987   159   +7.204    4269     64     33  +0.0471  -0.8795  +0.0671  +0.6726

  ── rolling mean (last 100 ep) ──  cum_R=+2.957  yield=2987 kg/ha  N=56  W=57 mm  R_seas=-0.1611  R_ane=+0.3041

    201     32148   161   +4.618    2970     46     59  +0.0124  -1.0000  -0.2841  +0.6303
    202     32308   160   -0.259    1851     44     55  -0.3134  -1.0000  -1.0000  +0.0446
    203     32463   155   -3.952    1251     59     32  -0.5924  -1.0000  -1.0000  -0.4689
    204     32522    59   -7.915       0     22     11  -0.7899  -1.0000  -1.0000  -1.0000
    205     32685   163   +7.295    3398     47     51  +0.1284  -1.0000  +0.2110  +0.8149
    206     32846   161  +10.340    3943     48     38  +0.2295  -0.9651  +0.2346  +1.0000
    207     33010   164   +6.027    3388     52     54  -0.0010  -1.0000  -0.2417  +0.6213
    208     33168   158   -1.205    2076     60     37  -0.4181  -1.0000  -0.7508  -0.1392
    209     33328   160   +1.671    3032     56     46  -0.1358  -1.0000  -0.1495  +0.3530
    210     33485   157   +2.656    2106     40     78  -0.1606  -1.0000  -0.6638  +0.3095
    211     33643   158   +9.700    2512     31     85  +0.2035  -1.0000  -0.5787  +1.0000
    212     33804   161   +3.060    3634     67     53  -0.1496  -1.0000  +0.0285  +0.3494
    213     33966   162   +6.288    3623     52     69  +0.0375  -1.0000  -0.5734  +0.7357
    214     34127   161   -3.179    1869     69     36  -0.5215  -1.0000  -0.7039  -0.3209
    215     34292   165  +12.305    5230     58     40  +0.2991  -0.6273  +0.6331  +1.0000
    216     34455   163   +5.991    3527     53     69  +0.0741  -1.0000  +0.8637  +0.6675
    217     34615   160   -1.038    1585     52     38  -0.4469  -1.0000  -0.5762  -0.2418
    218     34774   159   +3.283    2714     49     47  -0.1258  -1.0000  -0.4420  +0.3790
    219     34937   163   +6.169    4229     70     33  -0.0369  -0.8900  +0.3456  +0.5038
    220     35101   164   +2.044    2678     53     50  -0.2014  -1.0000  -0.6953  +0.2666
    221     35255   154   -0.100    1745     42     58  -0.3017  -1.0000  -0.6867  +0.0309
    222     35421   166  +11.433    4039     50     50  +0.2501  -0.9399  +0.6717  +1.0000
