==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen_v2.csv
  Metrics log  → /workspace/training_metrics_nitrogen_v2.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
    283     45193   160   -1.574    1475     42     43  -0.3943  -1.0000  -1.0000  -0.1278
    284     45360   167   +2.355    1651     32     74  -0.1396  -1.0000  -0.2896  +0.2842
    285     45513   153   +9.356    2852     36     40  +0.2229  -1.0000  +0.2827  +0.9570
    286     45666   153   +1.788    1601     33     67  -0.2191  -1.0000  -0.9968  +0.1985
    287     45830   164   +9.527    3436     44     58  +0.1841  -1.0000  -0.2497  +0.9637
    288     45990   160   +8.437    2694     36     65  +0.1592  -1.0000  -0.2904  +0.8915
    289     46150   160  +10.227    4099     43     43  +0.2310  -0.9242  -0.0379  +1.0000
    290     46317   167   +6.538    2780     42     44  +0.0338  -1.0000  -0.3371  +0.6610
    291     46476   159   +6.280    3350     49     49  +0.0488  -1.0000  -0.2120  +0.7053
    292     46636   160  +13.367    2758     33     91  +0.2021  -1.0000  -0.5263  +1.0000
    293     46797   161   -3.065    1255     43     57  -0.4685  -1.0000  -1.0000  -0.2695
    294     46959   162   +9.838    2687     29     63  +0.2259  -1.0000  -0.2810  +1.0000
    295     47125   166   +1.631    1629     36     68  -0.2615  -1.0000  -0.8982  +0.1150
    296     47285   160   +8.958    2784     37     47  +0.1519  -1.0000  -0.1191  +0.8609
    297     47443   158   +0.277    1777     45     64  -0.3490  -1.0000  -1.0000  -0.0203
    298     47608   165   +2.359    2450     51     75  -0.2373  -1.0000  -0.8194  +0.2073
    299     47759   151   +2.322    1953     38     71  -0.1487  -1.0000  -0.4180  +0.2974
    300     47916   157   +5.781    3180     50     58  +0.0053  -1.0000  +0.0570  +0.5967

  ── rolling mean (last 100 ep) ──  cum_R=+4.870  yield=2760 kg/ha  N=46  W=56 mm  R_seas=-0.0595  R_ane=+0.4878

    301     48080   164   +6.301    2982     43     39  +0.0498  -1.0000  -0.6354  +0.7261
    302     48242   162   +3.190    2734     54     48  -0.2064  -1.0000  -0.7016  +0.2615
    303     48404   162   +9.525    3604     43     40  +0.2173  -1.0000  -0.0218  +1.0000
    304     48560   156   +4.940    2247     37     58  -0.0278  -1.0000  -0.4421  +0.5342
    305     48720   160   -3.804    1361     46     52  -0.4659  -1.0000  -1.0000  -0.2561
    306     48874   154   -0.496    1667     37     55  -0.2619  -1.0000  -1.0000  +0.1226
    307     49033   159   +6.412    2766     42     77  +0.0491  -1.0000  +0.4084  +0.6291
    308     49194   161   -1.146    1502     51     67  -0.4778  -1.0000  -0.8796  -0.2681
    309     49354   160   +5.431    2326     36     72  -0.0008  -1.0000  -0.7957  +0.6247
    310     49508   154   +3.827    2193     38     50  -0.1015  -1.0000  -0.8555  +0.4316
    311     49672   164   +5.472    2558     39     52  +0.0552  -1.0000  +0.2574  +0.6370
    312     49833   161   +0.745    1594     35     66  -0.2457  -1.0000  -0.9856  +0.1485
    313     49989   156   +2.647    1551     31     68  -0.1719  -1.0000  -0.7606  +0.2603
    314     50146   157  +12.601    2372     27     98  +0.2183  -1.0000  -0.3870  +1.0000
    315     50310   164   -3.768    1039     43     60  -0.5331  -1.0000  -1.0000  -0.3973
    316     50469   159   +6.422    2247     34     72  +0.0537  -1.0000  -0.3167  +0.6780
    317     50636   167  +11.401    3086     39     55  +0.1994  -1.0000  -0.1841  +0.9708
    318     50801   165  +10.543    3344     39     62  +0.2138  -1.0000  -0.1656  +1.0000
    319     50962   161   -0.930    1538     38     67  -0.3158  -1.0000  -1.0000  +0.0204
    320     51124   162  +10.293    3520     39     60  +0.2137  -1.0000  -0.1771  +1.0000
    321     51279   155  +10.108    3104     34     38  +0.2439  -1.0000  +0.1651  +1.0000
    322     51438   159   +7.598    2969     44     64  +0.0532  -1.0000  +0.1038  +0.6708
    323     51599   161  +10.568    2610     34     59  +0.1697  -1.0000  -0.6404  +0.9390
    324     51760   161   +2.922    1978     35     48  -0.1109  -1.0000  -0.8067  +0.3970
    325     51920   160  +10.601    3191     28     64  +0.2475  -1.0000  +0.1367  +1.0000
    326     52083   163   +0.542    1214     30     56  -0.3078  -1.0000  -1.0000  +0.0067
    327     52245   162   -0.862    1320     36     85  -0.3634  -1.0000  -1.0000  -0.0763
    328     52405   160   +9.972    4219     40     71  +0.2387  -0.8926  -0.0588  +1.0000
    329     52572   167   +5.539    2613     42     46  -0.0167  -1.0000  -0.0938  +0.5384
    330     52726   154   -1.067    1150     31     73  -0.3490  -1.0000  -1.0000  -0.0680
    331     52885   159   +3.123    2301     41     51  -0.0960  -1.0000  -0.5264  +0.4179
    332     53050   165   +2.780    2138     41     71  -0.1724  -1.0000  -0.8244  +0.3026
    333     53207   157  +12.452    3608     24     52  +0.2996  -1.0000  +1.0000  +1.0000
    334     53366   159   +9.238    2528     34     70  +0.1398  -1.0000  -0.5032  +0.8693
    335     53522   156   +5.477    1587     26     54  -0.0412  -1.0000  -0.9221  +0.5175
    336     53683   161   +2.142    1614     31     57  -0.1681  -1.0000  -1.0000  +0.2902
    337     53846   163   +7.276    1775     25     84  +0.0878  -1.0000  -0.9843  +0.7861
    338     54006   160  +11.320    2773     28     71  +0.2178  -1.0000  -0.4476  +1.0000
    339     54165   159   +7.176    2054     29     89  +0.0873  -1.0000  -0.4589  +0.7499
    340     54326   161   +0.975    1696     33     48  -0.1645  -1.0000  -0.9301  +0.2929
    341     54489   163  +10.503    2372     25     72  +0.2223  -1.0000  -0.4765  +1.0000
    342     54651   162   +1.772    1726     36     87  -0.2330  -1.0000  -0.9339  +0.1812
    343     54813   162   +7.743    1644     23     91  +0.1092  -1.0000  -0.8368  +0.8088
    344     54969   156  +10.980    2423     22     78  +0.2688  -1.0000  +0.3692  +1.0000
    345     55134   165   -1.073    1429     36     46  -0.3187  -1.0000  -1.0000  +0.0011
    346     55293   159   +3.506    1449     27     74  -0.1289  -1.0000  -1.0000  +0.3576
    347     55451   158   +7.746    2272     32     72  +0.0894  -1.0000  -0.4224  +0.7558
    348     55618   167   +8.746    2748     36     64  +0.1733  -1.0000  -0.0151  +0.8943
    349     55779   161   -0.935    1228     32     64  -0.3273  -1.0000  -1.0000  -0.0251
    350     55939   160  +10.391    2842     33     71  +0.2041  -1.0000  -0.5455  +1.0000
    351     56100   161   +2.153    1251     28     62  -0.2420  -1.0000  -1.0000  +0.1312
    352     56255   155  +11.870    3462     24     53  +0.2948  -1.0000  +0.9103  +1.0000
    353     56419   164  +10.625    3192     30     61  +0.2405  -1.0000  +0.0391  +1.0000
    354     56581   162  +11.770    2473     22     73  +0.2368  -1.0000  -0.2799  +1.0000
    355     56736   155   +0.095    1082     25     62  -0.2523  -1.0000  -1.0000  +0.1002
    356     56896   160  +11.626    2606     22     92  +0.2575  -1.0000  +0.1894  +1.0000
    357     57062   166   +9.168    2382     31     59  +0.1387  -1.0000  -0.9439  +0.8993
    358     57223   161  +12.547    2912     23     69  +0.2990  -1.0000  +0.9931  +1.0000
    359     57387   164  +10.359    3600     34     78  +0.2537  -1.0000  +0.4906  +1.0000
    360     57545   158   +9.677    2260     28     76  +0.2043  -1.0000  -0.7195  +1.0000
    361     57709   164   +7.518    1880     27     53  +0.0723  -1.0000  -0.7890  +0.7342
    362     57875   166   +6.645    2323     33     68  +0.0792  -1.0000  -0.6477  +0.7592
    363     58031   156   -1.029    1447     34     61  -0.2804  -1.0000  -1.0000  +0.0754
    364     58194   163   +9.985    1819     22     55  +0.2235  -1.0000  -0.5921  +1.0000
    365     58349   155  +10.918    2031     24     73  +0.2260  -1.0000  -0.4154  +1.0000
    366     58516   167   +5.279    2563     42     57  -0.0310  -1.0000  -0.3668  +0.5375
    367     58683   167   +9.437    2736     32     53  +0.2108  -1.0000  -0.5167  +1.0000
    368     58844   161   +5.903    1780     28     77  -0.0027  -1.0000  -0.8575  +0.6008
    369     58996   152  +12.042    2988     27     56  +0.2574  -1.0000  +0.2552  +1.0000
    370     59156   160   +9.259    2303     24     52  +0.2316  -1.0000  -0.3662  +1.0000
    371     59317   161  +11.261    2562     28     75  +0.2094  -1.0000  -0.5899  +1.0000
    372     59477   160   +5.266    1580     27     53  -0.0623  -1.0000  -1.0000  +0.4845
    373     59636   159   +9.619    2916     36     58  +0.2114  -1.0000  -0.3549  +1.0000
    374     59796   160   +8.672    1780     22     55  +0.2117  -1.0000  -0.8306  +1.0000
    375     59956   160   +0.006    1434     35     55  -0.2979  -1.0000  -0.8381  +0.0268
    376     60112   156   +8.547    2748     37     52  +0.1299  -1.0000  -0.7515  +0.8784
    377     60269   157  +12.276    3089     26     86  +0.2241  -1.0000  -0.3330  +1.0000
    378     60426   157   +8.221    2367     32     60  +0.1339  -1.0000  -0.4891  +0.8466
    379     60586   160  +10.345    2704     25     61  +0.2845  -1.0000  +0.7464  +1.0000
    380     60748   162  +12.989    3409     30     59  +0.2551  -1.0000  +0.3330  +1.0000
    381     60908   160   +1.583    1380     29     68  -0.2164  -1.0000  -0.9525  +0.1849
    382     61062   154   +2.680    1163     21     58  -0.0972  -1.0000  -0.6453  +0.3624
    383     61221   159   +6.618    1939     28     57  +0.0826  -1.0000  -0.3765  +0.7188
    384     61386   165  +10.607    3361     33     82  +0.2259  -1.0000  -0.0741  +1.0000
    385     61534   148  +10.835    2428     22     73  +0.2525  -1.0000  +0.0289  +1.0000
    386     61694   160  +11.701    2283     27     68  +0.2082  -1.0000  -0.6898  +1.0000
    387     61852   158  +11.680    1766     15     90  +0.2150  -1.0000  -0.8956  +1.0000
    388     62006   154  +12.468    3166     24     76  +0.2729  -1.0000  +0.5169  +1.0000
    389     62171   165  +10.839    2466     25     69  +0.2240  -1.0000  -0.4251  +1.0000
    390     62328   157  +11.909    2586     26     81  +0.2428  -1.0000  +0.0270  +1.0000
    391     62488   160   +9.104    1870     22     61  +0.2096  -1.0000  -0.8668  +1.0000
    392     62648   160  +10.636    2550     22     65  +0.2297  -1.0000  -0.4254  +1.0000
    393     62802   154  +10.670    3312     28     50  +0.2398  -1.0000  -0.0700  +1.0000
    394     62960   158   -2.748     971     30     90  -0.4185  -1.0000  -1.0000  -0.2032
    395     63119   159   +9.920    2180     28     59  +0.1899  -1.0000  -0.4296  +0.9389
    396     63282   163   +3.727    1348     25     69  -0.1082  -1.0000  -0.6101  +0.3524
    397     63443   161   +3.423    1512     25     68  -0.0445  -1.0000  -0.9612  +0.5149
    398     63600   157   +4.578    2063     33     48  -0.0358  -1.0000  -0.9437  +0.5532
    399     63762   162  +10.668    2014     25     58  +0.2174  -1.0000  -0.6039  +1.0000
    400     63932   170  +10.188    2317     27     58  +0.2112  -1.0000  -0.6699  +1.0000

  ── rolling mean (last 100 ep) ──  cum_R=+6.810  yield=2272 kg/ha  N=31  W=64 mm  R_seas=+0.0433  R_ane=+0.6623

    401     64091   159   +5.739    1799     30     68  -0.0510  -1.0000  -0.7964  +0.5027
    402     64252   161   +9.761    1656     22     71  +0.1515  -1.0000  -0.9586  +0.8967
    403     64417   165  +11.974    2956     23     74  +0.2471  -1.0000  -0.0428  +1.0000
    404     64577   160  +10.167    1646     20     90  +0.2043  -1.0000  -0.9391  +1.0000
    405     64738   161  +10.748    2920     26     87  +0.2206  -1.0000  -0.4187  +1.0000
    406     64896   158   +6.174    2091     30     73  +0.0502  -1.0000  -0.8444  +0.7135
    407     65056   160   +9.943    2516     28     76  +0.2184  -1.0000  -0.4151  +1.0000
    408     65219   163  +10.142    2234     27     62  +0.2410  -1.0000  -0.0650  +1.0000
    409     65376   157   +3.723    1425     30     65  -0.1987  -1.0000  -0.5909  +0.1862
    410     65532   156  +10.960    1858     24     74  +0.1897  -1.0000  -0.5092  +0.9364
    411     65686   154   +7.087    1752     25     64  +0.0897  -1.0000  -0.8670  +0.7720
    412     65845   159   +9.873    2373     19     58  +0.2252  -1.0000  -0.6558  +1.0000
    413     66009   164  +12.657    2187     24    103  +0.2023  -1.0000  -0.8125  +1.0000
    414     66169   160   +9.970    1450     16     74  +0.2208  -1.0000  -0.7863  +1.0000
    415     66322   153  +10.477    2361     26     72  +0.2128  -1.0000  -0.6170  +1.0000
    416     66483   161   +4.456    1120     20     69  -0.0762  -1.0000  -1.0000  +0.4365
    417     66644   161  +13.031    2632     16     73  +0.2412  -1.0000  -0.4094  +1.0000
    418     66799   155   +9.720    1786     23     71  +0.1715  -1.0000  -0.6870  +0.9147
    419     66966   167  +12.254    3192     21     73  +0.2400  -1.0000  -0.2492  +1.0000
    420     67123   157   +6.114    1742     26     80  +0.0289  -1.0000  -0.7854  +0.6528
    421     67283   160   +9.548    2782     28     67  +0.2155  -1.0000  -0.5264  +1.0000
    422     67438   155   +9.016    1199     17     62  +0.0867  -1.0000  -1.0000  +0.7519
    423     67601   163  +12.866    2815     18     88  +0.2533  -1.0000  -0.0247  +1.0000
    424     67759   158   +3.768    1529     27     54  -0.0878  -1.0000  -0.8115  +0.4165
    425     67923   164  +10.440    2187     20     79  +0.2338  -1.0000  -0.3758  +1.0000
    426     68083   160   +8.270    2182     22     70  +0.2160  -1.0000  -0.6848  +1.0000
    427     68244   161   +8.293    2173     30     66  +0.1111  -1.0000  -0.5253  +0.8000
    428     68411   167  +11.347    2756     25     90  +0.2111  -1.0000  -0.6225  +1.0000
    429     68570   159   +9.812    1729     20     65  +0.2077  -1.0000  -0.9425  +1.0000
    430     68728   158  +10.327    2282     25     64  +0.2259  -1.0000  -0.4052  +1.0000
    431     68889   161  +13.715    2726     18     76  +0.2471  -1.0000  -0.1826  +1.0000
    432     69051   162  +13.298    2505     20     78  +0.2155  -1.0000  -0.7737  +1.0000
    433     69215   164   +5.874    1239     19     70  +0.0047  -1.0000  -1.0000  +0.5982
    434     69377   162   +9.059    2155     29     69  +0.1425  -1.0000  -0.5469  +0.8615
    435     69542   165  +11.403    2469     17     82  +0.2386  -1.0000  -0.3722  +1.0000
    436     69699   157  +10.797    2532     26     49  +0.2068  -1.0000  -0.7874  +1.0000
    437     69859   160   +9.859    1839     19     76  +0.2313  -1.0000  -0.4852  +1.0000
    438     70015   156   +9.818    1448     17     72  +0.2106  -1.0000  -0.9761  +1.0000
    439     70170   155  +10.494    2049     26     82  +0.1858  -1.0000  -0.9540  +0.9823
    440     70331   161   +8.636    1480     19     64  +0.2028  -1.0000  -0.9189  +0.9820
    441     70486   155   +2.292     791     15     72  -0.1363  -1.0000  -1.0000  +0.3020
    442     70646   160  +10.507    1821     21     77  +0.2452  -1.0000  -0.1162  +1.0000
    443     70803   157  +10.357    1786     18     77  +0.2109  -1.0000  -0.9035  +1.0000
    444     70961   158   +9.913    1727     19     85  +0.2207  -1.0000  -0.6763  +1.0000
    445     71122   161  +10.972    2383     26     80  +0.2039  -1.0000  -0.7595  +1.0000
    446     71288   166   +9.744    1811     19     63  +0.2119  -1.0000  -0.8990  +1.0000
    447     71449   161   +9.206    2422     27     68  +0.2111  -1.0000  -0.6254  +1.0000
    448     71603   154  +10.499    2250     15     81  +0.2240  -1.0000  -0.7451  +1.0000
    449     71761   158   +5.232    1597     25     52  +0.0014  -1.0000  -1.0000  +0.6054
    450     71926   165  +11.083    2044     18     89  +0.2155  -1.0000  -0.7846  +1.0000
    451     72082   156  +10.608    2134     18     69  +0.2123  -1.0000  -0.9030  +1.0000
    452     72238   156  +10.893    2106     20     90  +0.2189  -1.0000  -0.6430  +1.0000
    453     72397   159  +10.454    2141     26     65  +0.2059  -1.0000  -0.7805  +1.0000
    454     72556   159  +10.066    2735     26     85  +0.2189  -1.0000  -0.4629  +1.0000
    455     72717   161   +4.409    1265     25     76  -0.1683  -1.0000  -1.0000  +0.2730
    456     72877   160  +10.145    1899     21     72  +0.2212  -1.0000  -0.6369  +1.0000
    457     73029   152   +9.642    2548     23     78  +0.2171  -1.0000  -0.6305  +1.0000
    458     73189   160   -0.339     967     24     76  -0.3100  -1.0000  -1.0000  -0.0117
    459     73353   164   +8.897    1815     21     70  +0.2189  -1.0000  -0.6902  +1.0000
    460     73511   158  +10.423    2484     22     69  +0.2236  -1.0000  -0.5556  +1.0000
    461     73672   161   +9.966    2623     30     78  +0.2074  -1.0000  -0.5832  +1.0000
    462     73831   159   +9.762    2213     18     77  +0.2242  -1.0000  -0.6371  +1.0000
    463     73991   160  +10.829    1672     20     92  +0.2012  -1.0000  -1.0000  +1.0000
    464     74151   160  +12.346    2534     16     80  +0.2394  -1.0000  -0.4024  +1.0000
    465     74309   158   +9.772    1911     18     75  +0.2146  -1.0000  -0.8365  +1.0000
    466     74468   159  +10.275    2244     24     70  +0.2146  -1.0000  -0.6450  +1.0000
    467     74633   165  +10.238    2044     24     81  +0.2004  -1.0000  -0.9062  +1.0000
    468     74787   154  +10.702    1717     16     73  +0.2107  -1.0000  -1.0000  +1.0000
    469     74942   155  +10.727    2241     19     80  +0.2419  -1.0000  -0.2453  +1.0000
    470     75106   164  +11.363    2799     20     74  +0.2641  -1.0000  +0.2132  +1.0000
    471     75263   157   +2.531     920     18     74  -0.1704  -1.0000  -1.0000  +0.2462
    472     75420   157  +12.554    2767     23     80  +0.2339  -1.0000  -0.2873  +1.0000
    473     75580   160   +6.489    1441     21     75  +0.0630  -1.0000  -0.9687  +0.7188
    474     75736   156   +9.244    2010     24     80  +0.1985  -1.0000  -0.9483  +1.0000
    475     75894   158  +11.223    1604     17     70  +0.2095  -1.0000  -1.0000  +1.0000
    476     76056   162   -1.503     941     28     73  -0.3883  -1.0000  -1.0000  -0.1570
    477     76209   153   +9.756    2186     22     95  +0.2160  -1.0000  -0.6385  +1.0000
    478     76370   161  +10.421    1745     19     88  +0.2043  -1.0000  -1.0000  +1.0000
    479     76528   158   +9.678    1562     17     76  +0.2162  -1.0000  -0.8439  +1.0000
    480     76690   162  +11.336    2054     22     94  +0.2137  -1.0000  -0.6558  +1.0000
    481     76846   156   +9.466    1422     15     83  +0.2110  -1.0000  -1.0000  +1.0000
    482     77001   155  +10.278    1410     14     90  +0.2238  -1.0000  -0.7711  +1.0000
    483     77154   153   +7.279    1332     21     76  +0.0043  -1.0000  -1.0000  +0.6042
    484     77316   162   +3.085    1421     27     78  -0.1418  -1.0000  -1.0000  +0.3330
    485     77479   163   +8.940    1510     21     88  +0.0926  -1.0000  -1.0000  +0.7855
    486     77640   161  +10.898    1714     21     77  +0.2519  -1.0000  -0.0006  +1.0000
    487     77799   159   +9.820    2386     28     87  +0.2512  -1.0000  +0.2599  +1.0000
    488     77955   156  +10.371    1837     17     89  +0.2114  -1.0000  -0.9163  +1.0000
    489     78115   160   +4.293    1041     19     86  -0.1268  -1.0000  -1.0000  +0.3403
    490     78280   165  +11.159    1412     17     80  +0.2077  -1.0000  -1.0000  +1.0000
    491     78439   159  +11.718    1878     14     98  +0.2263  -1.0000  -0.6879  +1.0000
    492     78596   157  +12.536    2090     16     74  +0.2314  -1.0000  -0.5867  +1.0000
    493     78761   165  +10.138    2432     24     91  +0.2114  -1.0000  -0.6659  +1.0000
    494     78917   156  +10.204    2058     15     72  +0.2448  -1.0000  -0.3632  +1.0000
    495     79074   157  +10.143    1720     20     75  +0.2047  -1.0000  -1.0000  +1.0000
    496     79234   160  +12.910    2386     17     84  +0.2250  -1.0000  -0.6626  +1.0000
    497     79391   157  +10.838    1984     15     90  +0.2278  -1.0000  -0.6559  +1.0000
    498     79548   157  +10.401    1848     13     89  +0.2283  -1.0000  -0.6980  +1.0000
    499     79711   163   +5.295    1325     21     78  +0.0024  -1.0000  -1.0000  +0.6006
    500     79864   153   +2.801    1142     22     93  -0.1479  -1.0000  -1.0000  +0.3084

  ── rolling mean (last 100 ep) ──  cum_R=+9.269  yield=1961 kg/ha  N=21  W=77 mm  R_seas=+0.1531  R_ane=+0.8735

    501     80023   159  +10.948    1512     18     85  +0.2089  -1.0000  -0.9376  +1.0000
    502     80191   168  +11.049    2482     18     88  +0.2190  -1.0000  -0.7277  +1.0000
    503     80350   159  +11.818    2025     15     89  +0.2160  -1.0000  -0.8745  +1.0000
    504     80512   162   +9.725    1238     17     89  +0.1263  -1.0000  -1.0000  +0.8382
    505     80682   170   +9.282    2323     24     77  +0.2189  -1.0000  -0.5604  +1.0000
    506     80842   160  +12.021    2086     16     86  +0.2158  -1.0000  -0.8725  +1.0000
    507     81000   158   +5.592    1327     21     72  +0.0101  -1.0000  -1.0000  +0.6139
    508     81167   167  +10.723    1290     17     72  +0.1849  -1.0000  -1.0000  +0.9492
    509     81330   163   +9.472    1711     17     69  +0.2097  -1.0000  -1.0000  +1.0000
    510     81490   160  +12.165    1654     15     72  +0.2129  -1.0000  -1.0000  +1.0000
    511     81655   165   +6.161    1680     28     90  -0.0643  -1.0000  -1.0000  +0.4967
    512     81825   170  +11.663    2461     20     90  +0.2544  -1.0000  +0.0629  +1.0000
    513     81987   162  +11.972    1540     14     83  +0.2174  -1.0000  -0.9171  +1.0000
    514     82143   156  +10.317    1971     14     74  +0.2243  -1.0000  -0.8140  +1.0000
    515     82302   159  +10.318    2324     17     77  +0.2390  -1.0000  -0.4113  +1.0000
    516     82463   161  +10.246    1147     10     86  +0.2196  -1.0000  -1.0000  +1.0000
    517     82618   155  +10.233    1184     14     82  +0.2135  -1.0000  -0.9801  +1.0000
    518     82774   156   +7.825    1145     17     81  +0.0701  -1.0000  -1.0000  +0.7225
    519     82937   163   +9.921    1680     15     82  +0.2132  -1.0000  -0.9501  +1.0000
    520     83100   163   +8.706    1328     18     85  +0.1220  -1.0000  -1.0000  +0.8329
    521     83262   162   +5.345    1406     22     84  -0.0002  -1.0000  -1.0000  +0.6014
    522     83421   159  +10.210    1942     14     73  +0.2538  -1.0000  -0.2318  +1.0000
    523     83587   166  +12.005    2109     15    108  +0.2162  -1.0000  -0.8154  +1.0000
    524     83750   163  +10.926    1563     18     79  +0.2066  -1.0000  -1.0000  +1.0000
    525     83909   159  +10.038    1410     16     90  +0.2094  -1.0000  -1.0000  +1.0000
    526     84066   157  +10.806    1569     13     84  +0.2146  -1.0000  -1.0000  +1.0000
    527     84223   157  +10.232    1252     12     84  +0.2169  -1.0000  -1.0000  +1.0000
    528     84382   159   +6.079    1376     21     96  +0.0176  -1.0000  -1.0000  +0.6375
    529     84541   159   +9.704    1651     17     79  +0.2193  -1.0000  -0.7746  +1.0000
    530     84702   161   +9.442    1671     18     98  +0.2031  -1.0000  -0.9955  +1.0000
    531     84862   160   +9.470    1177     16     89  +0.1135  -1.0000  -1.0000  +0.8107
    532     85024   162  +10.521    2480     19     91  +0.2590  -1.0000  +0.1143  +1.0000
    533     85180   156  +10.493    2131     11     87  +0.2305  -1.0000  -0.7491  +1.0000
    534     85344   164   +5.717     809     14     81  -0.0678  -1.0000  -1.0000  +0.4380
    535     85501   157   +6.038    1326     21     93  -0.0132  -1.0000  -1.0000  +0.5751
    536     85654   153   +9.720    1421     15     79  +0.2121  -1.0000  -1.0000  +1.0000
    537     85813   159  +11.270    1410     18     85  +0.2126  -1.0000  -0.8369  +0.9962
    538     85973   160  +10.834    2223     16     69  +0.2329  -1.0000  -0.5605  +1.0000
    539     86136   163   +9.105    1096     11     90  +0.2166  -1.0000  -1.0000  +1.0000
    540     86295   159   +9.843    1799     15     78  +0.2200  -1.0000  -0.8558  +1.0000
    541     86452   157   +9.236    1479     15     98  +0.2180  -1.0000  -0.8255  +1.0000
    542     86618   166   +9.899    1504     14     79  +0.2247  -1.0000  -0.7913  +1.0000
    543     86779   161  +10.921    1678     15     80  +0.2174  -1.0000  -0.9002  +1.0000
    544     86937   158   +9.272    1452      9     90  +0.2253  -1.0000  -0.9135  +1.0000
    545     87104   167   +9.594    1680     18     92  +0.2101  -1.0000  -0.8973  +1.0000
    546     87257   153  +11.242    1950     11     83  +0.2462  -1.0000  -0.4547  +1.0000
    547     87420   163  +10.379    1190      6     82  +0.2267  -1.0000  -1.0000  +1.0000
    548     87581   161   +3.185     701     13     72  -0.1065  -1.0000  -1.0000  +0.3540
    549     87742   161   +9.375    1424     10     79  +0.2273  -1.0000  -0.8657  +1.0000
    550     87906   164  +10.447    1583     10     85  +0.2302  -1.0000  -0.8084  +1.0000
    551     88067   161  +10.131    2204     17     88  +0.2358  -1.0000  -0.4166  +1.0000
    552     88221   154   +9.810    1495     16     88  +0.2079  -1.0000  -1.0000  +1.0000
    553     88380   159   +7.433     977     14     84  +0.0917  -1.0000  -1.0000  +0.7573
    554     88541   161  +12.034    1598     17     93  +0.2059  -1.0000  -1.0000  +1.0000
    555     88712   171  +10.892    1032     10     83  +0.2207  -1.0000  -1.0000  +1.0000
    556     88877   165  +12.421    1513     16    105  +0.2112  -1.0000  -0.9168  +1.0000
    557     89038   161   +5.493     841     14     78  -0.0361  -1.0000  -0.9655  +0.4969
    558     89197   159   +9.506    1412     15     91  +0.2109  -1.0000  -1.0000  +1.0000
    559     89360   163  +11.957    1607      9    108  +0.2198  -1.0000  -0.9554  +1.0000
    560     89523   163  +10.985    1135     10     92  +0.2188  -1.0000  -1.0000  +1.0000
    561     89685   162  +10.907    1775     15     84  +0.2243  -1.0000  -0.7289  +1.0000
    562     89848   163  +10.209    1043     10     89  +0.2186  -1.0000  -1.0000  +1.0000
    563     90010   162   +9.961    1620     19     80  +0.2399  -1.0000  -0.3074  +1.0000
    564     90169   159  +10.404    1635     12     84  +0.2199  -1.0000  -0.9289  +1.0000
    565     90328   159   +9.721    1242      8     97  +0.2215  -1.0000  -1.0000  +1.0000
    566     90489   161  +10.425    2008      8     72  +0.2293  -1.0000  -0.9014  +1.0000
    567     90654   165  +10.723    1195      9     90  +0.2281  -1.0000  -0.8527  +1.0000
    568     90813   159  +10.254     802     10     83  +0.2205  -1.0000  -1.0000  +1.0000
    569     90978   165  +10.926    1571     10     87  +0.2193  -1.0000  -1.0000  +1.0000
    570     91137   159  +11.128    1626     13     73  +0.2220  -1.0000  -0.8924  +1.0000
    571     91295   158  +12.609    2162     12     98  +0.2304  -1.0000  -0.6917  +1.0000
    572     91453   158  +11.015    1403      6     73  +0.2280  -1.0000  -1.0000  +1.0000
    573     91613   160  +11.979    1492     12     97  +0.2242  -1.0000  -0.8241  +1.0000
    574     91770   157  +10.422    1098     10     88  +0.2183  -1.0000  -1.0000  +1.0000
    575     91932   162  +10.984    1804     13     82  +0.2274  -1.0000  -0.7663  +1.0000
    576     92091   159  +10.329    1326      7     66  +0.2282  -1.0000  -1.0000  +1.0000
    577     92249   158  +12.327    1540      5     74  +0.2503  -1.0000  -0.6044  +1.0000
    578     92405   156  +12.544    1490      9     86  +0.2320  -1.0000  -0.7919  +1.0000
    579     92567   162  +11.122    1623     11     81  +0.2319  -1.0000  -0.7383  +1.0000
    580     92719   152  +10.583    1274      7     78  +0.2260  -1.0000  -1.0000  +1.0000
    581     92875   156  +11.493    1753     12     96  +0.2404  -1.0000  -0.4906  +1.0000
    582     93036   161  +10.224    1648     13     86  +0.2347  -1.0000  -0.5992  +1.0000
    583     93196   160  +12.046    1830     13     99  +0.2230  -1.0000  -0.8027  +1.0000
    584     93353   157  +13.676    2151     13     94  +0.2279  -1.0000  -0.7138  +1.0000
