====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 8)
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w
  ────────────────────────────────────────────────────────────────────────
  Collecting first episodes... (first log line appears at ep 10)

     530    84,471   +1.000   -0.990   -0.215    11654  [0.06,0.04,0.91]  ETA 119.3m
     540    86,081   -0.094   -0.436   -1.000     7261  [0.00,1.00,0.00]  ETA 119.1m
     550    87,679   +1.000   -0.983   -1.000    12198  [0.10,0.25,0.65]  ETA 118.7m
     560    89,292   +0.794   -0.983   -1.000    10644  [0.49,0.30,0.21]  ETA 118.6m
     570    90,878   +0.924   -0.900   -1.000    11139  [0.15,0.70,0.15]  ETA 118.5m
     580    92,485   +0.420   -0.991   -1.000     9222  [0.40,0.10,0.50]  ETA 118.2m
     590    94,091   +0.217   -0.344   -1.000     8447  [0.06,0.94,0.00]  ETA 118.0m
     600    95,695   +0.756   -0.962   -1.000    10501  [0.06,0.54,0.40]  ETA 117.8m
     610    97,317   +0.981   -0.990   -1.000    11358  [0.60,0.06,0.34]  ETA 117.8m
     620    98,912   +0.830   -0.730   -1.000    10784  [0.00,0.82,0.17]  ETA 117.4m
     630   100,507   +0.865   -0.943   -1.000    10916  [0.13,0.61,0.26]  ETA 117.2m
     640   102,013   +1.000   -0.988   -1.000    12305  [0.75,0.09,0.16]  ETA 117.2m
     650   103,587   +1.000   -0.977   -1.000    13514  [0.65,0.32,0.02]  ETA 116.8m
     660   105,190   +0.700   -0.989   -1.000    10287  [0.33,0.16,0.51]  ETA 116.7m
     670   106,796   +0.836   -0.925   -1.000    10807  [0.30,0.67,0.04]  ETA 116.6m
     680   108,402   +1.000   -0.952   -1.000    11991  [0.30,0.57,0.13]  ETA 116.5m
     690   110,021   +0.848   -0.991   -1.000    10852  [0.82,0.04,0.13]  ETA 116.1m
     700   111,613   +1.000   -0.991   -1.000    11437  [1.00,0.00,0.00]  ETA 115.9m
     710   113,219   +1.000   -0.972   -1.000    11455  [0.14,0.42,0.44]  ETA 115.7m
     720   114,819   +0.224   -0.321   -1.000     8474  [0.00,1.00,0.00]  ETA 115.5m
     730   116,408   +0.869   -0.986   -0.230    10932  [0.03,0.12,0.84]  ETA 115.3m
     740   117,902   +1.000   -0.966   -0.777    12051  [0.04,0.26,0.70]  ETA 115.2m
     750   119,499   +1.000   -0.981   -1.000    12095  [0.25,0.30,0.44]  ETA 115.0m
     760   121,084   +1.000   -0.971   -1.000    11617  [0.18,0.44,0.38]  ETA 114.7m
     770   122,667   +0.751   -0.980   -1.000    10480  [0.64,0.35,0.02]  ETA 114.5m
     780   124,252   +0.079   -0.365   -1.000     7920  [0.00,1.00,0.00]  ETA 114.4m
     790   125,854   +1.000   -0.947   -1.000    11599  [0.29,0.58,0.12]  ETA 114.2m
     800   127,455   +0.707   -0.916   -1.000    10315  [0.26,0.70,0.04]  ETA 114.1m
     810   129,059   +0.927   -0.984   -1.000    11152  [0.53,0.25,0.22]  ETA 113.8m
     820   130,650   -0.202   -0.451   -1.000     6852  [0.00,1.00,0.00]  ETA 113.6m
     830   132,262   +0.285   -0.982   -1.000     8706  [0.18,0.41,0.41]  ETA 113.5m
     840   133,829   +0.578   -0.992   -0.192     9824  [0.00,0.00,1.00]  ETA 113.3m
     850   135,428   +0.414   -0.992   +0.068     9198  [0.15,0.08,0.77]  ETA 113.2m
     860   137,028   +0.658   -0.987   -1.000    10127  [0.64,0.20,0.16]  ETA 113.0m
     870   138,616   -0.117   -0.440   -1.000     7173  [0.00,1.00,0.00]  ETA 112.8m
     880   140,212   +0.701   -0.992   -1.000    10292  [1.00,0.00,0.00]  ETA 112.6m
     890   141,824   +1.000   -0.991   -1.000    11508  [1.00,0.00,0.00]  ETA 112.5m
     900   143,417   +1.000   -0.990   -1.000    12363  [0.34,0.04,0.61]  ETA 112.3m
     910   145,026   +1.000   -0.991   -0.275    11622  [0.00,0.00,1.00]  ETA 112.2m
     920   146,624   +1.000   -0.985   -1.000    11701  [0.15,0.23,0.62]  ETA 112.0m
     930   148,239   +1.000   -0.956   -1.000    12379  [0.16,0.53,0.31]  ETA 111.7m
     940   149,826   +0.947   -0.824   -1.000    11226  [0.07,0.78,0.15]  ETA 111.5m
     950   151,429   +0.686   -0.992   -1.000    10233  [1.00,0.00,0.00]  ETA 111.3m
     960   153,029   +0.752   -0.977   -1.000    10485  [0.39,0.41,0.21]  ETA 111.0m
     970   154,641   +1.000   -0.991   -0.237    11561  [0.13,0.02,0.85]  ETA 110.8m
     980   156,259   -0.122   -0.992   -0.162     7154  [0.07,0.16,0.78]  ETA 110.5m
     990   157,867   +0.902   -0.974   -1.000    11056  [0.17,0.24,0.59]  ETA 110.3m
    1000   159,474   +1.000   -0.976   -1.000    12441  [0.74,0.14,0.13]  ETA 110.1m
    1010   161,073   +1.000   -0.955   -1.000    11539  [0.18,0.55,0.27]  ETA 109.9m
    1020   162,652   +1.000   -0.987   -1.000    11909  [0.20,0.15,0.65]  ETA 109.7m
    1030   164,249   +0.955   -0.970   -1.000    11260  [0.26,0.47,0.27]  ETA 109.6m
    1040   165,849   +1.000   -0.983   -1.000    12525  [0.49,0.23,0.28]  ETA 109.3m
    1050   167,438   +0.846   -0.988   -1.000    10842  [0.19,0.16,0.65]  ETA 109.1m
    1060   168,948   +0.755   -0.943   -1.000    10496  [0.04,0.62,0.34]  ETA 109.1m
    1070   170,523   -0.134   -0.438   -1.000     7110  [0.00,1.00,0.00]  ETA 108.8m
    1080   172,111   +0.083   -0.950   -1.000     7936  [0.07,0.65,0.29]  ETA 108.7m
    1090   173,721   +0.401   -0.983   -1.000     9148  [0.46,0.36,0.18]  ETA 108.5m
    1100   175,328   +1.000   -0.950   -1.000    12187  [0.25,0.57,0.18]  ETA 108.3m
    1110   176,911   +0.658   -0.969   -1.000    10129  [0.46,0.50,0.05]  ETA 108.0m
    1120   178,527   +0.894   -0.982   -1.000    11025  [0.30,0.31,0.39]  ETA 107.9m
    1130   180,138   +0.624   -0.992   -0.237     9999  [0.17,0.05,0.78]  ETA 107.7m
    1140   181,729   +1.000   -0.951   -1.000    12108  [0.06,0.56,0.38]  ETA 107.5m
    1150   183,327   +0.880   -0.987   -1.000    10974  [0.31,0.21,0.49]  ETA 107.2m
    1160   184,956   +0.127   -0.382   -1.000     8106  [0.00,1.00,0.00]  ETA 107.1m
    1170   186,558   +1.000   -0.990   -1.000    12046  [0.73,0.03,0.24]  ETA 106.9m
    1180   188,164   +0.816   -0.981   -1.000    10730  [0.16,0.34,0.50]  ETA 106.6m
    1190   189,751   +1.000   -0.894   -1.000    12316  [0.15,0.70,0.16]  ETA 106.4m
    1200   191,348   +0.715   -0.989   -1.000    10345  [0.55,0.14,0.31]  ETA 106.2m
    1210   192,969   +1.000   -0.972   -1.000    13005  [0.35,0.40,0.26]  ETA 106.0m
    1220   194,588   +0.947   -0.991   -1.000    11229  [1.00,0.00,0.00]  ETA 105.9m
    1230   196,173   +0.205   -0.335   -1.000     8403  [0.02,0.92,0.07]  ETA 105.6m
    1240   197,772   +0.748   -0.825   -1.000    10469  [0.02,0.78,0.20]  ETA 105.4m
