timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
5590,35,157,6.183623,0.2,-0.334605,0.0,0.009789,0.00171133,0.065631,-0.964967,0.358438,0.698961,0.435109,3943.5,58.0,48.2,528.9,100.0,1.0
5745,36,155,-4.102175,0.328978,0.6,0.001741,5.3e-05,0.00206011,-0.74539,-1.0,-1.0,-0.692901,0.595758,988.8,80.5,53.8,569.1,100.0,1.0
5906,37,161,0.505755,1.0,0.748751,0.0,0.0,0.00217726,-0.322977,-1.0,0.069348,-0.010953,0.483871,2525.2,63.8,61.8,441.7,100.0,1.0
6075,38,169,-0.468761,-0.112149,0.692591,0.001387,0.0,0.00290668,-0.526117,-1.0,-0.407453,-0.38974,0.443498,1413.0,57.9,63.8,364.0,100.0,1.0
6234,39,159,1.542979,0.6961,-0.432424,0.004344,0.0,0.0019046,-0.216625,-1.0,-0.056708,0.208893,0.472946,3021.9,62.5,59.2,457.8,100.0,1.0
6391,40,157,-3.09596,0.587217,0.688972,0.001298,0.0,0.00184218,-0.459625,-1.0,-0.846089,-0.174274,0.520732,2297.0,69.5,56.5,702.5,100.0,1.0
6551,41,160,3.199881,0.2,-0.354339,0.013868,0.006076,0.00171542,-0.097582,-0.905495,-0.001307,0.440097,0.545865,4170.1,72.4,65.2,1017.2,100.0,1.0
6711,42,160,2.694317,0.2,-0.25827,0.0,0.032125,0.00181188,-0.141701,-1.0,-0.381419,0.390899,0.47232,3453.4,62.1,63.0,569.7,100.0,1.0
6866,43,155,4.699607,0.583175,-0.240777,0.0,0.0,0.00180889,-0.023921,-1.0,-0.262087,0.601145,0.445558,3757.3,58.7,58.2,608.3,100.0,1.0
7029,44,163,6.306439,0.942293,-0.307635,0.009848,0.0,0.00180577,0.047504,-0.724135,0.354688,0.629375,0.560364,4861.0,74.6,63.8,550.0,100.0,1.0
7189,45,160,2.650814,1.0,-0.467066,0.010946,0.0,0.00196286,-0.170434,-1.0,-0.026082,0.300247,0.477014,3252.4,62.5,65.5,514.3,100.0,1.0
7350,46,161,-2.126948,0.443411,0.689441,0.0,0.0,0.00185853,-0.413069,-1.0,-0.602958,-0.137187,0.457311,2094.8,60.7,54.1,572.3,100.0,1.0
7514,47,164,0.69637,0.2,-0.464334,0.006645,0.128391,0.00200995,-0.291936,-1.0,-0.368912,0.097044,0.48805,2849.2,64.9,55.9,569.3,100.0,1.0
7674,48,160,5.139566,0.188916,-0.350515,0.013347,0.0,0.00231446,-0.095055,-0.969501,-0.149092,0.465654,0.506108,3926.2,67.0,62.2,237.4,100.0,1.0
7838,49,164,0.865175,1.0,-0.395933,0.000483,0.0,0.0020932,-0.296692,-1.0,-0.591863,0.130352,0.529098,3135.7,69.4,72.7,561.9,100.0,1.0
8003,50,165,5.633061,0.358738,-0.25117,0.001151,0.0,0.00176371,0.010453,-0.850277,0.045081,0.61245,0.511884,4380.4,67.9,60.8,677.8,100.0,1.0
8161,51,158,2.000816,0.708646,-0.375485,0.0,0.0,0.00201933,-0.211998,-1.0,-0.597101,0.255479,0.43953,2850.1,56.8,70.4,518.2,100.0,1.0
8317,52,156,2.256046,0.2,-0.464638,0.018327,0.119225,0.0017184,-0.147595,-1.0,-0.468069,0.344073,0.384913,2599.2,48.3,77.5,544.0,100.0,1.0
8477,53,160,-3.963597,0.58604,-0.367426,0.007202,0.0,0.00165497,-0.474738,-1.0,-0.940668,-0.204315,0.50219,2131.2,67.0,55.8,748.5,100.0,1.0
8637,54,160,-3.579265,0.2,0.6,0.000546,0.089329,0.0021324,-0.651325,-1.0,-1.0,-0.574357,0.456587,1001.4,58.8,74.7,422.8,100.0,1.0
8802,55,165,5.213026,0.2,-0.245022,0.012662,0.049334,0.00211516,-0.071965,-0.957502,-0.227278,0.511533,0.49947,3971.9,65.7,66.0,563.5,100.0,1.0
8958,56,156,-3.165847,0.2,-0.436511,0.004518,0.03014,0.00179917,-0.448961,-1.0,-0.931287,-0.183679,0.442228,1915.5,58.7,52.7,562.5,100.0,1.0
9118,57,160,5.92143,0.418922,-0.114071,0.002017,0.0,0.00194703,0.002893,-0.975772,-0.124593,0.634038,0.450968,3902.3,59.7,55.1,486.4,100.0,1.0
9278,58,160,-3.605239,0.2,0.669369,0.006327,0.031796,0.00212654,-0.561688,-1.0,-0.719518,-0.381105,0.540636,1825.3,73.7,40.8,495.5,100.0,1.0
9440,59,162,-1.265684,0.625238,-0.508126,0.0,0.0,0.00230587,-0.441981,-1.0,-1.0,-0.191021,0.385883,1611.6,49.8,62.1,202.8,100.0,1.0
9603,60,163,-4.326378,0.552282,-0.447458,0.02673,0.0,0.00155992,-0.484416,-1.0,-0.878043,-0.191527,0.579002,2460.7,76.1,77.3,886.9,100.0,1.0
9763,61,160,5.202622,0.2,-0.346511,0.000749,0.2235,0.00193993,-0.033815,-1.0,-0.35466,0.580721,0.425772,3619.9,57.3,41.7,389.8,100.0,1.0
9922,62,159,-1.328046,1.0,-0.474686,0.001291,0.0,0.00219196,-0.41956,-1.0,-1.0,-0.139646,0.398949,1848.1,53.7,38.4,474.9,100.0,1.0
10085,63,163,0.271469,0.471022,-0.444843,0.0,5e-06,0.0018391,-0.284841,-1.0,-0.600035,0.11048,0.440317,2562.1,57.7,60.9,530.1,100.0,1.0
10247,64,162,1.564095,0.432373,-0.338374,0.000296,0.0,0.00146171,-0.153563,-1.0,0.886141,0.252332,0.496145,3281.3,65.5,62.7,582.5,100.0,1.0
10405,65,158,5.881113,0.922514,-0.315198,0.0,0.0,0.00172772,0.03709,-0.999958,0.334303,0.655617,0.429767,3810.2,57.5,45.1,495.3,100.0,1.0
10565,66,160,3.087385,0.829881,-0.379912,0.0,0.0,0.0019875,-0.155502,-1.0,-0.686448,0.368302,0.42132,3000.5,54.8,62.6,515.9,100.0,1.0
10725,67,160,7.101871,0.2,0.775734,0.0,0.026505,0.00249362,-0.026595,-1.0,0.858784,0.484539,0.447216,3511.7,59.1,55.4,371.3,100.0,1.0
10884,68,159,1.359572,1.0,-0.404086,0.0,0.0,0.00240893,-0.312264,-1.0,-0.866948,0.084695,0.445055,2454.0,56.6,81.9,606.1,100.0,1.0
11043,69,159,10.555337,0.944252,-0.202514,0.0,0.0,0.00212204,0.219388,-0.760799,0.429804,0.931933,0.463637,4721.4,61.1,59.9,427.5,100.0,1.0
11201,70,158,-4.745137,0.349034,0.703293,0.0,0.000142,0.00176994,-0.533643,-1.0,-0.741401,-0.329875,0.526542,1896.5,70.8,52.1,597.6,100.0,1.0
11362,71,161,-3.470352,0.2,-0.393727,0.005737,0.058362,0.00168617,-0.454595,-1.0,-1.0,-0.201831,0.414717,1692.4,53.0,72.8,536.8,100.0,1.0
11521,72,159,-1.509061,0.832522,-0.503518,0.014261,0.0,0.00186457,-0.375841,-1.0,-0.688838,-0.034163,0.497271,2495.5,64.6,75.2,690.9,100.0,1.0
11680,73,159,-3.581904,0.448988,0.647998,0.001489,0.0,0.00214459,-0.666941,-1.0,-1.0,-0.585502,0.496761,1057.3,63.8,84.0,366.1,100.0,1.0
11838,74,158,-4.338358,1.0,-0.515084,0.000181,0.0,0.00178437,-0.511825,-1.0,-1.0,-0.313423,0.420452,1508.7,54.9,59.9,549.1,100.0,1.0
11994,75,156,-4.094842,0.2,0.73612,0.014926,0.08665,0.00201647,-0.555071,-1.0,-0.858529,-0.360367,0.527842,1791.4,70.0,62.9,758.1,100.0,1.0
12145,76,151,-2.359634,1.0,0.680138,0.001518,0.0,0.00271504,-0.592992,-1.0,-1.0,-0.42961,0.512748,1538.3,67.4,68.0,247.5,100.0,1.0
12310,77,165,-4.08962,0.557451,-0.495981,0.0,0.0,0.00173787,-0.505225,-1.0,-0.959258,-0.286992,0.455067,1749.3,61.3,42.9,770.9,100.0,1.0
12475,78,165,4.060818,0.225909,-0.317113,0.0,0.042043,0.00217433,-0.142317,-1.0,-0.548264,0.419631,0.498878,3785.6,66.7,53.7,476.6,100.0,1.0
12637,79,162,11.64026,0.854559,-0.281358,0.0,0.0,0.00211773,0.278151,-0.746911,0.729144,1.0,0.435695,4774.3,58.6,42.6,522.9,100.0,1.0
12791,80,154,-3.899452,0.370693,0.618151,0.0,0.0,0.00213064,-0.542186,-1.0,-1.0,-0.379037,0.41067,1330.1,53.5,59.7,338.6,100.0,1.0
12959,81,168,2.860046,0.51683,-0.396394,0.0,2.5e-05,0.0019139,-0.168483,-1.0,0.455788,0.288558,0.542209,3700.4,71.8,66.1,544.1,100.0,1.0
13121,82,162,7.810534,0.266441,-0.156255,0.0,6e-06,0.0015676,0.162487,-0.66795,0.73045,0.789891,0.541564,5075.1,70.9,75.6,701.4,100.0,1.0
13278,83,157,-0.144503,1.0,0.6,0.004741,0.0,0.00338,-0.619519,-1.0,-0.821347,-0.527811,0.458186,1146.3,60.7,55.6,249.4,100.0,1.0
13433,84,155,0.047201,0.2,-0.508249,0.002733,0.042203,0.00152162,-0.232796,-1.0,-0.501219,0.189029,0.409001,2475.4,52.0,74.5,664.9,100.0,1.0
13594,85,161,6.111047,0.385489,-0.159513,0.000166,0.000133,0.0018046,0.039144,-0.866772,0.038486,0.665168,0.488041,4317.6,64.8,57.1,770.1,100.0,1.0
13755,86,161,6.527094,0.2,-0.09434,0.006282,0.006697,0.00171929,0.074457,-0.984871,0.112734,0.744018,0.424859,3867.6,55.4,61.3,941.7,100.0,1.0
13912,87,157,1.750024,0.971734,-0.36147,0.008422,0.0,0.00224061,-0.257762,-1.0,-0.873652,0.168051,0.392419,2366.4,50.6,63.1,251.6,100.0,1.0
14074,88,162,0.629746,0.427689,0.762246,0.002086,0.0,0.00264384,-0.395657,-1.0,-0.406954,-0.117132,0.466972,2195.9,62.2,52.8,394.2,100.0,1.0
14235,89,161,1.780713,0.939242,-0.419729,0.0,0.0,0.00194454,-0.216912,-1.0,-0.154641,0.181847,0.400414,2468.3,52.2,58.2,389.1,100.0,1.0
14391,90,156,-0.939132,0.276494,-0.278506,0.0,0.0,0.00158115,-0.296641,-1.0,-0.419001,0.117959,0.538681,3212.3,71.8,59.7,715.6,100.0,1.0
14555,91,164,0.391141,0.990836,-0.385188,0.008441,0.0,0.00208097,-0.320219,-1.0,-0.826479,0.086191,0.487961,2824.6,65.0,54.8,600.9,100.0,1.0
14713,92,158,-1.651352,0.726781,0.723413,0.005951,0.0,0.00231934,-0.455776,-1.0,-0.178288,-0.231597,0.524253,2125.2,69.1,67.1,629.7,100.0,1.0
14873,93,160,9.906908,0.2,-0.210237,0.000338,0.016635,0.00199716,0.212507,-0.845037,0.342935,0.946026,0.434579,4400.4,56.5,64.8,615.8,100.0,1.0
15029,94,156,9.9764,0.418103,-0.110404,0.006263,0.0,0.00209339,0.208921,-0.676045,-0.097014,0.94016,0.4844,5044.3,65.0,49.0,616.5,100.0,1.0
15187,95,158,6.770118,0.534498,-0.212054,0.0,0.0,0.00168126,0.097078,-0.975089,0.240111,0.770902,0.421442,3904.9,55.1,59.3,514.4,100.0,1.0
15350,96,163,6.810917,0.2,-0.249992,0.0,0.045047,0.00160142,0.102899,-0.792265,0.040127,0.763167,0.488951,4601.5,65.2,53.7,850.0,100.0,1.0
15507,97,157,11.617131,0.355734,-0.124262,0.019879,0.0,0.00216141,0.280547,-0.443894,0.132461,1.0,0.549188,5928.8,72.3,71.6,460.2,100.0,1.0
15669,98,162,2.029164,0.300652,-0.407504,0.002287,0.013599,0.00190292,-0.199897,-1.0,-0.566779,0.284868,0.455969,3064.4,59.6,64.3,672.7,100.0,1.0
15828,99,159,4.767088,0.807853,-0.282396,0.0,0.0,0.00172397,-0.019584,-0.858145,0.037351,0.561166,0.521621,4350.5,69.7,56.6,547.0,100.0,1.0
15991,100,163,3.12802,0.433346,-0.331787,0.006524,0.0,0.0017802,-0.12339,-1.0,-0.202594,0.378625,0.41029,2963.4,53.7,56.9,911.6,100.0,1.0
16151,101,160,0.566322,0.2,-0.335581,0.000871,0.090554,0.0019616,-0.283595,-1.0,-0.452882,0.12532,0.494445,2977.4,66.1,52.4,571.9,100.0,1.0
