==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen.csv
  Metrics log  → /workspace/training_metrics_nitrogen.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
     62      9922   159   -4.098    1856     56     38  -0.5915  -1.0000  -1.0000  -0.1682
     63     10085   163   -2.641    2581     58     62  -0.4601  -1.0000  -0.5953  +0.1094
     64     10247   162   -0.434    3384     67     63  -0.2610  -1.0000  +0.9581  +0.2687
     65     10405   158   +1.860    3917     60     45  -0.1662  -0.9719  +0.3915  +0.6396
     66     10565   160   -0.994    3023     56     63  -0.3770  -1.0000  -0.6882  +0.3631
     67     10725   160   +3.782    3497     60     56  -0.1938  -1.0000  +0.8691  +0.4571
     68     10884   159   -2.235    2438     56     84  -0.4935  -1.0000  -0.8831  +0.0941
     69     11043   159   +6.069    4795     62     60  +0.0161  -0.7414  +0.4486  +0.9284
     70     11201   158   -5.024    1880     72     52  -0.6550  -1.0000  -0.7509  -0.3499
     71     11362   161   -5.225    1699     53     74  -0.6017  -1.0000  -1.0000  -0.1966
     72     11521   159   -4.049    2495     64     76  -0.5301  -1.0000  -0.6898  -0.0333
     73     11680   159   -4.117    1028     63     85  -0.7563  -1.0000  -1.0000  -0.5933
     74     11838   158   -5.161    1512     56     60  -0.6471  -1.0000  -1.0000  -0.3201
     75     11994   156   -4.562    1792     71     63  -0.6737  -1.0000  -0.8567  -0.3728
     76     12145   151   -2.983    1493     68     68  -0.7113  -1.0000  -1.0000  -0.4513
     77     12310   165   -5.086    1782     64     42  -0.6454  -1.0000  -0.9482  -0.3029
     78     12475   165   +0.219    3849     68     55  -0.3600  -0.9897  -0.5401  +0.4076
     79     12637   162   +6.928    4841     62     44  +0.0612  -0.7294  +0.7204  +0.9605
     80     12791   154   -4.327    1340     55     60  -0.6728  -1.0000  -1.0000  -0.3946
     81     12959   168   +0.080    3720     75     67  -0.3343  -1.0000  +0.4753  +0.2335
     82     13121   162   +4.391    5145     73     78  +0.0037  -0.6497  +0.7322  +0.7687
     83     13278   157   -0.917    1084     64     55  -0.7372  -1.0000  -0.9109  -0.5733
     84     13433   155   -3.118    2532     54     76  -0.4208  -1.0000  -0.4927  +0.1791
     85     13594   161   +2.149    4461     68     58  -0.1590  -0.8293  +0.0697  +0.6461
     86     13755   161   +2.335    4044     58     62  -0.1408  -0.9386  +0.1852  +0.7376
     87     13912   157   -2.124    2382     52     64  -0.4710  -1.0000  -0.8775  +0.1365
     88     14074   162   -1.865    2150     65     53  -0.5551  -1.0000  -0.4528  -0.1772
     89     14235   161   -1.299    2549     54     59  -0.3846  -1.0000  -0.1136  +0.1713
     90     14391   156   -3.655    3301     74     61  -0.4627  -1.0000  -0.4134  +0.1135
     91     14555   164   -2.945    2867     68     55  -0.5157  -1.0000  -0.8206  +0.0524
     92     14713   158   -3.500    2088     73     67  -0.5772  -1.0000  -0.1768  -0.2841
     93     14873   160   +5.012    4453     58     67  -0.0236  -0.8314  +0.3512  +0.9186
     94     15029   156   +5.591    5188     67     51  -0.0048  -0.6382  -0.0728  +0.9314
     95     15187   158   +2.271    4021     57     60  -0.1248  -0.9446  +0.2877  +0.7555
     96     15350   163   +2.651    4739     68     55  -0.1043  -0.7561  +0.0628  +0.7326
     97     15507   157   +7.677    5980     74     74  +0.1010  -0.4303  +0.1332  +1.0000
     98     15669   162   -1.621    3135     62     65  -0.4066  -1.0000  -0.5433  +0.2638
     99     15828   159   +1.530    4545     73     58  -0.1842  -0.8070  +0.0941  +0.5644
    100     15991   163   -0.717    3035     56     58  -0.3325  -1.0000  -0.1925  +0.3498

