episode,timestep,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,w_yield,w_neff,w_water
19,3001,0.6723003387451172,-0.9507653713226318,-1.0,10181.464233398438,5169.866591051627,1945.6819719972325,0.023566216230392456,0.5475082993507385,0.428925484418869
20,3159,0.5357552170753479,-0.847339391708374,-1.0,9661.227416992188,1582.1415142264248,4180.007922033157,0.19091452658176422,0.771996796131134,0.037088699638843536
21,3318,0.9944690465927124,-0.9813876748085022,-1.0,11408.927001953125,15324.43618723571,1012.4108891949437,0.5103893876075745,0.1436271369457245,0.34598350524902344
22,3483,0.5866535902023315,-0.9822085499763489,-0.2723861634731293,9855.150146484375,13848.17115563996,508.95446239996124,0.022707251831889153,0.23152174055576324,0.7457709908485413
23,3640,1.0,-0.9779838919639587,-1.0,12304.60693359375,13972.260070987033,3677.460261167308,0.6930685639381409,0.19775423407554626,0.10917723178863525
24,3806,0.635524332523346,-0.9757614135742188,-1.0,10041.34765625,10356.783143800669,3334.987497636138,0.38934096693992615,0.35558247566223145,0.2550765573978424
25,3961,0.8965378999710083,-0.9759839773178101,-1.0,11035.809326171875,11487.960630288768,3401.0936957468275,0.4458860754966736,0.3195437788963318,0.23457014560699463
26,4123,0.9419233798980713,-0.980962336063385,-1.0,11208.72802734375,14719.169187695503,1084.2432348707157,0.22383353114128113,0.16021709144115448,0.6159493923187256
27,4287,-0.08277568966150284,-0.43584585189819336,-1.0,7304.6246337890625,323.69808852672577,4194.752227900186,0.051729872822761536,0.9304704070091248,0.017799723893404007
28,4443,0.5277775526046753,-0.977271318435669,-1.0,9630.83251953125,10593.250614706236,1073.5473479741438,0.07456590235233307,0.31288400292396545,0.6125500798225403
29,4605,0.7136842608451843,-0.984291672706604,-1.0,10339.136962890625,16454.895468771458,3858.3574972487986,1.0,0.0,0.0
30,4763,0.657805860042572,-0.9567595720291138,-1.0,10126.240234375,5854.610539367166,2420.843685186941,0.07742667943239212,0.5425741672515869,0.37999916076660156
31,4930,0.9776396751403809,-0.9807479381561279,-1.0,11344.80712890625,14731.919901644524,3908.3166475929147,0.800368070602417,0.17157039046287537,0.02806154638528824
32,5087,0.66363525390625,-0.9380932450294495,-1.0,10148.450317382812,4098.282256607032,1569.4584101412186,0.2928456664085388,0.2766762375831604,0.4304780662059784
33,5246,1.0,-0.9438435435295105,-0.3767735958099365,11669.730224609375,5195.186740279718,550.7094429335957,0.41903942823410034,0.01760530285537243,0.5633552670478821
34,5414,0.6929941177368164,-0.8477120995521545,-1.0,10260.3076171875,1684.360072812549,1896.9044782144629,0.021603483706712723,0.7465646862983704,0.23183183372020721
35,5582,0.06897613406181335,-0.961363673210144,0.4562654197216034,7882.799072265625,5100.642159262651,217.49383541196585,0.08405391126871109,0.034956153482198715,0.8809899091720581
36,5737,1.0,-0.9375116229057312,-1.0,11697.17529296875,4679.739744216204,815.382235820485,0.5827761292457581,0.04423591494560242,0.3729879856109619
37,5896,-0.19554686546325684,-0.8258046507835388,-1.0,6874.9664306640625,986.6746950417595,1183.6498504602578,0.15246185660362244,0.7905415892601013,0.05699656531214714
38,6054,0.842781126499176,-0.9296895265579224,-1.0,10830.99609375,3851.1321216016913,901.8267149180174,0.41482043266296387,0.512498140335083,0.07268139719963074
39,6218,1.0,-0.9404630661010742,-0.9405773282051086,12057.724609375,5063.127749919891,776.2309227883816,1.0,0.0,0.0
40,6370,0.5326155424118042,-0.9447945952415466,-1.0,9649.26513671875,4369.711006760597,829.0262341744929,0.7218631505966187,0.06882216781377792,0.20931470394134521
41,6533,0.3105113208293915,-0.94853276014328,-0.06214195489883423,8803.048095703125,4276.044816032396,424.8567821221164,0.049405116587877274,0.29770928621292114,0.6528856158256531
42,6694,0.9940499663352966,-0.9331998229026794,0.41405820846557617,11407.330322265625,4269.197847127914,234.37671700119972,0.0,0.0,1.0
43,6849,1.0,-0.9332835078239441,-0.8441547155380249,11565.107421875,4333.67458908403,737.6618951313151,0.43212175369262695,0.11252041906118393,0.4553578495979309
44,7010,1.0,-0.9227321743965149,-1.0,11584.189453125,3748.063959372747,807.7091159554341,0.29782208800315857,0.32570016384124756,0.37647774815559387
45,7167,0.5007993578910828,-0.9467549920082092,-0.09863682836294174,9528.045654296875,4473.678345041992,439.45473053876015,0.2462543249130249,0.33131957054138184,0.42242610454559326
46,7329,0.8580017685890198,-0.9609758853912354,-1.0,10888.98681640625,6975.803221806884,929.7731254318438,0.4363376200199127,0.08874195069074631,0.4749204218387604
47,7487,0.43476608395576477,-0.9429112672805786,-1.0,9276.458740234375,4062.2965007802536,863.0391128320334,0.3121071755886078,0.337564617395401,0.3503281772136688
48,7644,1.0,-0.9278272986412048,-1.0,11828.4765625,4097.28156298399,1013.3766623414475,0.7832536697387695,0.0036567705683410168,0.21308954060077667
49,7803,0.7155594825744629,-0.924066424369812,-1.0,10346.28173828125,3406.358551593089,880.4489482429417,0.5063008069992065,0.304423451423645,0.18927574157714844
50,7964,0.7903347611427307,-0.9472312331199646,-0.15244947373867035,10631.175537109375,5036.681110750466,460.9797868412685,0.21535050868988037,0.2005331665277481,0.5841163396835327
51,8121,1.0,-0.9062121510505676,-0.7394424080848694,11608.8427734375,3094.4421102508145,695.7769711623332,0.1503061056137085,0.3699532151222229,0.4797406792640686
52,8277,0.3106864094734192,-0.9443197846412659,-0.1489822417497635,8803.715209960938,3952.8022585816057,459.59289766324764,0.05738360434770584,0.32435622811317444,0.6182601451873779
53,8440,-0.7142286896705627,-1.0,0.4344598054885864,4898.788757324219,4689.318142808974,226.21607657521963,0.0573887825012207,0.05842381343245506,0.8841874003410339
54,8606,0.4332890510559082,-0.9491986036300659,0.2110467553138733,9270.831298828125,4562.290983462901,315.58129948501653,0.07167384028434753,0.20786422491073608,0.7204619646072388
55,8764,0.5489965081214905,-0.9336791038513184,-0.9811140298843384,9711.676635742188,3660.8669018745422,792.4456077609211,1.0,0.0,0.0
56,8930,0.3468533456325531,-0.8662947416305542,-1.0,8941.51123046875,1671.8698188584567,880.3257697112952,0.11476034671068192,0.6481567621231079,0.23708288371562958
57,9095,0.897118091583252,-0.9318946003913879,-1.0,11038.02001953125,4051.8167400582706,1234.9193820355458,0.5026646256446838,0.3042711317539215,0.19306425750255585
58,9262,0.7694453597068787,-0.9171813130378723,-1.0,10551.5869140625,3185.1461399218415,1004.4634983061751,0.21529732644557953,0.4856542646884918,0.29904842376708984
59,9428,0.23076239228248596,-0.9512544274330139,-1.0,8499.204711914062,4358.9609416127205,1128.3875545114279,0.9086719155311584,0.07825644314289093,0.013071632944047451
60,9583,0.8876978754997253,-0.8131850957870483,-1.0,11002.12890625,1472.3303682262635,1154.210750150711,0.18435126543045044,0.6810196042060852,0.13462913036346436
61,9743,0.7054603695869446,-0.85710209608078,-1.0,10307.803955078125,1803.3512986620954,1010.819547129679,0.0338657945394516,0.6436599493026733,0.32247427105903625
62,9904,1.0,-0.7938316464424133,-1.0,12485.933837890625,1514.0460701719887,1061.7631474630473,0.45003020763397217,0.4260139763355255,0.12395580857992172
63,10063,0.7141901254653931,-0.9429545402526855,-1.0,10341.064453125,4531.940703195553,827.5844179708224,0.5790292024612427,0.04090707749128342,0.3800637423992157
64,10224,1.0,-0.6161761283874512,-1.0,12595.42236328125,820.3907697327887,1003.2944505512714,0.14715176820755005,0.747373640537262,0.1054745689034462
65,10383,0.7330735325813293,-0.9032696485519409,-1.0,10413.01025390625,2691.246262110602,977.0036607422494,0.2365749180316925,0.4048521816730499,0.35857290029525757
66,10545,1.0,-0.9292064905166626,-1.0,11624.241943359375,4104.980484799447,1327.5575969016697,0.6272294521331787,0.2612221837043762,0.11154837906360626
67,10712,0.9171956181526184,-0.9345166087150574,-1.0,11114.515380859375,4243.25706787888,995.3171013765985,0.39918777346611023,0.29670971632003784,0.30410251021385193
68,10873,0.8498746752738953,-0.7714959383010864,-1.0,10858.0224609375,1187.946342612201,1146.5101638703213,0.054419226944446564,0.7171061635017395,0.22847458720207214
69,11033,0.30037161707878113,-0.9553232789039612,-1.0,8764.415893554688,4904.351247817278,1015.7091642380735,0.6712419390678406,0.04662727564573288,0.28213077783584595
70,11194,0.9258779883384705,-0.9381126165390015,-1.0,11147.59521484375,4503.178165644407,857.2700776370635,0.4336647689342499,0.08008497208356857,0.48625025153160095
71,11347,0.18649187684059143,-0.8979583978652954,0.3623579740524292,8330.534057617188,2040.9645887393115,255.05681135505438,0.0,0.0,1.0
72,11504,0.7424361109733582,-0.9376813769340515,-1.0,10448.681640625,4191.637097387911,1078.804492640309,0.7826104164123535,0.16495561599731445,0.05243396759033203
73,11669,-0.8400498628616333,-1.0,-1.0,4419.410095214844,140.0,1574.32625284791,0.0,1.0,0.0
74,11830,0.7675021886825562,-0.9417738318443298,0.579331636428833,10544.183349609375,4527.251944005489,168.26735000225923,0.0,0.0,1.0
75,11994,1.0,-0.9267243146896362,-0.7495547533035278,11573.428955078125,3948.592113095705,699.8218943341811,0.07475452870130539,0.35283517837524414,0.5724102854728699
76,12152,1.0,-0.9183477759361267,-1.0,11951.8896484375,3659.3901270627975,1159.3255631112345,0.8672894835472107,0.025413865223526955,0.1072966456413269
77,12313,1.0,-0.8629570603370667,-1.0,12288.64990234375,2241.7513400377666,934.1465498750091,0.266463965177536,0.47828373312950134,0.25525230169296265
78,12480,0.2591703236103058,-0.9530391097068787,-0.19471250474452972,8607.43896484375,4582.239905956738,477.8849995548221,0.24656441807746887,0.11693090200424194,0.6365046501159668
79,12632,0.5326155424118042,-0.932750403881073,-1.0,9649.26513671875,3587.109167176687,1104.572128303135,0.595548689365387,0.2605936527252197,0.1438576877117157
80,12794,1.0,-0.9739006161689758,-1.0,11450.0,10967.68377549826,1084.156648337841,0.6855357885360718,0.22229184210300446,0.09217235445976257
81,12951,-0.044978104531764984,-0.9657743573188782,0.42244523763656616,7448.6334228515625,5440.827147960663,231.02189913392067,0.0,0.0,1.0
82,13112,0.934238076210022,-0.7826629877090454,-1.0,11179.447021484375,1285.9574003895978,1211.3394907712936,0.2311946302652359,0.7175788879394531,0.051226504147052765
83,13273,1.0,-0.9289039969444275,-1.0,11702.76123046875,4115.127023696899,801.2878649409613,0.3561912477016449,0.14584769308567047,0.49796104431152344
84,13428,1.0,-0.9352990984916687,-1.0,12393.890380859375,4788.917447726258,1007.0572497695894,0.49424979090690613,0.1799444556236267,0.32580575346946716
85,13586,-0.8369659781455994,-1.0,-1.0,4431.15966796875,159.74226713180542,1106.7245926018804,0.0,1.0,0.0
86,13747,0.8605549931526184,-0.9297647476196289,-1.0,10898.714599609375,3879.3590643442267,1683.316994749482,0.6391992568969727,0.242850199341774,0.11795056611299515
87,13907,0.5913144946098328,-0.9400616884231567,-1.0,9872.908325195312,4117.946215268314,1203.2504735216498,0.795448362827301,0.16111551225185394,0.04343614727258682
88,14065,1.0,-0.9067670106887817,-1.0,11445.05126953125,3068.9374070746408,1013.2995193678491,0.16145150363445282,0.45984596014022827,0.3787025213241577
89,14223,0.9020246267318726,-0.94478440284729,-1.0,11056.7138671875,5006.1557940244675,1575.340728521347,1.0,0.0,0.0
90,14381,-0.9879529476165771,-1.0,-1.0,3855.8993530273438,158.00305306911469,1312.4261608584784,0.0,1.0,0.0
91,14538,0.8271811008453369,-0.9203522801399231,-1.0,10771.56005859375,3381.000543331976,1093.9572311278366,0.3550577461719513,0.3380925953388214,0.3068496286869049
92,14700,1.0,-0.9415189027786255,-1.0,12210.86181640625,5220.0015048536425,1227.137243273258,0.38866692781448364,0.3788330852985382,0.23250000178813934
93,14859,0.5673481822013855,-0.8869591951370239,-1.0,9781.5966796875,2163.289184378122,969.0239344396579,0.05765395238995552,0.6049943566322327,0.3373516798019409
94,15020,-0.3849431276321411,-0.1547573208808899,-1.0,6153.36669921875,182.0,1356.336844176054,0.0,1.0,0.0
95,15176,0.2489808201789856,-0.9499890208244324,-1.0,8568.616943359375,4283.366697606881,835.5250446371704,0.38354063034057617,0.2060011327266693,0.4104582369327545
96,15335,1.0,-0.9229112267494202,-1.0,12492.56103515625,4051.3555356238785,1296.3988182679873,0.3273928463459015,0.39767175912857056,0.27493542432785034
97,15495,1.0,-0.9342149496078491,-1.0,11524.8583984375,4379.739189594573,839.5632455824289,0.2746114730834961,0.322660893201828,0.4027276337146759
98,15652,0.26748937368392944,-0.8525369167327881,-1.0,8639.134521484375,1464.6268078363792,1201.8258635838488,0.21788151562213898,0.6862270832061768,0.09589141607284546
99,15810,0.18067528307437897,-0.10763642936944962,-0.3052010238170624,8308.372802734375,232.76310961302264,522.080410651364,0.07092269510030746,0.880756676197052,0.048320624977350235
100,15970,-0.06524241715669632,-0.9618048667907715,0.33292311429977417,7371.4263916015625,4824.8468542099,266.8307579958346,0.0,0.0,1.0
101,16128,1.0,-0.9086105227470398,-1.0,12118.3056640625,3315.015669224177,1138.4070042329479,0.3514626622200012,0.4422139525413513,0.20632340013980865
102,16292,1.0,-0.85219806432724,-1.0,11629.605712890625,1967.093128636133,1443.8184452652931,0.16214393079280853,0.735306441783905,0.10254963487386703
103,16452,0.7453257441520691,-0.9228022694587708,-0.9634700417518616,10459.691162109375,3387.3043129670264,785.3880225172729,0.1289123296737671,0.40548327565193176,0.46560439467430115
104,16611,1.0,-0.9042389988899231,-0.061250198632478714,12153.5205078125,3172.878201820371,424.5000794843307,0.2959323823451996,0.4679388999938965,0.23612873256206512
105,16773,0.994172990322113,-0.9271923303604126,-1.0,11407.799072265625,3917.102137458236,1106.2561576068401,0.6124352812767029,0.309271901845932,0.07829282432794571
106,16933,0.5163168907165527,-0.9549164772033691,-1.0,9587.167358398438,5316.337185303346,856.185967697533,0.44606077671051025,0.14826050400733948,0.40567871928215027
107,17089,0.21331562101840973,-0.9452987909317017,0.3952788710594177,8432.732543945312,3853.9994208216667,241.88844737410545,0.02159685641527176,0.041644904762506485,0.9367582201957703
108,17256,0.6810731887817383,-0.948781430721283,-0.8542665839195251,10214.888916015625,4985.931071321522,741.7066316137116,0.23451529443264008,0.256758451461792,0.5087262392044067
109,17422,-0.04557131603360176,-0.9240932464599609,-1.0,7446.373291015625,2452.474461570843,1654.1896897777915,1.0,0.0,0.0
110,17581,0.13271062076091766,-0.959040105342865,0.38515952229499817,8125.62744140625,4959.501594185829,245.9361945092678,0.0,0.0,1.0
111,17739,0.907005786895752,-0.9790357351303101,-1.0,11075.692138671875,13207.80877161026,1014.8157880306244,1.0,0.0,0.0
112,17901,0.9225955605506897,-0.8663012385368347,-1.0,11135.089111328125,2082.123071803955,1204.74397288434,0.1501285582780838,0.5816460847854614,0.2682253420352936
113,18062,1.0,-0.9065593481063843,-1.0,11672.481689453125,3122.966593575831,932.1979127240706,0.43619072437286377,0.43611830472946167,0.12769095599651337
114,18226,-0.3692883253097534,-0.9666686654090881,-1.0,6213.011474609375,4660.040282011032,1047.1919029175633,0.6815288066864014,0.10307999700307846,0.21539118885993958
115,18390,0.9160537719726562,-0.9434735178947449,-0.6304479241371155,11110.164794921875,4913.696740539463,652.1791743808202,0.39442530274391174,0.09901858121156693,0.5065561532974243
116,18552,1.0,-0.9382427930831909,-1.0,11814.27001953125,4782.546208042137,1099.3084332942963,0.7056530117988586,0.17060363292694092,0.12374336272478104
117,18712,0.9316377639770508,-0.9317444562911987,-1.0,11169.539794921875,4091.072940294437,927.8666934283173,0.41420063376426697,0.3595569431781769,0.22624243795871735
118,18871,1.0,-0.9710513353347778,-1.0,11493.9990234375,9926.19224411626,1212.9835803148337,0.6811184287071228,0.18565353751182556,0.13322803378105164
119,19029,1.0,-0.8453965187072754,-1.0,11448.4326171875,1851.2571952716369,997.2517984956503,0.34456783533096313,0.6362137198448181,0.019218457862734795
120,19192,-0.16237658262252808,-0.28191131353378296,-1.0,7001.34521484375,243.74932691327464,1452.958311955524,0.0266078133136034,0.8827008605003357,0.09069131314754486
121,19356,0.7101368308067322,-0.9455408453941345,-1.0,10325.621337890625,4740.0784306089845,1050.1255939810462,0.46947574615478516,0.24843865633010864,0.2820855975151062
122,19515,0.7088341116905212,-0.9428918361663818,-1.0,10320.657958984375,4518.03128258698,1202.7920356427599,0.6976983547210693,0.2250417321920395,0.07725988328456879
123,19672,0.1957264542579651,-0.9366253614425659,-0.5281220078468323,8365.7177734375,3300.1058465846077,611.2488120782695,0.020710410550236702,0.39437708258628845,0.5849125385284424
124,19826,0.7229225039482117,-0.9716073870658875,-1.0,10374.334716796875,9134.720931697178,1199.7280629492873,0.8979888558387756,0.09965398907661438,0.002357170917093754
125,19986,0.8224158883094788,-0.9476996660232544,-1.0,10753.404541015625,5140.217878122692,1031.9730867811045,0.5073066353797913,0.29613935947418213,0.1965540498495102
126,20144,0.8161607980728149,-0.9389533400535583,-1.0,10729.57275390625,4394.0065781877565,1149.544567443484,0.46206894516944885,0.3896315097808838,0.14829955995082855
127,20302,0.7761868238449097,-0.9033300280570984,-1.0,10577.271728515625,2735.4069414962178,1083.161601685701,0.2051062434911728,0.5333207249641418,0.26157304644584656
128,20465,1.0,-0.9430933594703674,-1.0,11445.849609375,5028.343976378441,1178.0384514431282,0.8373410105705261,0.03541186824440956,0.1272471398115158
129,20624,1.0,-0.9398755431175232,-1.0,12223.94775390625,5082.767590592825,1179.813421809215,0.7171218991279602,0.12561623752117157,0.1572618931531906
130,20779,0.9814103841781616,-0.9392246603965759,-0.5779327154159546,11359.173583984375,4672.607633739975,631.1730872727883,0.3531078100204468,0.06803727149963379,0.5788549184799194
131,20943,-0.40578702092170715,-0.1728208363056183,-1.0,6073.951416015625,183.57423943281174,809.1457199074805,0.0,1.0,0.0
132,21111,1.0,-0.9447488188743591,-1.0,12261.10107421875,5547.889179067526,1431.068128120917,0.8209102749824524,0.12387154996395111,0.055218182504177094
133,21274,0.8770754933357239,-0.8934659957885742,-1.0,10961.65771484375,2572.337669296385,941.8091981448689,0.03621535748243332,0.5745001435279846,0.3892844617366791
134,21439,0.31009334325790405,-0.9753840565681458,-1.0,8801.455688476562,8938.774402195353,1241.0640371801396,0.24123536050319672,0.3550269305706024,0.40373772382736206
135,21601,1.0,-0.865995466709137,-1.0,12049.4189453125,2247.9494569255176,953.2318485271802,0.005752128083258867,0.611137330532074,0.38311058282852173
136,21759,0.8041242361068726,-0.9453138113021851,-1.0,10683.71337890625,4884.09807423699,978.9898814949256,0.6989986300468445,0.13589364290237427,0.16510771214962006
137,21928,0.9335873126983643,-0.9036351442337036,-1.0,11176.9677734375,2899.648084882649,1105.3794149495661,0.35651612281799316,0.549308717250824,0.09417516738176346
138,22090,0.6549831628799438,-0.9739778637886047,-1.0,10115.48583984375,9718.156208574073,1124.4462527546648,0.5443652272224426,0.160507932305336,0.2951268255710602
139,22252,-0.7098159790039062,-1.0,-1.0,4915.6011962890625,177.9396095275879,1768.433693856001,0.0,1.0,0.0
140,22414,0.7175145745277405,-0.8610652089118958,-1.0,10353.73046875,1863.0556440620676,1078.832639061881,0.21066081523895264,0.6412183046340942,0.14812086522579193
141,22572,0.49339810013771057,-0.538646399974823,-1.0,9499.846801757812,514.7812003342547,1410.9499823308206,0.04486456885933876,0.8208242058753967,0.1343112289905548
142,22728,0.6626274585723877,-0.9408407211303711,0.4027913808822632,10144.610595703125,4286.992353856564,238.88345321267843,0.0,0.0,1.0
143,22885,-1.0,-1.0,0.3541461229324341,2788.511962890625,4140.002751361579,258.34155382215977,0.12178390473127365,0.09039460867643356,0.7878214716911316
144,23048,0.8071154356002808,-0.9421923160552979,-1.0,10695.10986328125,4625.29584813118,878.6008200534834,0.5654209852218628,0.054674919694662094,0.3799040615558624
145,23206,1.0,-0.856788158416748,-1.0,11568.9892578125,2019.5588250686792,1013.1773061273643,0.08495716005563736,0.6682950854301453,0.24674773216247559
146,23363,0.952562689781189,-0.9234714508056641,-0.5558866262435913,11249.263916015625,3674.859044715451,622.3546547598002,0.1737922579050064,0.28717154264450073,0.539036214351654
147,23520,1.0,-0.9024356603622437,-1.0,12026.03271484375,3081.5649269293594,1009.8897581308737,0.189434215426445,0.4696256220340729,0.3409401774406433
148,23682,1.0,-0.8771344423294067,-1.0,11495.264892578125,2338.9923801175346,1107.1801353573005,0.39422720670700073,0.5893341302871704,0.016438687220215797
149,23839,0.9468981027603149,-0.9245045781135559,-1.0,11227.681884765625,3718.0013454459913,922.7304358358299,0.16932429373264313,0.41073986887931824,0.41993585228919983
150,23997,0.8377900123596191,-0.36276277899742126,-1.0,10811.97998046875,424.1740541897394,1774.7297965288162,0.15125511586666107,0.8413230776786804,0.0074218036606907845
151,24154,0.6031103134155273,-0.9383220672607422,-1.0,9917.850341796875,4020.0150564652527,1095.5460808351636,0.5996959805488586,0.3349977731704712,0.06530627608299255
152,24315,0.8294305801391602,-0.9723867774009705,-1.0,10780.130615234375,9759.942003836624,1174.2820689590485,0.5308138132095337,0.17465616762638092,0.2945300042629242
153,24476,1.0,-0.9400471448898315,-1.0,11668.87451171875,4865.854052565896,975.9210161404842,0.5250236988067627,0.251132994890213,0.2238433063030243
154,24634,0.6889296174049377,-0.8537577390670776,-1.0,10244.82177734375,1751.3444800069055,1257.3797161906975,0.12723936140537262,0.740221381187439,0.13253922760486603
155,24796,-1.0,-1.0,0.39159053564071655,2878.2119750976562,5483.13242867589,243.36377979442477,0.0,0.0,1.0
156,24962,1.0,-0.8636224269866943,-1.0,11915.6640625,2184.3150129646983,1374.5237190754697,0.1964264214038849,0.6518607139587402,0.15171286463737488
157,25124,0.8201650977134705,-0.8803791403770447,-1.0,10744.8291015625,2245.600539940257,1075.0248426289509,0.10954002290964127,0.5973159670829773,0.29314398765563965
158,25285,1.0,-0.9457707405090332,-1.0,12024.90966796875,5543.550516605377,1029.1380591368447,0.548460066318512,0.04019381105899811,0.41134607791900635
159,25445,0.9708536863327026,-0.9467490911483765,-1.0,11318.95263671875,5313.972705456991,1285.9507262280083,0.6881199479103088,0.21829745173454285,0.09358261525630951
160,25598,-0.5357494354248047,-0.13465207815170288,-1.0,5578.7945556640625,161.17200911045074,1647.9736226201057,0.0,1.0,0.0
161,25755,0.2580547034740448,-0.9496896266937256,-1.0,8603.1884765625,4275.054836869225,886.0916218303947,0.3978949189186096,0.2520785629749298,0.35002651810646057
162,25913,1.0,-0.8543314337730408,-1.0,13707.918701171875,2352.586966124649,1311.2308287029623,0.07620420306921005,0.6910854578018188,0.2327103614807129
163,26076,1.0,-0.9504071474075317,-1.0,11610.594482421875,5852.954513370991,1261.282767727971,1.0,0.0,0.0
164,26238,-0.5132348537445068,-0.25130268931388855,-1.0,5664.5751953125,189.14770877361298,2012.177955031395,0.0,1.0,0.0
165,26393,0.7973613739013672,-0.9433284997940063,-1.0,10657.94677734375,4701.632635353055,1019.4380724411458,0.683431088924408,0.30693528056144714,0.0096336230635643
166,26552,-0.7007505297660828,-1.0,0.0737166479229927,4950.140380859375,5362.958528484564,370.5133398685523,0.11021143198013306,0.17812174558639526,0.7116668224334717
167,26714,0.8992794752120972,-0.9152963161468506,-1.0,11046.2548828125,3260.264382628711,1261.8527792974746,0.17142915725708008,0.49213099479675293,0.336439847946167
168,26878,0.11570055037736893,-0.955629289150238,0.3668898642063141,8060.819091796875,4541.744117617607,253.244055069983,0.1904340386390686,0.03485070541501045,0.77471524477005
169,27037,0.9623123407363892,-0.9406762719154358,-1.0,11286.409912109375,4756.278646111488,1146.037484049797,1.0,0.0,0.0
170,27199,1.0,-0.9073823094367981,-1.0,11497.3388671875,3103.4405883036743,1222.6787567197694,0.21879041194915771,0.5154010653495789,0.2658085227012634
171,27356,0.9412233233451843,-0.9346038699150085,-1.0,11206.060791015625,4283.913964629173,1365.1392550766468,1.0,0.0,0.0
172,27517,-0.8940373659133911,-1.0,0.3728141784667969,4213.7176513671875,4945.713907778263,250.87433457374573,0.0,0.0,1.0
173,27680,0.5843736529350281,-0.9446402192115784,-0.4440609812736511,9846.463623046875,4446.578478217125,577.624389655895,0.2789021134376526,0.10194865614175797,0.6191492676734924
174,27835,0.8254484534263611,-0.9277339577674866,-1.0,10764.95849609375,3724.073647646958,1252.3875071108341,0.771159291267395,0.15431149303913116,0.07452919334173203
175,27993,-0.09001436084508896,-0.9600677490234375,0.7441869378089905,7277.0452880859375,4555.86864298492,102.32522150411647,0.19458240270614624,0.14080819487571716,0.664609432220459
176,28152,1.0,-0.9210212826728821,-1.0,11873.975830078125,3758.601196690479,891.4425142120887,0.17804977297782898,0.3565492033958435,0.4654010236263275
177,28308,-0.5844215750694275,-0.9619677662849426,0.2484971582889557,5393.3538818359375,3545.252628594637,300.6011391207576,0.0,0.0,1.0
178,28465,0.9807631969451904,-0.7717700600624084,-1.0,11356.707763671875,1243.9985104112166,1102.9404743829473,0.08905308693647385,0.7231642007827759,0.18778273463249207
179,28625,1.0,-0.9289593696594238,-1.0,11842.518310546875,4167.51528626565,1473.422942942078,0.7156481742858887,0.23158489167690277,0.05276692658662796
