name,episode,cum_reward,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,R_seasonal,R_yield,R_hiad,R_ane
Stage-based,13,-0.2233,5078.6,150.0,390.0,1103.0,-0.524,-0.667,-0.5811,-0.1536
Stage-based,14,0.1567,6623.3,150.0,380.0,532.4,-0.2488,-0.2616,-0.2433,0.1039
Stage-based,15,0.1143,6530.2,150.0,400.0,746.6,-0.2653,-0.286,-0.2238,0.0884
Stage-based,16,-0.1743,5444.7,150.0,390.0,477.2,-0.4677,-0.5709,-0.5852,-0.0925
Stage-based,17,0.2265,7472.1,150.0,420.0,569.5,-0.0998,-0.0388,0.0113,0.2453
Stage-based,18,-0.085,5605.5,150.0,400.0,820.9,-0.4039,-0.5287,-0.1772,-0.0658
Stage-based,19,0.1413,6762.2,150.0,390.0,478.0,-0.238,-0.2251,-0.3305,0.127
Stage-based,20,0.4765,8569.9,150.0,400.0,391.4,0.0869,0.2493,0.1367,0.4283
FAO-56,1,0.6255,8298.0,120.0,225.0,358.1,0.2066,0.1779,0.2175,0.7287
FAO-56,2,0.0678,5448.9,120.0,75.0,635.9,-0.2961,-0.5698,-0.3377,0.1352
FAO-56,3,-0.0196,5015.5,120.0,25.0,946.6,-0.3457,-0.6836,-0.2071,0.0449
FAO-56,4,0.6317,8258.2,120.0,175.0,613.3,0.2085,0.1675,0.2031,0.7205
FAO-56,5,0.417,7380.2,120.0,225.0,244.8,0.039,-0.0629,0.0795,0.5375
FAO-56,6,0.1413,5799.2,120.0,225.0,440.5,-0.2378,-0.4779,-0.0411,0.2082
FAO-56,7,0.3276,6832.2,120.0,225.0,382.3,-0.0773,-0.2068,-0.1656,0.4234
FAO-56,8,0.7428,8840.2,120.0,300.0,231.3,0.3042,0.3203,0.4361,0.8417
FAO-56,9,0.0605,5598.9,120.0,225.0,500.8,-0.3165,-0.5305,-0.4927,0.1664
FAO-56,10,0.3888,6893.0,120.0,150.0,654.1,-0.0051,-0.1908,0.3045,0.436
FAO-56,11,-0.0729,4592.8,120.0,175.0,359.1,-0.4838,-0.7945,-0.5799,-0.0432
FAO-56,12,-0.4139,2350.6,120.0,250.0,471.7,-0.7631,-1.0,-1.0,-0.5103
FAO-56,13,-0.2787,4133.2,120.0,100.0,1103.0,-0.5656,-0.9152,-0.7788,-0.1389
FAO-56,14,0.2563,6730.6,120.0,350.0,532.4,-0.1227,-0.2334,-0.1999,0.4022
FAO-56,15,0.6056,7948.4,120.0,100.0,746.6,0.1847,0.0862,0.3346,0.6559
FAO-56,16,0.2773,6656.9,120.0,100.0,477.2,-0.079,-0.2528,-0.1398,0.3869
FAO-56,17,0.5132,7853.2,120.0,175.0,569.5,0.1332,0.0612,0.1286,0.6361
FAO-56,18,0.4478,7076.9,120.0,75.0,820.9,0.0691,-0.1425,0.5885,0.4744
FAO-56,19,0.3919,7120.2,120.0,225.0,478.0,-0.0212,-0.1312,-0.0875,0.4834
FAO-56,20,0.2771,6555.3,120.0,200.0,391.4,-0.1185,-0.2795,-0.1638,0.3657
