timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
5590,35,157,1.447314,0.2,-0.335895,0.0,0.009852,0.00110337,-0.104137,-0.965227,0.361722,0.703587,0.314509,3942.5,57.9,47.8,528.9,100.0,1.0
5745,36,155,-4.627722,0.302088,0.6,0.001579,3.9e-05,0.00163059,-0.690329,-1.0,-1.0,-0.716506,0.358221,914.2,80.6,52.5,569.1,100.0,1.0
5906,37,161,-3.155783,1.0,0.748997,0.0,0.0,0.00151244,-0.391472,-1.0,0.043539,-0.026568,0.393874,2474.0,63.5,61.1,441.7,100.0,1.0
6075,38,169,-0.296776,1.0,0.690706,0.001251,0.0,0.00273291,-0.554429,-1.0,-0.428488,-0.400454,0.404126,1377.9,57.5,63.7,364.0,100.0,1.0
6234,39,159,-2.871378,0.688441,-0.429564,0.004846,0.0,0.00121426,-0.33109,-1.0,-0.083181,0.202815,0.381761,2976.3,61.9,59.2,457.8,100.0,1.0
6391,40,157,-6.007018,0.594249,0.68929,0.001282,0.0,0.00124822,-0.523304,-1.0,-0.870377,-0.19254,0.367154,2267.7,70.2,55.5,702.5,100.0,1.0
6551,41,160,-1.48806,0.2,-0.360448,0.014627,0.006254,0.00119123,-0.261431,-0.924371,-0.024408,0.404804,0.426681,4098.1,72.9,65.6,1017.2,100.0,1.0
6711,42,160,-2.498544,0.2,-0.255338,0.0,0.032532,0.00121233,-0.312978,-1.0,-0.382153,0.388191,0.403487,3458.9,62.3,63.0,569.7,100.0,1.0
6866,43,155,-0.823117,0.578376,-0.237642,0.0,0.0,0.00120405,-0.224966,-1.0,-0.25272,0.60536,0.375148,3803.1,59.2,58.4,608.3,100.0,1.0
7029,44,163,2.303252,0.935063,-0.307382,0.010562,0.0,0.00126806,-0.096474,-0.711853,0.381468,0.630872,0.416912,4907.8,75.2,63.6,550.0,100.0,1.0
7189,45,160,-2.539206,1.0,-0.467682,0.011427,0.0,0.00122835,-0.315567,-1.0,-0.045149,0.286312,0.419845,3200.5,62.2,65.9,514.3,100.0,1.0
7350,46,161,-5.494953,0.444199,0.688981,0.0,0.0,0.00133504,-0.477307,-1.0,-0.610912,-0.148178,0.347893,2078.5,61.0,53.3,572.3,100.0,1.0
7514,47,164,-3.967306,0.2,-0.467144,0.007004,0.131135,0.0012471,-0.390794,-1.0,-0.38225,0.080049,0.361669,2815.3,65.2,55.2,569.3,100.0,1.0
7674,48,160,-0.088776,0.139263,-0.345878,0.013701,0.0,0.00154639,-0.251342,-0.966522,-0.14349,0.482905,0.400668,3937.5,66.4,61.9,237.4,100.0,1.0
7838,49,164,-4.327165,1.0,-0.399045,0.00099,0.0,0.00142316,-0.436166,-1.0,-0.617182,0.126754,0.464212,3093.5,68.6,72.8,561.9,100.0,1.0
8003,50,165,0.474694,0.355362,-0.247386,0.001217,0.0,0.00113698,-0.164534,-0.843388,0.046688,0.603961,0.398697,4406.7,68.7,61.3,677.8,100.0,1.0
8161,51,158,-3.383802,0.698412,-0.368659,0.000239,0.0,0.00142299,-0.382353,-1.0,-0.598308,0.275555,0.443396,2854.1,55.9,70.8,518.2,100.0,1.0
8317,52,156,-3.862217,0.2,-0.461284,0.019017,0.120637,0.00112438,-0.354432,-1.0,-0.458906,0.355904,0.472321,2597.9,47.9,77.0,544.0,100.0,1.0
8477,53,160,-6.523895,0.587088,-0.369804,0.007413,0.0,0.00100845,-0.539819,-1.0,-0.9508,-0.222268,0.365881,2131.5,68.5,55.5,748.5,100.0,1.0
8637,54,160,-4.778913,0.2,0.6,0.000476,0.074051,0.0015289,-0.685206,-1.0,-1.0,-0.583514,0.457575,979.0,58.8,73.0,422.8,100.0,1.0
8802,55,165,-0.571475,0.2,-0.244504,0.013796,0.051492,0.00142629,-0.261544,-0.955764,-0.229312,0.502996,0.430203,3978.5,66.2,67.2,563.5,100.0,1.0
8958,56,156,-6.136652,0.2,-0.446388,0.004698,0.030715,0.00114817,-0.529078,-1.0,-0.943391,-0.217735,0.341196,1909.4,61.0,52.1,562.5,100.0,1.0
9118,57,160,0.45643,0.435841,-0.107594,0.002937,0.0,0.00131345,-0.188111,-0.951735,-0.10315,0.620102,0.359694,3993.9,61.6,55.3,486.4,100.0,1.0
9278,58,160,-3.977264,0.2,0.664876,0.006389,0.018254,0.00176096,-0.568346,-1.0,-0.837237,-0.454897,0.280439,1709.9,78.4,39.1,495.5,100.0,1.0
9440,59,162,-4.855045,0.611066,-0.505499,0.0,0.0,0.00147565,-0.541157,-1.0,-1.0,-0.191216,0.382263,1611.6,49.8,60.9,202.8,100.0,1.0
9603,60,163,-6.011767,0.539468,-0.433322,0.027271,5e-06,0.00114025,-0.562539,-1.0,-0.857775,-0.168063,0.503835,2542.5,76.4,78.8,886.9,100.0,1.0
9763,61,160,-0.763169,0.2,-0.362795,0.000839,0.224535,0.00122975,-0.231719,-1.0,-0.360856,0.507142,0.279361,3607.6,59.8,41.4,389.8,100.0,1.0
9922,62,159,-5.043309,1.0,-0.483859,0.001348,0.0,0.00145599,-0.49479,-1.0,-1.0,-0.183667,0.256256,1846.0,56.5,37.7,474.9,100.0,1.0
10085,63,163,-4.649887,0.467374,-0.446654,0.0,5e-06,0.00123812,-0.418637,-1.0,-0.612619,0.097173,0.390077,2553.8,58.2,61.1,530.1,100.0,1.0
10247,64,162,-1.669668,0.427147,-0.335109,0.000269,0.0,0.00082899,-0.211544,-1.0,0.978176,0.266206,0.397781,3385.8,66.8,61.3,582.5,100.0,1.0
10405,65,158,1.293535,0.925524,-0.311368,0.0,0.0,0.00110218,-0.113559,-0.964644,0.403255,0.641007,0.300074,3944.7,60.1,45.0,495.3,100.0,1.0
