scenario,scenario_label,level_idx,level_label,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
clean,No Fault (Clean),0,clean,yield,-0.764022171497345,-0.9974159002304077,0.9947437047958374,3551.2766723632812,14792.501658630372,2.1025062561035157
clean,No Fault (Clean),0,clean,n_eff,-0.7677105665206909,-0.8093851804733276,0.9998363256454468,4060.925308227539,314.8,0.06544609069824218
clean,No Fault (Clean),0,clean,water,-1.0,-1.0,0.9958974123001099,2601.6148071289062,16917.384098815917,1.6410316467285155
clean,No Fault (Clean),0,clean,balanced,-0.8687202334403992,-0.9980480074882507,0.9984585046768188,3689.284210205078,13777.777252197266,0.6166053771972656
dropout_soil,Soil Moisture Dropout,0,0%,yield,-0.7225897312164307,-0.9961329698562622,0.9946457743644714,4457.747741699219,15073.836003112792,2.1417022705078126
dropout_soil,Soil Moisture Dropout,0,0%,n_eff,-0.7828137874603271,-0.8243288993835449,0.999832272529602,3607.2767333984375,322.8,0.06707878112792968
dropout_soil,Soil Moisture Dropout,0,0%,water,-0.6684722304344177,-0.9973710179328918,0.9959222674369812,4495.707000732422,16813.061067199706,1.6311050415039063
dropout_soil,Soil Moisture Dropout,0,0%,balanced,-0.6279544830322266,-0.9947880506515503,0.9984174966812134,4115.251571655273,14151.110571289062,0.6330032348632812
dropout_soil,Soil Moisture Dropout,1,5%,yield,-0.5530340671539307,-0.9932863116264343,0.9946999549865723,5182.621246337891,14900.023820495606,2.120026397705078
dropout_soil,Soil Moisture Dropout,1,5%,n_eff,-0.8566383123397827,-0.9087114334106445,0.9998353719711304,3538.0626525878906,316.8,0.06585426330566406
dropout_soil,Soil Moisture Dropout,1,5%,water,-0.9881613850593567,-1.0,0.9959084391593933,2620.756362915039,16849.152389526367,1.6366195678710938
dropout_soil,Soil Moisture Dropout,1,5%,balanced,-0.73206627368927,-0.9956903457641602,0.9983832240104675,3672.3721923828125,14453.332781982423,0.646701431274414
dropout_soil,Soil Moisture Dropout,2,10%,yield,-0.7607051730155945,-0.997231125831604,0.9946602582931519,3446.7879028320312,15012.095104980468,2.135898208618164
dropout_soil,Soil Moisture Dropout,2,10%,n_eff,-0.6383751034736633,-0.782025933265686,0.9998332858085632,4423.843048095703,320.8,0.06667098999023438
dropout_soil,Soil Moisture Dropout,2,10%,water,-0.7064725756645203,-0.9962784051895142,0.995928168296814,4215.525924682617,16765.602616882323,1.6287139892578124
dropout_soil,Soil Moisture Dropout,2,10%,balanced,-0.6141451001167297,-0.993503212928772,0.9984105229377747,5088.993591308594,14204.443902587891,0.635791015625
dropout_soil,Soil Moisture Dropout,3,20%,yield,-0.5791065096855164,-0.9949957132339478,0.9946993589401245,5034.92724609375,14899.470027160645,2.120264434814453
dropout_soil,Soil Moisture Dropout,3,20%,n_eff,-0.7358354926109314,-0.8591984510421753,0.9998356103897095,3772.735382080078,316.4,0.06577262878417969
dropout_soil,Soil Moisture Dropout,3,20%,water,-0.4610174298286438,-0.9935154914855957,0.9959677457809448,5667.842529296875,16598.520964050294,1.612889862060547
dropout_soil,Soil Moisture Dropout,3,20%,balanced,-0.9547061920166016,-1.0,0.9984222650527954,3277.549041748047,14097.777239990235,0.6311126708984375
dropout_soil,Soil Moisture Dropout,4,50%,yield,-0.4037332534790039,-0.9924303293228149,0.9946403503417969,5259.625274658203,15068.073948669433,2.143868637084961
dropout_soil,Soil Moisture Dropout,4,50%,n_eff,-0.6577320694923401,-0.7382731437683105,0.9998325109481812,5114.0408935546875,322.4,0.06699905395507813
dropout_soil,Soil Moisture Dropout,4,50%,water,-0.5300886631011963,-0.9940436482429504,0.9958881139755249,5039.218154907227,16932.096492004395,1.6447345733642578
dropout_soil,Soil Moisture Dropout,4,50%,balanced,-0.8050976991653442,-0.9960581660270691,0.9984006881713867,3897.9512939453125,14293.332788085938,0.6397335052490234
packet_loss,Packet Loss (Type 1),0,0%,yield,-0.9791238903999329,-1.0,0.994756817817688,3157.4057006835938,14754.988766479491,2.097279739379883
packet_loss,Packet Loss (Type 1),0,0%,n_eff,-0.7726660370826721,-0.8884977102279663,0.9998339414596558,3747.149871826172,319.6,0.06642570495605468
packet_loss,Packet Loss (Type 1),0,0%,water,-0.6638308763504028,-0.9958097338676453,0.9958775639533997,4274.097320556641,17000.84666595459,1.648971176147461
packet_loss,Packet Loss (Type 1),0,0%,balanced,-0.7083183526992798,-0.9969523549079895,0.9983842968940735,4113.2430419921875,14453.332781982423,0.64627685546875
packet_loss,Packet Loss (Type 1),1,5%,yield,-0.5418518781661987,-0.9968357086181641,0.9947370290756226,5008.533248901367,14811.077088928223,2.105194854736328
packet_loss,Packet Loss (Type 1),1,5%,n_eff,-0.9693684577941895,-1.0,0.999835193157196,2912.9164276123047,316.4,0.06591758728027344
