episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
92,14769,clean,0,1,1.0,-0.7864,-1.0,163,0.006194
93,14928,clean,0,1,0.7127,-0.9417,-1.0,159,0.005647
94,15095,clean,0,1,0.7897,-0.9591,-1.0,167,0.003964
95,15252,clean,0,1,1.0,-0.937,-0.9663,157,0.007974
96,15409,clean,0,1,-0.7029,-1.0,-1.0,157,0.004344
97,15565,clean,0,1,1.0,-0.9357,-1.0,156,0.007647
98,15725,clean,0,1,0.8475,-0.9576,-1.0,160,0.005672
99,15884,clean,0,1,1.0,-0.9398,-1.0,159,0.00563
100,16050,clean,0,1,0.9002,-0.9454,-0.7224,166,0.004825
101,16208,clean,0,1,0.2353,-0.9407,-1.0,158,0.002655
102,16373,clean,0,1,-0.4873,-0.3379,-1.0,165,0.004139
103,16530,clean,0,1,0.0364,-0.971,0.2599,157,0.012734
104,16697,clean,0,1,0.691,-0.9576,-1.0,167,0.009427
105,16864,clean,0,1,0.5446,-0.958,-0.4572,167,0.007954
106,17025,clean,0,1,0.5061,-0.7765,-1.0,161,0.009816
107,17188,clean,0,1,1.0,-0.8972,-1.0,163,0.008487
108,17338,clean,0,1,1.0,-0.9357,-0.6625,150,0.005415
109,17501,clean,0,1,0.8901,-0.9027,-1.0,163,0.005048
110,17659,clean,0,1,0.7982,-0.9544,0.3344,158,0.003779
111,17816,clean,0,1,0.4937,-0.9519,-1.0,157,0.003687
112,17980,clean,0,1,0.5773,-0.9235,-1.0,164,0.004723
113,18146,clean,0,1,1.0,-0.9101,-1.0,166,0.004176
114,18310,clean,0,1,0.7433,-0.8885,-1.0,164,0.00537
115,18471,clean,0,1,1.0,-0.9527,-1.0,161,0.003572
116,18638,clean,0,1,0.6621,-0.9491,-1.0,167,0.006014
117,18802,clean,0,1,1.0,-0.8109,-1.0,164,0.007063
118,18960,clean,0,1,1.0,-0.5618,-1.0,158,0.007323
119,19120,clean,0,1,0.5827,-0.9533,-1.0,160,0.009356
120,19269,clean,0,1,0.757,-0.9446,-0.2743,149,0.005957
121,19428,clean,0,1,1.0,-0.9096,-1.0,159,0.00423
122,19585,clean,0,1,0.783,-0.942,-1.0,157,0.005227
123,19745,clean,0,1,0.9573,-0.9264,-1.0,160,0.002869
124,19910,clean,0,1,0.9424,-0.9529,-1.0,165,0.006651
125,20066,clean,0,1,0.794,-0.9509,-1.0,156,0.005816
126,20225,clean,0,1,0.9725,-0.9515,-1.0,159,0.003564
127,20387,clean,0,1,1.0,-0.9487,-1.0,162,0.003754
128,20544,clean,0,1,1.0,-0.9511,-1.0,157,0.003357
129,20706,clean,0,1,1.0,-0.9397,-1.0,162,0.001963
130,20861,clean,0,1,0.4971,-0.9582,-1.0,155,0.003237
131,21016,clean,0,1,0.02,-0.9626,0.2835,155,0.003314
132,21177,clean,0,1,-0.2954,-0.9674,-0.2998,161,0.007325
133,21335,clean,0,1,0.6335,-0.738,-1.0,158,0.002937
134,21492,clean,0,1,0.561,-0.9316,-1.0,157,0.002221
135,21649,clean,0,1,0.9658,-0.9469,-0.7358,157,0.004064
136,21809,clean,0,1,1.0,-0.9483,-1.0,160,0.003133
137,21966,clean,0,1,0.2838,-0.961,0.0817,157,0.002843
138,22127,clean,0,1,1.0,-0.9284,-1.0,161,0.003324
139,22282,clean,0,1,0.8176,-0.9533,-1.0,155,0.004634
140,22448,clean,0,1,0.8765,-0.9465,-1.0,166,0.002369
141,22607,clean,0,1,-0.1502,-0.9676,-0.0159,159,0.002462
142,22766,clean,0,1,1.0,-0.9374,-0.6971,159,0.002953
143,22925,clean,0,1,0.6137,-0.8198,-1.0,159,0.005197
144,23084,clean,0,1,1.0,-0.8399,-1.0,159,0.001775
145,23240,clean,0,1,1.0,-0.8897,-1.0,156,0.005899
146,23398,clean,0,1,0.768,-0.948,-1.0,158,0.001729
147,23562,clean,0,1,0.8436,-0.9477,0.3259,164,0.005178
148,23721,clean,0,1,0.9764,-0.9401,-1.0,159,0.003252
149,23878,clean,0,1,0.6546,-0.9535,-0.2547,157,0.003987
150,24039,clean,0,1,1.0,-0.9378,-1.0,161,0.003363
151,24197,clean,0,1,0.5741,-0.9504,-0.6704,158,0.001782
152,24357,clean,0,1,0.7725,-0.9507,-1.0,160,0.002028
153,24520,clean,0,1,0.6214,-0.9501,-0.7859,163,0.003374
154,24682,clean,0,1,-0.1484,-0.966,0.3281,162,0.003784
155,24842,clean,0,1,0.5864,-0.9604,-1.0,160,0.003251
156,24997,clean,0,1,-0.4716,-0.3135,-1.0,155,0.003236
157,25157,clean,0,1,0.8769,-0.9393,-1.0,160,0.002762
158,25317,clean,0,1,0.7523,-0.9522,-1.0,160,0.005359
159,25475,clean,0,1,1.0,-0.9349,-1.0,158,0.002131
160,25630,clean,0,1,-0.2833,-0.1518,-1.0,155,0.004605
161,25783,clean,0,1,1.0,-0.9356,-1.0,153,0.001481
162,25943,clean,0,1,-0.0609,-0.0166,-1.0,160,0.002365
163,26099,clean,0,1,-0.2567,-0.9728,0.2611,156,0.00182
164,26261,clean,0,1,-0.114,-0.9697,0.3003,162,0.00224
165,26423,clean,0,1,1.0,-0.946,-1.0,162,0.002981
166,26585,clean,0,1,0.533,-0.9434,-1.0,162,0.001296
167,26751,clean,0,1,1.0,-0.9189,-1.0,166,0.00331
168,26915,clean,0,1,-0.6621,-0.9758,0.3228,164,0.002572
169,27071,clean,0,1,0.8116,-0.9481,-1.0,156,0.001553
