episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
397,63536,clean,0,1,0.7668,-0.9443,-1.0,162,0.001273
398,63695,clean,0,1,0.6901,-0.9422,-1.0,159,0.000763
399,63858,clean,0,1,1.0,-0.9431,-0.8646,163,0.001321
400,64017,clean,0,1,0.4359,-0.96,-0.4886,159,0.001018
401,64173,clean,0,1,1.0,-0.948,-1.0,156,0.000763
402,64332,clean,0,1,0.902,-0.9499,-0.4533,159,0.001303
403,64497,clean,0,1,1.0,-0.9472,-1.0,165,0.001315
404,64653,clean,0,1,0.9415,-0.9453,-1.0,156,0.001316
405,64816,clean,0,1,0.7312,-0.9568,-1.0,163,0.000912
406,64981,clean,0,1,1.0,-0.927,-1.0,165,0.001082
407,65142,clean,0,1,0.8021,-0.9558,-1.0,161,0.001162
408,65298,clean,0,1,1.0,-0.9386,-0.7402,156,0.001243
409,65452,clean,0,1,0.4962,-0.9568,-1.0,154,0.001245
410,65608,clean,0,1,-0.0122,-0.0897,-1.0,156,0.001247
411,65771,clean,0,1,0.8468,-0.9491,-1.0,163,0.000748
412,65939,clean,0,1,0.9482,-0.9497,-1.0,168,0.00115
413,66100,clean,0,1,0.9674,-0.9377,-1.0,161,0.000659
414,66261,clean,0,1,1.0,-0.9124,-1.0,161,0.000945
415,66418,clean,0,1,0.2692,-0.9581,0.1232,157,0.000676
416,66572,clean,0,1,1.0,-0.7221,-1.0,154,0.001031
417,66735,clean,0,1,0.9806,-0.9333,-1.0,163,0.000599
418,66895,clean,0,1,0.8787,-0.901,-1.0,160,0.001141
419,67052,clean,0,1,0.9898,-0.9408,-0.5667,157,0.000685
420,67214,clean,0,1,1.0,-0.954,-1.0,162,0.000604
421,67370,clean,0,1,1.0,-0.9375,-1.0,156,0.000958
422,67532,clean,0,1,1.0,-0.9304,-1.0,162,0.001073
423,67692,clean,0,1,1.0,-0.9469,-1.0,160,0.000637
424,67851,clean,0,1,0.9574,-0.9474,-1.0,159,0.001034
425,68010,clean,0,1,0.8111,-0.9487,-1.0,159,0.000878
426,68170,clean,0,1,0.8352,-0.9464,-1.0,160,0.000619
427,68329,clean,0,1,0.957,-0.7967,-1.0,159,0.001873
428,68491,clean,0,1,1.0,-0.9409,-1.0,162,0.001466
429,68649,clean,0,1,0.9287,-0.9539,-1.0,158,0.0008
430,68811,clean,0,1,1.0,-0.952,-1.0,162,0.000967
431,68967,clean,0,1,1.0,-0.9434,-1.0,156,0.001665
432,69127,clean,0,1,0.5872,-0.9642,0.1264,160,0.00063
433,69281,clean,0,1,0.9378,-0.9452,-0.721,154,0.001067
434,69435,clean,0,1,0.7557,-0.9496,-1.0,154,0.000881
435,69600,clean,0,1,0.8752,-0.957,-1.0,165,0.001388
436,69760,clean,0,1,0.9892,-0.9527,-1.0,160,0.001855
437,69921,clean,0,1,-0.3376,-0.9723,0.0709,161,0.001334
438,70076,clean,0,1,0.9551,-0.9488,-1.0,155,0.001209
439,70231,clean,0,1,0.5045,-0.948,-1.0,155,0.001394
440,70390,clean,0,1,-0.2774,-0.9729,0.1528,159,0.001564
441,70550,clean,0,1,0.7546,-0.8928,-1.0,160,0.0011
442,70708,clean,0,1,1.0,-0.9449,-1.0,158,0.000921
443,70870,clean,0,1,0.7498,-0.9471,-1.0,162,0.000974
444,71037,clean,0,1,0.9452,-0.9483,-1.0,167,0.000993
445,71195,clean,0,1,-0.7038,-1.0,-1.0,158,0.000512
446,71359,clean,0,1,0.5968,-0.9599,-0.1392,164,0.000913
447,71516,clean,0,1,1.0,-0.7603,-1.0,157,0.000854
448,71676,clean,0,1,1.0,-0.9255,-1.0,160,0.001046
449,71840,clean,0,1,0.8526,-0.9587,-1.0,164,0.000926
450,71995,clean,0,1,0.8054,-0.8877,-1.0,155,0.000679
451,72155,clean,0,1,0.5751,-0.9376,-1.0,160,0.000725
452,72314,clean,0,1,1.0,-0.9295,-1.0,159,0.001591
453,72479,clean,0,1,1.0,-0.9339,-1.0,165,0.001003
454,72640,clean,0,1,-0.2425,-0.2303,-1.0,161,0.00057
455,72801,clean,0,1,0.7693,-0.9537,-1.0,161,0.001175
456,72962,clean,0,1,1.0,-0.9019,-1.0,161,0.002344
457,73117,clean,0,1,0.6383,-0.9514,-1.0,155,0.001036
458,73277,clean,0,1,1.0,-0.8787,-1.0,160,0.001013
459,73441,clean,0,1,0.9306,-0.9542,-1.0,164,0.001102
460,73601,clean,0,1,0.7946,-0.9457,-1.0,160,0.00054
461,73763,clean,0,1,1.0,-0.7561,-1.0,162,0.000563
462,73919,clean,0,1,0.8854,-0.9462,0.1441,156,0.001006
463,74079,clean,0,1,0.7347,-0.9136,-1.0,160,0.000873
464,74233,clean,0,1,0.8078,-0.8497,-1.0,154,0.000972
465,74396,clean,0,1,0.9498,-0.942,-1.0,163,0.001215
466,74560,clean,0,1,1.0,-0.7216,-1.0,164,0.002223
467,74721,clean,0,1,0.9464,-0.9513,-1.0,161,0.000942
468,74885,clean,0,1,1.0,-0.896,-1.0,164,0.000804
469,75044,clean,0,1,1.0,-0.911,-1.0,159,0.001056
470,75210,clean,0,1,0.6192,-0.9529,-1.0,166,0.001074
471,75366,clean,0,1,0.9339,-0.945,-1.0,156,0.001096
472,75523,clean,0,1,1.0,-0.9355,-1.0,157,0.00148
473,75679,clean,0,1,0.9488,-0.9384,-1.0,156,0.0013
474,75838,clean,0,1,-0.7601,-1.0,-1.0,159,0.000792
475,75996,clean,0,1,0.7557,-0.9525,-1.0,158,0.002092
476,76154,clean,0,1,1.0,-0.9404,-1.0,158,0.001186
477,76317,clean,0,1,1.0,-0.9197,-1.0,163,0.000814
478,76472,clean,0,1,1.0,-0.8799,-1.0,155,0.000863
479,76633,clean,0,1,1.0,-0.9187,-1.0,161,0.001275
480,76791,clean,0,1,-0.0999,-0.9674,-0.3247,158,0.001126
481,76947,clean,0,1,0.5646,-0.9523,-1.0,156,0.001489
482,77112,clean,0,1,1.0,-0.9524,-1.0,165,0.000906
483,77272,clean,0,1,1.0,-0.9491,-0.4666,160,0.001226
484,77436,clean,0,1,1.0,-0.9417,-1.0,164,0.00184
485,77599,clean,0,1,0.9275,-0.9555,-1.0,163,0.000708
486,77755,clean,0,1,0.7415,-0.945,-1.0,156,0.000642
487,77919,clean,0,1,1.0,-0.9505,-1.0,164,0.000659
488,78079,clean,0,1,1.0,-0.9471,-1.0,160,0.000796
489,78240,clean,0,1,0.7653,-0.8257,-1.0,161,0.001083
490,78403,clean,0,1,0.335,-0.966,0.1203,163,0.000493
491,78570,clean,0,1,1.0,-0.9258,-1.0,167,0.000333
492,78730,clean,0,1,0.4365,-0.9575,-1.0,160,0.001149
493,78892,clean,0,1,1.0,-0.9402,-1.0,162,0.000714
494,79051,clean,0,1,1.0,-0.9428,-1.0,159,0.000858
495,79207,clean,0,1,0.9372,-0.9472,-1.0,156,0.001098
496,79364,clean,0,1,0.7163,-0.9521,-0.6079,157,0.001303
497,79522,clean,0,1,0.9574,-0.952,-1.0,158,0.001164
498,79687,clean,0,1,0.7787,-0.9527,-0.0323,165,0.000912
499,79854,clean,0,1,0.7928,-0.9452,0.2081,167,0.001267
500,80014,clean,0,1,1.0,-0.9199,-0.181,160,0.000807
501,80175,clean,0,1,-0.2025,-0.2725,-1.0,161,0.00121
502,80335,clean,0,1,1.0,-0.9336,-0.5645,160,0.000645
503,80495,clean,0,1,0.6778,-0.9439,0.2295,160,0.000642
504,80658,clean,0,1,0.6974,-0.9365,-1.0,163,0.000328
505,80815,clean,0,1,1.0,-0.8986,-1.0,157,0.000556
506,80983,clean,0,1,-0.6197,-0.4297,-1.0,168,0.000606
507,81139,clean,0,1,0.5606,-0.933,-1.0,156,0.000681
508,81298,clean,0,1,0.8945,-0.9386,-1.0,159,0.001124
509,81462,clean,0,1,0.4933,-0.9102,-1.0,164,0.000996
510,81621,clean,0,1,0.4131,-0.9382,-1.0,159,0.000936
511,81790,clean,0,1,0.9771,-0.9327,-1.0,169,0.000775
512,81957,clean,0,1,0.6311,-0.9273,-1.0,167,0.001605
513,82117,clean,0,1,1.0,-0.9298,-1.0,160,0.001487
514,82273,clean,0,1,1.0,-0.8868,-1.0,156,0.000526
515,82434,clean,0,1,1.0,-0.9344,-1.0,161,0.001082
516,82597,clean,0,1,0.7831,-0.9286,0.2052,163,0.000852
517,82756,clean,0,1,1.0,-0.9246,-0.5884,159,0.000796
518,82909,clean,0,1,0.9351,-0.9298,-1.0,153,0.000582
519,83073,clean,0,1,-0.1286,-0.954,0.1216,164,0.001003
520,83130,clean,0,1,-1.0,-1.0,-1.0,57,0.000451
521,83292,clean,0,1,1.0,-0.9171,-1.0,162,0.001535
522,83448,clean,0,1,0.9633,-0.9298,-1.0,156,0.001007
523,83605,clean,0,1,0.5484,-0.936,0.2438,157,0.000604
524,83765,clean,0,1,-0.0481,-0.9526,0.2867,160,0.000847
525,83920,clean,0,1,0.8816,-0.9375,-1.0,155,0.000987
526,84081,clean,0,1,0.8567,-0.8536,-1.0,161,0.00058
527,84244,clean,0,1,-0.0771,-0.2107,-1.0,163,0.000737
528,84402,clean,0,1,1.0,-0.7625,-1.0,158,0.000832
529,84563,clean,0,1,1.0,-0.8968,-1.0,161,0.000961
530,84723,clean,0,1,0.8437,-0.9175,-1.0,160,0.001124
531,84878,clean,0,1,-0.7246,-1.0,-1.0,155,0.000955
532,85031,clean,0,1,0.8726,-0.9056,-1.0,153,0.000766
533,85192,clean,0,1,1.0,-0.9223,-1.0,161,0.00087
534,85247,clean,0,1,-1.0,-1.0,-1.0,55,0.000866
535,85407,clean,0,1,0.827,-0.8631,-1.0,160,0.001209
536,85567,clean,0,1,0.4915,-0.8482,-1.0,160,0.000855
537,85730,clean,0,1,0.1414,-0.9499,-0.0647,163,0.001091
538,85892,clean,0,1,1.0,-0.9225,-1.0,162,0.000731
539,86052,clean,0,1,1.0,-0.9261,-1.0,160,0.00073
540,86207,clean,0,1,-0.9812,-1.0,-1.0,155,0.0009
541,86370,clean,0,1,0.7429,-0.9116,-1.0,163,0.001786
542,86530,clean,0,1,1.0,-0.9372,-1.0,160,0.000904
543,86695,clean,0,1,1.0,-0.9322,-1.0,165,0.001153
544,86855,clean,0,1,1.0,-0.88,-1.0,160,0.000983
545,87014,clean,0,1,1.0,-0.9071,-1.0,159,0.000713
546,87178,clean,0,1,1.0,-0.9268,-1.0,164,0.00074
547,87340,clean,0,1,1.0,-0.9035,-1.0,162,0.000988
548,87495,clean,0,1,0.7907,-0.9153,-0.6636,155,0.000481
549,87660,clean,0,1,0.9075,-0.9011,0.1031,165,0.00117
550,87824,clean,0,1,-0.9845,-1.0,-1.0,164,0.001598
551,87982,clean,0,1,1.0,-0.9227,-1.0,158,0.000694
552,88146,clean,0,1,0.8656,-0.8389,-1.0,164,0.000701
553,88313,clean,0,1,0.7953,-0.8998,-1.0,167,0.001584
554,88473,clean,0,1,1.0,-0.9169,-1.0,160,0.000788
555,88640,clean,0,1,1.0,-0.9307,-1.0,167,0.001018
556,88803,clean,0,1,0.9564,-0.9262,-1.0,163,0.001224
557,88963,clean,0,1,0.9238,-0.9164,-1.0,160,0.001119
558,89119,clean,0,1,-0.3705,-0.9616,0.302,156,0.000848
559,89277,clean,0,1,0.9412,-0.9309,-1.0,158,0.000543
560,89439,clean,0,1,0.9128,-0.7897,-1.0,162,0.000677
561,89597,clean,0,1,1.0,-0.9035,-1.0,158,0.000587
562,89757,clean,0,1,0.6342,-0.9395,-0.9371,160,0.000585
563,89914,clean,0,1,0.9501,-0.9382,-1.0,157,0.000619
564,90073,clean,0,1,0.3643,-0.9444,-1.0,159,0.000558
565,90231,clean,0,1,0.589,-0.9417,-1.0,158,0.000501
566,90384,clean,0,1,0.3541,-0.9521,-1.0,153,0.000944
567,90536,clean,0,1,0.3748,-0.3398,-1.0,152,0.000593
568,90698,clean,0,1,1.0,-0.932,-0.3935,162,0.00053
569,90861,clean,0,1,0.5204,-0.9167,-1.0,163,0.000496
570,91019,clean,0,1,1.0,-0.9027,-1.0,158,0.000782
571,91187,clean,0,1,0.9549,-0.9317,-1.0,168,0.00056
572,91346,clean,0,1,0.6034,-0.9235,-1.0,159,0.001262
573,91508,clean,0,1,0.422,-0.9213,-1.0,162,0.000717
574,91659,clean,0,1,0.4523,-0.9349,-1.0,151,0.000701
575,91816,clean,0,1,0.6333,-0.9239,-1.0,157,0.00075
576,91974,clean,0,1,0.7429,-0.9235,-1.0,158,0.000665
577,92135,clean,0,1,0.8744,-0.927,-1.0,161,0.000608
578,92298,clean,0,1,0.7165,-0.9424,-1.0,163,0.000573
579,92466,clean,0,1,0.7811,-0.9395,-1.0,168,0.001071
580,92632,clean,0,1,0.6991,-0.9184,-1.0,166,0.00048
581,92791,clean,0,1,0.9575,-0.9418,-1.0,159,0.00104
582,92947,clean,0,1,1.0,-0.9168,-1.0,156,0.000539
583,93105,clean,0,1,0.9113,-0.8298,-1.0,158,0.0007
584,93263,clean,0,1,0.8292,-0.9319,-1.0,158,0.000395
585,93428,clean,0,1,0.6629,-0.4307,-1.0,165,0.000854
586,93590,clean,0,1,1.0,-0.9311,-1.0,162,0.000903
587,93749,clean,0,1,0.9094,-0.92,-1.0,159,0.000569
588,93908,clean,0,1,0.8772,-0.8763,-1.0,159,0.000536
589,94067,clean,0,1,1.0,-0.9215,-1.0,159,0.000496
590,94223,clean,0,1,-0.3782,-0.9592,0.1844,156,0.000625
591,94385,clean,0,1,0.8427,-0.9261,-1.0,162,0.000487
592,94546,clean,0,1,-0.6055,-0.1989,-1.0,161,0.000732
593,94712,clean,0,1,1.0,-0.9263,-1.0,166,0.000798
594,94866,clean,0,1,0.5132,-0.9395,0.2821,154,0.000473
595,95021,clean,0,1,0.8427,-0.9321,-1.0,155,0.001216
596,95178,clean,0,1,-0.6405,-0.2151,-1.0,157,0.001231
597,95336,clean,0,1,0.9647,-0.9184,-1.0,158,0.000781
598,95498,clean,0,1,1.0,-0.9226,-1.0,162,0.000392
599,95661,clean,0,1,-0.1477,-0.9559,0.2649,163,0.00095
600,95816,clean,0,1,0.9088,-0.9349,0.3441,155,0.000872
601,95976,clean,0,1,0.784,-0.9254,-1.0,160,0.000422
602,96136,clean,0,1,1.0,-0.9141,-1.0,160,0.000765
603,96295,clean,0,1,1.0,-0.9264,-1.0,159,0.000581
604,96454,clean,0,1,1.0,-0.8665,-1.0,159,0.0006
605,96622,clean,0,1,0.5356,-0.9025,-1.0,168,0.000731
606,96784,clean,0,1,0.9992,-0.9277,-1.0,162,0.00094
607,96941,clean,0,1,1.0,-0.8513,-1.0,157,0.000429
608,97094,clean,0,1,0.7084,-0.9418,-1.0,153,0.000781
609,97251,clean,0,1,0.7891,-0.9256,-1.0,157,0.000809
610,97418,clean,0,1,1.0,-0.9179,-1.0,167,0.000562
611,97581,clean,0,1,-0.5837,-0.9565,0.2408,163,0.000664
612,97743,clean,0,1,0.6957,-0.5923,-1.0,162,0.000812
613,97906,clean,0,1,0.9949,-0.9273,-1.0,163,0.000683
614,98068,clean,0,1,0.7376,-0.9173,-1.0,162,0.000747
615,98227,clean,0,1,0.3502,-0.9422,0.3122,159,0.000768
616,98397,clean,0,1,0.6885,-0.9336,0.2583,170,0.001274
617,98559,clean,0,1,1.0,-0.9159,-0.6012,162,0.001295
618,98721,clean,0,1,1.0,-0.8817,-1.0,162,0.000973
619,98881,clean,0,1,1.0,-0.897,-1.0,160,0.001528
620,99042,clean,0,1,-0.7676,-1.0,-1.0,161,0.000353
621,99208,clean,0,1,-0.2967,-0.2892,-1.0,166,0.000493
622,99367,clean,0,1,0.7394,-0.9258,-1.0,159,0.000518
623,99529,clean,0,1,1.0,-0.9095,-1.0,162,0.000824
624,99699,clean,0,1,0.534,-0.9474,-1.0,170,0.001031
625,99864,clean,0,1,1.0,-0.8936,-1.0,165,0.000553
626,100020,clean,0,1,1.0,-0.9275,-1.0,156,0.001196
627,100178,clean,0,1,-0.5891,-0.2418,-1.0,158,0.000902
628,100337,clean,0,1,1.0,-0.9166,-1.0,159,0.0004
629,100494,clean,0,1,-0.7494,-1.0,-1.0,157,0.000487
630,100659,clean,0,1,0.9088,-0.9302,0.3083,165,0.000748
631,100826,clean,0,1,0.2636,-0.9403,-0.6727,167,0.000316
632,100986,clean,0,1,1.0,-0.9314,-1.0,160,0.000388
633,101144,clean,0,1,0.9677,-0.908,-0.505,158,0.000746
634,101305,clean,0,1,0.7833,-0.93,-1.0,161,0.000697
635,101473,clean,0,1,0.9827,-0.9326,-1.0,168,0.000761
636,101635,clean,0,1,1.0,-0.9075,-1.0,162,0.000653
637,101793,clean,0,1,0.6603,-0.9346,-1.0,158,0.000539
638,101952,clean,0,1,1.0,-0.8872,-1.0,159,0.000573
639,102110,clean,0,1,0.6504,-0.9339,-1.0,158,0.000966
640,102268,clean,0,1,0.8468,-0.8789,-1.0,158,0.000769
641,102429,clean,0,1,0.6014,-0.9334,0.0992,161,0.000379
642,102587,clean,0,1,0.7051,-0.9332,-1.0,158,0.000815
643,102743,clean,0,1,-0.0361,-0.1348,-1.0,156,0.000686
644,102899,clean,0,1,0.4431,-0.9434,0.3709,156,0.000645
645,103061,clean,0,1,-0.737,-1.0,-1.0,162,0.000882
646,103224,clean,0,1,0.8291,-0.8811,-1.0,163,0.00062
647,103386,clean,0,1,-0.7647,-1.0,-1.0,162,0.000323
648,103547,clean,0,1,0.7792,-0.9363,-0.4496,161,0.000734
649,103709,clean,0,1,0.868,-0.9262,-1.0,162,0.000599
650,103867,clean,0,1,0.5555,-0.9426,-1.0,158,0.000571
651,104025,clean,0,1,0.6412,-0.9201,-1.0,158,0.000318
652,104188,clean,0,1,-0.9209,-1.0,-1.0,163,0.000486
653,104349,clean,0,1,0.8035,-0.942,-1.0,161,0.00069
654,104510,clean,0,1,0.6307,-0.9191,-1.0,161,0.000436
655,104673,clean,0,1,1.0,-0.9206,-1.0,163,0.00059
656,104831,clean,0,1,-0.6105,-0.1906,-1.0,158,0.000334
657,104984,clean,0,1,-0.8478,-1.0,-1.0,153,0.000468
658,105147,clean,0,1,0.0172,-0.9446,0.2149,163,0.00054
659,105308,clean,0,1,0.7691,-0.9026,-1.0,161,0.001022
660,105464,clean,0,1,0.1551,-0.9473,0.2774,156,0.000471
661,105626,clean,0,1,-0.0422,-0.9469,0.2521,162,0.000888
662,105794,clean,0,1,0.9185,-0.8941,-1.0,168,0.001004
663,105949,clean,0,1,-0.2341,-0.9542,0.3726,155,0.000654
664,106123,clean,0,1,0.8361,-0.9213,-1.0,174,0.000722
665,106281,clean,0,1,1.0,-0.9192,-0.8741,158,0.000532
666,106438,clean,0,1,0.3919,-0.9468,0.1122,157,0.000611
667,106603,clean,0,1,1.0,-0.8868,-1.0,165,0.000737
668,106765,clean,0,1,0.5255,-0.9302,-1.0,162,0.000858
669,106922,clean,0,1,0.5814,-0.9362,-0.3877,157,0.000529
670,107080,clean,0,1,0.3185,-0.1266,-1.0,158,0.000428
671,107238,clean,0,1,1.0,-0.9207,-1.0,158,0.001221
672,107395,clean,0,1,1.0,-0.9067,-1.0,157,0.000669
673,107556,clean,0,1,0.853,-0.9224,-1.0,161,0.001264
674,107723,clean,0,1,0.2767,-0.9472,0.1927,167,0.000601
675,107888,clean,0,1,1.0,-0.9147,-1.0,165,0.000414
676,108046,clean,0,1,0.7901,-0.8634,-1.0,158,0.000425
677,108211,clean,0,1,1.0,-0.9285,-1.0,165,0.000412
678,108372,clean,0,1,0.758,-0.7981,-1.0,161,0.000353
679,108524,clean,0,1,0.7891,-0.9176,-0.8058,152,0.000769
680,108679,clean,0,1,-0.4011,-0.955,0.2781,155,0.000649
681,108829,clean,0,1,0.9342,-0.914,-1.0,150,0.000457
682,108987,clean,0,1,-0.3792,-0.9519,0.0293,158,0.000448
683,109143,clean,0,1,0.7784,-0.5173,-1.0,156,0.000444
684,109305,clean,0,1,0.7831,-0.9004,-1.0,162,0.000649
685,109459,clean,0,1,0.7064,-0.8932,-1.0,154,0.000617
686,109623,clean,0,1,0.974,-0.8819,-1.0,164,0.000562
687,109781,clean,0,1,0.8913,-0.9026,-1.0,158,0.000473
688,109938,clean,0,1,1.0,-0.9253,-1.0,157,0.000626
689,110097,clean,0,1,1.0,-0.9226,-1.0,159,0.000745
690,110258,clean,0,1,-0.3182,-0.9575,0.2324,161,0.000362
691,110420,clean,0,1,-0.7668,-1.0,-1.0,162,0.00038
692,110577,clean,0,1,0.275,-0.9333,-1.0,157,0.000513
693,110738,clean,0,1,1.0,-0.8414,-1.0,161,0.000336
694,110894,clean,0,1,1.0,-0.9155,-1.0,156,0.000977
695,111048,clean,0,1,1.0,-0.9214,-1.0,154,0.000695
696,111209,clean,0,1,0.6775,-0.9299,-0.7361,161,0.000935
697,111363,clean,0,1,0.771,-0.9241,-0.0375,154,0.001495
698,111525,clean,0,1,0.6684,-0.9298,-1.0,162,0.000619
699,111688,clean,0,1,0.7312,-0.9226,-1.0,163,0.000914
700,111850,clean,0,1,0.7498,-0.9333,-1.0,162,0.00132
701,112008,clean,0,1,-0.732,-1.0,-1.0,158,0.001055
702,112164,clean,0,1,1.0,-0.9137,-1.0,156,0.000431
703,112323,clean,0,1,1.0,-0.9314,-1.0,159,0.000454
704,112484,clean,0,1,1.0,-0.9249,-1.0,161,0.000283
705,112641,clean,0,1,0.778,-0.928,0.1817,157,0.000784
706,112804,clean,0,1,0.6022,-0.9436,-0.3589,163,0.0004
707,112961,clean,0,1,1.0,-0.9168,-1.0,157,0.000688
708,113121,clean,0,1,1.0,-0.9269,-1.0,160,0.000686
709,113283,clean,0,1,0.8907,-0.9095,-1.0,162,0.000702
710,113449,clean,0,1,0.8588,-0.9231,-1.0,166,0.000402
711,113609,clean,0,1,1.0,-0.9138,-1.0,160,0.000389
712,113771,clean,0,1,0.8288,-0.9289,-1.0,162,0.000239
713,113934,clean,0,1,0.8177,-0.9292,-1.0,163,0.000647
714,114092,clean,0,1,1.0,-0.9204,-1.0,158,0.000975
715,114250,clean,0,1,0.8363,-0.9219,-1.0,158,0.000361
716,114410,clean,0,1,0.6329,-0.936,-0.1868,160,0.000324
717,114568,clean,0,1,0.8979,-0.9281,-0.926,158,0.000445
718,114728,clean,0,1,1.0,-0.8379,-1.0,160,0.000443
719,114887,clean,0,1,1.0,-0.9222,-0.3673,159,0.0008
720,115046,clean,0,1,0.3361,-0.9402,0.17,159,0.001228
721,115211,clean,0,1,0.886,-0.9166,-1.0,165,0.000508
722,115371,clean,0,1,0.6543,-0.9369,-1.0,160,0.001067
723,115531,clean,0,1,0.8738,-0.9343,-0.0508,160,0.000569
724,115685,clean,0,1,0.7382,-0.9237,-0.982,154,0.000577
725,115842,clean,0,1,-0.5361,-0.9638,0.1805,157,0.000805
726,116002,clean,0,1,0.973,-0.938,-0.316,160,0.001024
727,116162,clean,0,1,1.0,-0.9025,-1.0,160,0.000913
728,116319,clean,0,1,0.8692,-0.9238,-1.0,157,0.000399
729,116483,clean,0,1,0.1334,-0.9478,0.2898,164,0.000671
730,116645,clean,0,1,-1.0,-1.0,-1.0,162,0.000232
731,116806,clean,0,1,0.7152,-0.9161,-1.0,161,0.000254
732,116963,clean,0,1,0.4811,-0.9441,-1.0,157,0.001046
733,117123,clean,0,1,0.787,-0.8692,-1.0,160,0.000314
734,117278,clean,0,1,1.0,-0.9173,-1.0,155,0.000251
735,117435,clean,0,1,0.9363,-0.9202,-1.0,157,0.000428
736,117595,clean,0,1,0.8309,-0.923,-1.0,160,0.000471
737,117755,clean,0,1,0.0978,-0.9521,0.0603,160,0.000353
738,117914,clean,0,1,0.6765,-0.9187,0.359,159,0.000497
739,118069,clean,0,1,1.0,-0.8964,-1.0,155,0.000314
740,118229,clean,0,1,0.846,-0.794,-1.0,160,0.000964
741,118390,clean,0,1,0.8195,-0.9161,-1.0,161,0.000319
742,118550,clean,0,1,1.0,-0.9304,-1.0,160,0.000551
743,118711,clean,0,1,0.5871,-0.9348,-1.0,161,0.000587
744,118867,clean,0,1,1.0,-0.9262,-1.0,156,0.000522
745,119028,clean,0,1,0.522,-0.9217,0.2183,161,0.000864
746,119192,clean,0,1,0.6493,-0.9423,-1.0,164,0.000694
747,119358,clean,0,1,0.6204,-0.9259,-1.0,166,0.000587
748,119524,clean,0,1,1.0,-0.9287,-1.0,166,0.000322
749,119688,clean,0,1,0.7412,-0.757,-1.0,164,0.000441
750,119847,clean,0,1,0.4503,-0.9411,-1.0,159,0.000706
751,119998,clean,0,1,0.9691,-0.7777,-1.0,151,0.000395
752,120158,clean,0,1,0.8338,-0.9204,-1.0,160,0.00046
753,120315,clean,0,1,0.5203,-0.6289,-1.0,157,0.000831
754,120474,clean,0,1,1.0,-0.9133,-1.0,159,0.000993
755,120636,clean,0,1,1.0,-0.931,-0.8182,162,0.000232
756,120805,clean,0,1,0.718,-0.9308,-1.0,169,0.000385
757,120968,clean,0,1,0.8116,-0.9475,0.2684,163,0.00049
758,121124,clean,0,1,0.8779,-0.9313,-0.5456,156,0.000252
759,121285,clean,0,1,-0.6514,-0.9712,0.2644,161,0.000513
760,121442,clean,0,1,0.8438,-0.8148,-1.0,157,0.000297
761,121604,clean,0,1,0.4396,-0.9463,-1.0,162,0.001551
762,121762,clean,0,1,0.5018,-0.9316,-1.0,158,0.000585
763,121924,clean,0,1,-0.2775,-0.9539,0.2146,162,0.000416
764,122076,clean,0,1,0.6709,-0.9284,0.0123,152,0.000813
765,122234,clean,0,1,1.0,-0.925,-0.6143,158,0.000262
766,122393,clean,0,1,1.0,-0.9129,-1.0,159,0.000448
767,122552,clean,0,1,-0.2091,-0.9539,0.2956,159,0.000225
768,122717,clean,0,1,1.0,-0.9129,-1.0,165,0.000504
769,122880,clean,0,1,0.8189,-0.8291,-1.0,163,0.000327
770,123039,clean,0,1,0.9159,-0.9244,-1.0,159,0.000234
771,123198,clean,0,1,0.8268,-0.8962,-1.0,159,0.000147
772,123356,clean,0,1,0.8418,-0.9205,-1.0,158,0.000369
773,123519,clean,0,1,1.0,-0.9308,-1.0,163,0.000119
774,123677,clean,0,1,1.0,-0.9331,-1.0,158,0.000381
775,123839,clean,0,1,1.0,-0.925,-1.0,162,0.000236
776,123996,clean,0,1,1.0,-0.9169,-1.0,157,0.000198
777,124156,clean,0,1,1.0,-0.9119,-1.0,160,0.000455
778,124322,clean,0,1,0.3272,-0.8568,-1.0,166,0.0005
779,124477,clean,0,1,1.0,-0.912,-0.7371,155,0.000775
780,124641,clean,0,1,0.8816,-0.9032,-1.0,164,0.000937
781,124798,clean,0,1,1.0,-0.8785,-1.0,157,0.000756
782,124958,clean,0,1,0.8733,-0.9362,-0.5955,160,0.000524
783,125117,clean,0,1,-0.548,-0.2001,-1.0,159,0.000351
784,125275,clean,0,1,0.9388,-0.9325,-0.6041,158,0.000496
785,125434,clean,0,1,1.0,-0.9067,-1.0,159,0.000312
786,125591,clean,0,1,0.8172,-0.7182,-1.0,157,0.00084
787,125749,clean,0,1,0.8427,-0.9201,-1.0,158,0.000871
788,125908,clean,0,1,0.8461,-0.9139,-0.5537,159,0.000553
789,126066,clean,0,1,1.0,-0.9217,-1.0,158,0.000587
790,126232,clean,0,1,1.0,-0.9176,-0.5644,166,0.000463
791,126387,clean,0,1,1.0,-0.7706,-1.0,155,0.000673
792,126540,clean,0,1,1.0,-0.9271,-1.0,153,0.000571
793,126711,clean,0,1,0.6142,-0.941,0.1912,171,0.000283
794,126867,clean,0,1,0.9239,-0.9328,-1.0,156,0.000297
795,127022,clean,0,1,0.5664,-0.938,-0.9666,155,0.000385
796,127179,clean,0,1,1.0,-0.8816,-1.0,157,0.001025
797,127343,clean,0,1,0.9473,-0.9264,-1.0,164,0.000714
798,127500,clean,0,1,0.8983,-0.9065,-1.0,157,0.000232
