==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_water.csv
  Metrics log  → /workspace/training_metrics_water.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
     63     10085   163   -4.650    2554     58     61  -0.4186  -1.0000  -0.6126  +0.0972
     64     10247   162   -1.670    3386     67     61  -0.2115  -1.0000  +0.9782  +0.2662
     65     10405   158   +1.294    3945     60     45  -0.1136  -0.9646  +0.4033  +0.6410
     66     10565   160   -3.031    2988     55     63  -0.3526  -1.0000  -0.7026  +0.3553
     67     10725   160   +4.231    3498     60     55  -0.1501  -1.0000  +0.8652  +0.4623
     68     10884   159   -4.924    2416     55     84  -0.4881  -1.0000  -0.8909  +0.1043
     69     11043   159   +4.907    4804     62     60  +0.0076  -0.7392  +0.4591  +0.9379
     70     11201   158   -5.707    1856     73     51  -0.5555  -1.0000  -0.7692  -0.3615
     71     11362   161   -5.863    1697     52     73  -0.5663  -1.0000  -1.0000  -0.1906
     72     11521   159   -5.687    2485     65     75  -0.4976  -1.0000  -0.6948  -0.0387
     73     11680   159   -4.212     990     62     84  -0.7141  -1.0000  -1.0000  -0.6037
     74     11838   158   -6.076    1504     56     60  -0.5803  -1.0000  -1.0000  -0.3225
     75     11994   156   -4.901    1771     72     62  -0.5942  -1.0000  -0.8766  -0.3828
     76     12145   151   -3.314    1526     68     67  -0.6317  -1.0000  -1.0000  -0.4353
     77     12310   165   -5.857    1757     65     42  -0.5442  -1.0000  -0.9824  -0.3200
     78     12475   165   -1.342    3844     69     53  -0.3091  -0.9911  -0.5494  +0.3921
     79     12637   162   +6.891    4882     62     43  +0.0850  -0.7186  +0.7350  +0.9741
     80     12791   154   -4.724    1344     56     58  -0.5995  -1.0000  -1.0000  -0.3984
     81     12959   168   -0.129    3699     76     65  -0.2857  -1.0000  +0.4890  +0.2119
     82     13121   162   +3.458    5184     74     76  -0.0273  -0.6394  +0.7553  +0.7583
     83     13278   157   -0.293    1047     64     52  -0.6417  -1.0000  -0.9299  -0.5926
     84     13433   155   -5.418    2575     55     73  -0.4063  -1.0000  -0.4828  +0.1715
     85     13594   161   +1.439    4505     68     57  -0.1315  -0.8175  +0.0919  +0.6490
     86     13755   161   +0.917    4021     59     61  -0.1412  -0.9447  +0.1745  +0.7105
     87     13912   157   -4.500    2364     53     62  -0.4393  -1.0000  -0.8871  +0.1207
     88     14074   162   -2.435    2140     66     51  -0.4691  -1.0000  -0.4578  -0.1827
     89     14235   161   -3.092    2559     55     56  -0.3375  -1.0000  -0.0848  +0.1563
     90     14391   156   -4.864    3321     75     60  -0.3948  -1.0000  -0.3974  +0.1106
     91     14555   164   -4.470    2857     68     54  -0.4442  -1.0000  -0.8264  +0.0434
     92     14713   158   -2.835    2003     74     64  -0.5136  -1.0000  -0.1994  -0.3217
     93     14873   160   +3.710    4495     58     65  -0.0331  -0.8202  +0.3894  +0.9244
     94     15029   156   +5.018    5179     67     50  -0.0079  -0.6406  -0.0782  +0.9220
     95     15187   158   +1.173    4071     58     58  -0.1065  -0.9315  +0.3156  +0.7534
     96     15350   163   +1.687    4741     69     53  -0.0919  -0.7557  +0.0546  +0.7187
     97     15507   157   +6.110    6026     74     72  +0.0493  -0.4185  +0.1568  +1.0000
     98     15669   162   -2.911    3186     63     63  -0.3619  -1.0000  -0.5029  +0.2679
