episode,timestep,ep_length,cum_reward,w_yield,w_water,w_fert,R_yield,R_water,R_fert,yield_kg_ha,total_N_kg_ha,total_W_mm
56,10240,163,24.613564,0.691,0.0975,0.2115,2.720282,-0.310412,-1.328326,4083.7,72.0,42.1
57,10240,160,7.609982,0.3829,0.343,0.2741,1.285966,-0.121487,0.271269,1617.3,5.1,4.3
58,10240,159,3.972312,0.1522,0.5711,0.2767,0.610842,-0.1,0.424823,1073.0,1.0,0.0
59,10240,163,4.171791,0.0106,0.4884,0.501,0.580897,-0.1,0.446625,971.3,0.2,0.0
60,10240,162,3.699934,0.3132,0.4369,0.2499,0.710547,-0.1,0.433708,1260.0,0.6,0.0
61,12288,160,6.678544,0.4414,0.4953,0.0633,1.312728,-0.100674,0.349018,1690.6,4.6,0.1
62,12288,160,7.989787,0.4075,0.3398,0.2526,1.482166,-0.1,0.280828,2105.3,5.6,0.0
63,12288,159,12.457627,0.4684,0.1598,0.3719,1.554419,-0.21565,-0.281069,2474.5,30.2,23.1
64,12288,159,11.867096,0.2007,0.0454,0.7539,2.473373,-0.175547,-0.088879,3131.8,24.4,15.1
65,12288,158,5.985628,0.0651,0.2242,0.7107,0.744022,-0.103067,0.136067,1410.9,12.0,0.6
66,12288,161,39.012405,0.8693,0.0816,0.0491,4.405416,-0.699763,-2.407874,5430.5,112.7,120.0
67,12288,159,4.94559,0.0492,0.536,0.4148,0.663496,-0.1,0.430122,1223.3,0.7,0.0
68,12288,159,16.613565,0.6435,0.1179,0.2386,1.666081,-0.373675,-1.115386,2923.3,63.1,54.7
69,12288,158,7.187196,0.1966,0.3249,0.4786,0.563364,-0.10165,0.343448,930.2,4.2,0.3
70,12288,156,4.156203,0.4545,0.3318,0.2138,0.521947,-0.107447,0.104416,807.7,10.9,1.5
71,12288,151,5.687423,0.3426,0.2213,0.436,0.656314,-0.141439,-0.097861,1224.5,21.4,8.3
72,12288,165,-1.778795,0.1861,0.7584,0.0554,0.273924,-0.1,0.052265,643.5,0.0,0.0
73,14336,162,8.99298,0.3077,0.2736,0.4187,1.522925,-0.10079,0.223381,2314.2,10.3,0.2
74,14336,154,18.122095,0.5182,0.0116,0.4701,2.565723,-0.43238,-1.760637,3693.3,88.6,66.5
75,14336,168,7.088976,0.2254,0.1964,0.5782,1.586672,-0.102638,0.028748,2435.5,18.1,0.5
76,14336,162,36.828223,0.7229,0.0932,0.1839,4.767643,-0.370694,-1.552189,6532.9,84.6,54.1
77,14336,157,2.080476,0.6968,0.2462,0.057,0.342044,-0.12426,-0.456944,606.8,28.8,4.9
