scenario,level_label,level_idx,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
dropout_soil,0%,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
dropout_soil,0%,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
dropout_soil,0%,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
dropout_soil,0%,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
dropout_soil,5%,1,yield,0.9583401679992676,-0.5684289534886678,-0.08243995159864426,11575.498453776041,675.0380325317383,432.9759801228841
dropout_soil,5%,1,n_eff,-0.6605333735545477,-0.7715282738208771,0.8802434206008911,4641.633656819661,287.6857198079427,47.90262540181478
dropout_soil,5%,1,water,-0.5186075021823248,-0.8782448569933573,0.849630614121755,5477.4566650390625,1056.3033091227214,60.14775530497233
dropout_soil,5%,1,balanced,-0.5475110858678818,-0.7855727275212606,0.7147028644879659,4968.663736979167,776.430581410726,114.11885865529378
dropout_soil,10%,2,yield,0.9583401679992676,-0.6650194923082987,0.03297737364967664,11574.691975911459,863.5883280436198,386.80905055999756
dropout_soil,10%,2,n_eff,-0.6803072988986969,-0.8189321955045065,0.902914305528005,4455.904897054036,301.9822642008464,38.83428128560384
dropout_soil,10%,2,water,-0.5147364363074303,-0.8776207168896993,0.8519831895828247,5493.432210286458,1008.9128087361654,59.20672861735026
dropout_soil,10%,2,balanced,-0.5984103828668594,-0.8889157176017761,0.7981269955635071,4784.8887125651045,950.2463467915853,80.74920018513997
dropout_soil,20%,3,yield,0.9583401679992676,-0.6624508500099182,0.022709950804710388,11575.504557291666,859.4698130289713,390.9160197575887
dropout_soil,20%,3,n_eff,-0.6798918843269348,-0.8151291807492574,0.8711866140365601,4550.459950764974,302.91622161865234,51.52535915374756
dropout_soil,20%,3,water,-0.5050935223698616,-0.9005861481030782,0.8693577249844869,5543.925272623698,1037.7772013346355,52.25690587361654
dropout_soil,20%,3,balanced,-0.5944978718956312,-0.8963836431503296,0.8648460110028585,4799.275054931641,1050.7237294514973,54.06159591674805
dropout_soil,50%,4,yield,0.9583401679992676,-0.672324518362681,0.07026818643013637,11575.249430338541,884.0316721598307,371.8927256266276
dropout_soil,50%,4,n_eff,-0.6831577519575754,-0.8179762760798136,0.9172343015670776,4442.816009521484,314.82958984375,33.10628128051758
dropout_soil,50%,4,water,-0.5058368369936943,-0.8996864755948385,0.8691701491673788,5535.2537027994795,1063.255938212077,52.33194224039713
dropout_soil,50%,4,balanced,-0.5953191245595614,-0.8969242771466573,0.7969928582509359,4813.198089599609,981.2972539265951,81.20286655426025
dropout_all,0%,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
dropout_all,0%,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
dropout_all,0%,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
dropout_all,0%,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
dropout_all,5%,1,yield,0.9583401679992676,-0.7100478410720825,0.03555004966134826,11577.218424479166,998.1656583150228,385.77998034159344
dropout_all,5%,1,n_eff,-0.6603349596261978,-0.7785982886950175,0.8864356478055319,4672.832743326823,284.9864552815755,45.425743103027344
dropout_all,5%,1,water,-0.5435640464226404,-0.860369344552358,0.7807811498641968,5394.343668619792,862.7813135782877,87.68754386901855
dropout_all,5%,1,balanced,-0.7381071746349335,-0.8067110975583395,0.6532005767027537,4415.111185709636,550.5291366577148,138.7197748819987
dropout_all,10%,2,yield,0.9583401679992676,-0.6913079619407654,0.06391475722193718,11576.228841145834,937.7970835367838,374.43409665425617
dropout_all,10%,2,n_eff,-0.6775626887877783,-0.8127076029777527,0.927717943986257,4523.932749430339,301.3143005371094,28.912825266520183
dropout_all,10%,2,water,-0.5421939839919409,-0.8595457077026367,0.7414956092834473,5399.806620279948,847.5480410257975,103.40175120035808
dropout_all,10%,2,balanced,-0.5981887901822726,-0.8918173710505167,0.7889012098312378,4794.742279052734,932.7424570719401,84.4395227432251
dropout_all,20%,3,yield,0.9583401679992676,-0.6740805904070536,0.08164878437916438,11575.054931640625,903.8985862731934,367.34048620859784
dropout_all,20%,3,n_eff,-0.673317496975263,-0.80741619070371,0.8880045612653097,4490.688222249349,308.69518280029297,44.79817644755045
dropout_all,20%,3,water,-0.50592852383852,-0.8937314550081888,0.8625953992207845,5536.5464274088545,1035.6771697998047,54.96184221903483
dropout_all,20%,3,balanced,-0.5919986193378767,-0.8997054497400919,0.8391469120979309,4823.367513020833,983.595822652181,64.34123770395915
dropout_all,50%,4,yield,0.9583401679992676,-0.6723190744717916,0.07001227575043838,11575.932210286459,883.7426300048828,371.99508984883624
dropout_all,50%,4,n_eff,-0.6780426104863485,-0.8138277133305868,0.8966826796531677,4465.390065511067,312.90809377034503,41.32693258921305
dropout_all,50%,4,water,-0.5069784596562386,-0.8886502782503763,0.8696403900782267,5531.059163411458,996.8729756673177,52.14385096232096
dropout_all,50%,4,balanced,-0.5914354647199312,-0.9013463854789734,0.8596035043398539,4813.285369873047,1024.0651295979817,56.1586062113444
packet_loss,0%,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
packet_loss,0%,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
packet_loss,0%,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
packet_loss,0%,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
packet_loss,5%,1,yield,0.6139969999591509,-0.47116311887900036,0.1729638079802195,9959.32861328125,1040.0736185709636,330.81447823842365
packet_loss,5%,1,n_eff,0.7430216471354166,0.0021839626133441925,0.45804425080617267,10506.390991210938,262.10396575927734,216.78229490915933
packet_loss,5%,1,water,0.7358681460221609,-0.2588382512331009,0.5348913868268331,10423.657633463541,352.81970469156903,186.04344495137533
packet_loss,5%,1,balanced,0.7162929972012838,-0.20007833590110144,0.40821584065755206,10474.793701171875,339.7930514017741,236.71366500854492
packet_loss,10%,2,yield,0.7906985481580099,-0.3468356480201085,0.18425059070189795,10865.950113932291,429.94809595743817,326.2997639973958
packet_loss,10%,2,n_eff,0.6920637687047323,0.035189478347698845,0.4770428240299225,10256.762898763021,247.64733378092447,209.1828702290853
packet_loss,10%,2,water,0.5399865210056305,-0.3826589683691661,0.5394747257232666,9677.3486328125,394.71141306559247,184.21010653177896
packet_loss,10%,2,balanced,0.8248651425043741,-0.24033559362093607,0.354295551776886,11008.820190429688,363.52400334676105,258.2817799250285
packet_loss,20%,3,yield,0.916380763053894,-0.39918161431948346,0.16230264802773794,11111.410725911459,462.99317677815753,335.07894134521484
packet_loss,20%,3,n_eff,0.42645572622617084,0.04304468259215355,0.42947452267011005,9244.796346028646,220.90709177652994,228.21018664042154
packet_loss,20%,3,water,0.6938027938206991,-0.4331904451052348,0.5040898323059082,10263.388671875,467.5384801228841,198.36406834920248
packet_loss,20%,3,balanced,0.7336209019025167,-0.3668132722377777,0.34388987223307294,10674.070638020834,444.04740142822266,262.4440511067708
packet_loss,50%,4,yield,0.8652626673380533,-0.6894929607709249,0.19763441694279513,11175.18310546875,902.090892791748,320.9462350209554
packet_loss,50%,4,n_eff,-0.18307438679039478,0.004274554550647736,0.5165814558664957,6922.486572265625,172.61715443929037,193.3674217859904
packet_loss,50%,4,water,0.008747828503449758,-0.7851135532061259,0.6300922234853109,7653.329264322917,886.0288861592611,147.96310679117838
packet_loss,50%,4,balanced,0.262948473294576,-0.7336178223292033,0.3592417041460673,8621.833699544271,817.0092290242513,256.30331834157306
stuck_soil,No fault,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
stuck_soil,No fault,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
stuck_soil,No fault,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
stuck_soil,No fault,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
stuck_soil,Day 120,1,yield,0.3028442660967509,-0.4871741731961568,0.1728656937678655,8773.836669921875,942.6485926310221,330.85372193654376
stuck_soil,Day 120,1,n_eff,0.7087171673774719,-0.021044843674947817,0.5252750515937805,10320.21240234375,264.1266352335612,189.88998476664224
stuck_soil,Day 120,1,water,0.6656666000684103,-0.18954555690288544,0.6053000887235006,10156.189778645834,313.36341349283856,157.87995783487955
stuck_soil,Day 120,1,balanced,0.6061889454722404,-0.15100539506723484,0.49358247717221576,9929.579874674479,295.35381571451825,202.56701151529947
stuck_soil,Day 90,2,yield,0.2864459753036499,-0.5023759106794993,0.06881695240736008,8711.359151204428,910.2675908406576,372.473219871521
stuck_soil,Day 90,2,n_eff,0.670445720354716,-0.056364004810651146,0.43940791487693787,10174.398193359375,269.61554463704425,224.23683484395346
stuck_soil,Day 90,2,water,0.05539942036072413,-0.37716516355673474,0.6061622202396393,7831.07177734375,314.6685333251953,157.5351079305013
stuck_soil,Day 90,2,balanced,0.4349321474631627,-0.21886677046616873,0.4556032915910085,9277.091471354166,298.63901774088544,217.75867716471353
stuck_soil,Day 60,3,yield,0.29121677080790204,-0.5214948852856954,0.07343731448054314,8729.535929361979,1067.3825365702312,370.6250743865967
stuck_soil,Day 60,3,n_eff,-0.5661588236689568,-0.7772402366002401,0.7370332678159078,5278.760274251302,301.03563690185547,105.18669319152832
stuck_soil,Day 60,3,water,-0.5338000785559416,-0.691686749458313,0.7944188714027405,5314.189758300781,344.40325419108075,82.23245302836101
stuck_soil,Day 60,3,balanced,0.26376766959826153,-0.27371599276860553,0.6323327422142029,8624.954833984375,297.0903956095378,147.0668970743815
stuck_soil,Day 30,4,yield,0.21195473273595175,-0.5411381920178732,-0.027514835819602013,8427.547505696615,745.7700208028158,411.0059331258138
stuck_soil,Day 30,4,n_eff,-0.40231818954149884,-0.723242183526357,0.6629062096277872,6087.167663574219,297.90686289469403,134.8375155131022
stuck_soil,Day 30,4,water,-0.5103698621193568,-0.6646250089009603,0.7589109738667806,5496.380615234375,330.4587809244792,96.43560854593913
stuck_soil,Day 30,4,balanced,-0.0027711490790049234,-0.38219162821769714,0.5166425208250681,7609.4419352213545,310.6098175048828,193.3429946899414
stuck_soil,Day 10,5,yield,0.24036928017934164,-0.5910034477710724,-0.00809376190106074,8535.806884765625,1141.664894104004,403.23750432332355
stuck_soil,Day 10,5,n_eff,-0.3377326379219691,-0.5794094701608022,0.6785356005032858,6333.238627115886,291.3694534301758,128.58575693766275
stuck_soil,Day 10,5,water,-0.4376057560245196,-0.6671376625696818,0.7522201736768087,5952.722066243489,338.5237070719401,99.11193148295085
stuck_soil,Day 10,5,balanced,0.5066170593102773,-0.19102868934472403,0.5819996198018392,9550.210978190104,295.9529037475586,167.2001520792643
bias_soil,0,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
bias_soil,0,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
bias_soil,0,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
bias_soil,0,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
bias_soil,-0.20,1,yield,-0.9141741991043091,-1.0,-0.9833498398462931,3756.842244466146,861.6115137736002,796.3844296137491
bias_soil,-0.20,1,n_eff,0.5275322496891022,-0.18835440278053284,-0.1763049215078354,9629.897867838541,296.6726531982422,470.52196820576984
bias_soil,-0.20,1,water,0.9583401679992676,-0.832847793896993,0.1923941026131312,11556.349283854166,1733.9032287597656,323.04235967000324
bias_soil,-0.20,1,balanced,-0.8779365221659342,-0.9220885833104452,-0.7473245064417521,3866.2067667643228,537.7952575683594,698.9298016230265
bias_soil,-0.10,2,yield,-0.8469411730766296,-1.0,-0.7400359710057577,4014.083048502604,720.9943059285482,696.0143823623657
bias_soil,-0.10,2,n_eff,0.6599627733230591,-0.13287111868460974,-0.172509104013443,10134.458211263021,292.14906311035156,469.0036398569743
bias_soil,-0.10,2,water,0.9583401679992676,-0.4022521376609802,0.15171273549397787,11538.309733072916,520.4842529296875,339.3149058024089
bias_soil,-0.10,2,balanced,-0.7185070415337881,-0.9469302296638489,-0.5936452150344849,4881.486511230469,860.5158958435059,637.4580796559652
bias_soil,+0.10,3,yield,-0.3002886076768239,-0.7014354864756266,0.8404750227928162,6475.900370279948,430.0575917561849,63.80999501546224
bias_soil,+0.10,3,n_eff,-0.6822616904973984,-0.8023671011130015,0.9829618533452352,4425.060882568359,279.6925633748372,6.815264383951823
bias_soil,+0.10,3,water,-0.6988562246163686,-0.8155626753966013,0.9999996225039164,4375.446929931641,291.28123474121094,0.00015576680501302084
bias_soil,+0.10,3,balanced,-0.6741329332192739,-0.8256037433942159,0.999630073706309,4471.896870930989,315.9195505777995,0.14797274271647134
bias_soil,+0.20,4,yield,-0.6743597288926443,-0.838275412718455,1.0,4474.5908610026045,331.35911814371747,3.1789143880208335e-06
bias_soil,+0.20,4,n_eff,-0.665827602148056,-0.7671217024326324,0.9999646544456482,4535.565999348958,232.02660624186197,0.014136632283528646
bias_soil,+0.20,4,water,-0.6890574892361959,-0.7808819611867269,1.0,4438.005523681641,246.15689849853516,0.0
bias_soil,+0.20,4,balanced,-0.6778504848480225,-0.7760417064030966,1.0,4472.688496907552,247.59662119547525,3.814697265625e-06
bias_soil,+0.30,5,yield,-0.6629038254419962,-0.8040150105953217,1.0,4515.651550292969,281.6614812215169,9.5367431640625e-06
bias_soil,+0.30,5,n_eff,-0.6599921236435572,-0.7327940364678701,1.0,4636.744639078776,203.63449096679688,0.0
bias_soil,+0.30,5,water,-0.7059738536675771,-0.763132651646932,1.0,4376.346028645833,224.24278132120767,0.0
bias_soil,+0.30,5,balanced,-0.6971332828203837,-0.7659402986367544,1.0,4419.689432779948,227.16098022460938,0.0
actuator_N,100%,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
actuator_N,100%,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
actuator_N,100%,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
actuator_N,100%,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
actuator_N,80%,1,yield,0.34379227956136066,-0.48470335205396015,0.11136874556541443,8929.8486328125,924.1698583348374,355.4525006612142
actuator_N,80%,1,n_eff,0.6930680274963379,0.12841235473752022,0.4833943744500478,10260.589192708334,227.1397391747655,206.64225323994955
actuator_N,80%,1,water,0.7767342130343119,-0.1403117204705874,0.5487341483434042,10740.421752929688,312.40516008254536,180.50634384155273
actuator_N,80%,1,balanced,0.663822794953982,-0.12361733242869377,0.4188775022824605,10275.299275716146,294.99037668405373,232.44899717966715
actuator_N,60%,2,yield,0.3899894654750824,-0.4669189304113388,0.11479577422142029,9105.859781901041,776.2097122940874,354.08169015248615
actuator_N,60%,2,n_eff,0.3091571082671483,0.2953028517464797,0.5000753700733185,8797.888590494791,170.1284062921089,199.96985022226968
actuator_N,60%,2,water,0.773028572400411,-0.1369894320766131,0.5520550409952799,10708.3642578125,310.2664254235154,179.1779816945394
actuator_N,60%,2,balanced,0.670654296875,-0.11403737093011539,0.42057304581006366,10293.365885416666,291.99316959529034,231.77078247070312
actuator_N,40%,3,yield,0.5006983478864034,-0.3712695588668187,0.12117971231540044,9527.660725911459,407.98029005792336,351.5281162261963
actuator_N,40%,3,n_eff,-0.3708347330490748,-0.012781033913294474,0.4648613433043162,6207.119649251302,120.07061639849174,214.05546442667642
actuator_N,40%,3,water,0.7788092891375223,-0.1270144966741403,0.5571994781494141,10732.982381184896,307.41720637623047,177.12021255493164
actuator_N,40%,3,balanced,0.6929643253485361,-0.09125822223722935,0.4236544966697693,10401.595458984375,287.0412493026319,230.5381997426351
actuator_N,20%,4,yield,0.8892067273457845,-0.13426750774184862,0.23162631193796793,11233.588460286459,324.80182467444774,307.34947395324707
actuator_N,20%,4,n_eff,-0.982807477315267,-1.0,0.1514664093653361,3306.353963216146,63.20000094175339,339.4134353001912
actuator_N,20%,4,water,0.77646404504776,-0.11375898992021878,0.5746569236119589,10667.240397135416,300.8881772278207,170.13723182678223
