====================================================================
12_capql_train_robust.py  —  CAPQL-Robust (MLP + fault training)
====================================================================
  Obs dim  : 19  (crop(11) + mask(5) + w(3))
  Actor    : MLP  (19→256→256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000  |  warmup 5,000  |  batch 256
  Hindsight: w ~ Dirichlet(1,1,1) resampled at every batch
  Aug λ=0.5  ε=0.1
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

     ep      step    R_yld    R_ane    R_wef    yield                   w  ETA
  ────────────────────────────────────────────────────────────────────────────
  Collecting warmup steps...

    610    97,317   +0.981   -0.914   -1.000    11358  [0.74,0.06,0.20]  ETA 290.5m
    620    98,912   +0.830   -0.924   -1.000    10784  [0.48,0.36,0.16]  ETA 290.8m
    630   100,507   -0.093   -0.949   -0.249     7266  [0.17,0.24,0.59]  ETA 290.8m
    640   102,013   -0.022   -0.939   -0.131     7536  [0.26,0.10,0.64]  ETA 290.8m
    650   103,587   +1.000   -0.845   -0.855    13514  [0.05,0.62,0.33]  ETA 291.1m
    660   105,190   +0.700   -0.932   -1.000    10287  [1.00,0.00,0.00]  ETA 291.6m
    670   106,796   +0.836   -0.926   -1.000    10807  [0.79,0.13,0.08]  ETA 291.6m
    680   108,402   +1.000   -0.704   -1.000    11877  [0.13,0.78,0.08]  ETA 292.9m
    690   110,021   +0.848   -0.940   -1.000    10852  [0.57,0.13,0.30]  ETA 294.6m
    700   111,613   +0.925   -0.756   -0.987    11144  [0.66,0.06,0.29]  ETA 294.6m
    710   113,219   +1.000   -0.890   -0.747    11430  [0.24,0.52,0.24]  ETA 294.7m
    720   114,819   +1.000   -0.905   -0.932    12040  [0.62,0.33,0.05]  ETA 294.9m
    730   116,408   +1.000   -0.935   -1.000    11758  [0.45,0.42,0.13]  ETA 295.0m
    740   117,902   +1.000   -0.952   -1.000    12051  [1.00,0.00,0.00]  ETA 294.7m
    750   119,499   +1.000   -0.946   -0.770    12087  [0.11,0.34,0.55]  ETA 294.7m
    760   121,084   +1.000   -0.932   -1.000    11617  [0.46,0.41,0.13]  ETA 294.6m
    770   122,667   +0.743   -0.784   -0.808    10450  [0.09,0.72,0.19]  ETA 294.5m
    780   124,252   +0.857   -0.949   -0.073    10885  [0.25,0.13,0.63]  ETA 294.3m
    790   125,854   +0.953   -0.906   -0.165    11252  [0.08,0.33,0.59]  ETA 294.0m
    800   127,455   +0.707   -0.923   -1.000    10313  [0.29,0.42,0.29]  ETA 293.9m
    810   129,059   +0.796   -0.783   -0.657    10653  [0.10,0.55,0.35]  ETA 293.8m
    820   130,650   +0.739   -0.817   -1.000    10436  [1.00,0.00,0.00]  ETA 293.7m
    830   132,262   +0.284   -0.935   +0.278     8703  [0.14,0.14,0.72]  ETA 293.6m
    840   133,829   +0.578   -0.956   -1.000     9824  [0.43,0.40,0.17]  ETA 293.6m
    850   135,428   +0.042   -0.956   +0.443     7780  [0.17,0.05,0.77]  ETA 293.7m
    860   137,028   +0.649   -0.876   -1.000    10092  [0.03,0.63,0.35]  ETA 293.5m
    870   138,616   +0.202   -0.011   -1.000     8388  [0.00,1.00,0.00]  ETA 293.2m
    880   140,212   -0.525   -0.185   -0.918     5618  [0.00,1.00,0.00]  ETA 292.7m
    890   141,824   +0.897   -0.926   -0.840    11036  [0.11,0.37,0.52]  ETA 292.3m
    900   143,417   +0.057   -0.894   -0.168     7836  [0.08,0.29,0.63]  ETA 292.0m
    910   145,026   +1.000   -0.943   -0.365    11600  [0.37,0.02,0.61]  ETA 291.6m
    920   146,624   +1.000   -0.901   -1.000    11701  [1.00,0.00,0.00]  ETA 291.1m
    930   148,239   +1.000   -0.925   +0.435    11776  [0.05,0.19,0.76]  ETA 290.6m
    940   149,826   +0.947   -0.948   -1.000    11226  [1.00,0.00,0.00]  ETA 290.2m
    950   151,429   +0.410   -0.938   +0.416     9182  [0.00,0.00,1.00]  ETA 289.8m
    960   153,029   -0.375   -0.963   +0.080     6192  [0.34,0.01,0.66]  ETA 289.3m
    970   154,641   +0.961   -0.912   +0.474    11280  [0.10,0.16,0.75]  ETA 288.9m
    980   156,259   +0.485   -0.951   -1.000     9469  [1.00,0.00,0.00]  ETA 288.3m
    990   157,867   +0.352   -0.948   +0.399     8962  [0.00,0.00,1.00]  ETA 287.7m
   1000   159,474   +0.238   -0.933   +0.428     8525  [0.00,0.00,1.00]  ETA 287.1m
   1010   161,073   +0.721   -0.945   -0.251    10367  [0.24,0.22,0.55]  ETA 286.5m
   1020   162,652   +1.000   -0.928   -0.726    11909  [0.13,0.37,0.50]  ETA 285.9m
   1030   164,249   +0.954   -0.401   -0.857    11254  [0.20,0.76,0.04]  ETA 285.3m
   1040   165,849   +1.000   -0.919   -0.894    12525  [0.51,0.10,0.39]  ETA 284.7m
   1050   167,438   +0.310   -0.933   +0.201     8800  [0.20,0.12,0.68]  ETA 284.1m
   1060   168,948   +0.419   -0.932   +0.090     9217  [0.30,0.07,0.63]  ETA 283.6m
   1070   170,523   +0.838   -0.921   -1.000    10811  [0.42,0.31,0.27]  ETA 283.0m
   1080   172,111   +0.081   -0.948   -1.000     7927  [0.58,0.24,0.18]  ETA 282.5m
   1090   173,721   +0.385   -0.943   -1.000     9086  [0.35,0.36,0.29]  ETA 282.1m
   1100   175,328   -0.598   -0.391   -0.597     5341  [0.00,1.00,0.00]  ETA 282.0m
   1110   176,911   +0.615   -0.959   -1.000     9962  [0.92,0.05,0.03]  ETA 281.5m
   1120   178,527   +0.336   -0.943   +0.447     8902  [0.00,0.00,1.00]  ETA 281.0m
   1130   180,138   +0.605   -0.955   -1.000     9925  [0.67,0.16,0.17]  ETA 280.4m
   1140   181,729   +0.804   -0.927   -0.687    10682  [0.38,0.32,0.31]  ETA 279.8m
   1150   183,327   +0.036   -0.596   -0.817     7756  [0.14,0.83,0.04]  ETA 279.2m
   1160   184,956   +1.000   -0.931   -0.895    12282  [0.31,0.20,0.49]  ETA 278.6m
   1170   186,558   +0.484   +0.199   -0.678     9464  [0.00,1.00,0.00]  ETA 278.0m
   1180   188,164   +0.816   -0.920   -1.000    10730  [0.41,0.32,0.26]  ETA 277.8m
   1190   189,751   +0.699   -0.786   -0.906    10284  [0.16,0.73,0.11]  ETA 277.3m
   1200   191,348   +0.715   -0.815   -0.948    10345  [0.14,0.74,0.12]  ETA 276.9m
   1210   192,969   +1.000   -0.797   -1.000    13005  [0.07,0.67,0.26]  ETA 276.3m
   1220   194,588   +0.516   -0.907   -0.901     9588  [0.42,0.56,0.01]  ETA 275.7m
   1230   196,173   +0.901   -0.896   -1.000    11052  [0.28,0.47,0.26]  ETA 275.2m
   1240   197,772   +0.726   -0.928   -0.556    10385  [0.49,0.18,0.34]  ETA 274.6m
   1250   199,369   +0.319   -0.068   -0.576     8837  [0.00,1.00,0.00]  ETA 274.0m
   1260   200,974   +0.765   -0.925   -0.768    10536  [0.53,0.14,0.33]  ETA 273.4m
   1270   202,563   +0.689   -0.854   -0.985    10244  [0.19,0.59,0.22]  ETA 272.8m
   1280   204,177   +0.683   -0.912   -0.844    10222  [0.31,0.29,0.40]  ETA 272.3m
   1290   205,780   +0.677   -0.892   -0.952    10198  [0.29,0.60,0.11]  ETA 271.8m
   1300   207,365   +0.335   -0.927   -0.769     8898  [0.25,0.29,0.46]  ETA 271.3m
   1310   208,960   +0.376   -0.921   +0.473     9054  [0.00,0.00,1.00]  ETA 270.8m
   1320   210,587   +1.000   -0.931   -1.000    11485  [0.94,0.05,0.02]  ETA 270.4m
   1330   212,192   -0.551   -0.957   +0.446     5520  [0.00,0.00,1.00]  ETA 270.1m
   1340   213,777   +0.752   -0.923   -0.303    10486  [0.18,0.21,0.60]  ETA 269.6m
   1350   215,351   +0.839   -0.796   -0.734    10817  [0.04,0.71,0.25]  ETA 269.1m
   1360   216,950   -0.206   -0.127   -0.251     6834  [0.00,1.00,0.00]  ETA 268.6m
   1370   218,555   +1.000   -0.802   -0.450    11938  [0.31,0.16,0.53]  ETA 268.1m
   1380   220,154   +1.000   -0.904   -0.867    11912  [0.66,0.15,0.18]  ETA 267.7m
   1390   221,736   +0.659   -0.916   +0.415    10129  [0.00,0.00,1.00]  ETA 267.4m
   1400   223,317   +1.000   -0.915   -1.000    12539  [0.22,0.42,0.36]  ETA 267.0m
   1410   224,932   +0.603   -0.923   -0.823     9919  [0.34,0.38,0.28]  ETA 266.5m
   1420   226,529   +1.000   -0.854   -0.367    12274  [0.38,0.61,0.01]  ETA 266.0m
   1430   228,121   +1.000   -0.835   -0.767    12036  [0.20,0.63,0.17]  ETA 265.5m
   1440   229,724   -0.398   -0.163   -0.789     6103  [0.00,1.00,0.00]  ETA 265.0m
   1450   231,328   +1.000   -0.888   -0.516    11667  [0.34,0.26,0.40]  ETA 264.4m
   1460   232,934   +0.539   +0.038   -0.543     9672  [0.00,1.00,0.00]  ETA 263.8m
   1470   234,553   +0.115   -0.830   -0.930     8058  [0.04,0.74,0.22]  ETA 263.1m
   1480   236,137   +1.000   -0.926   -0.975    12579  [0.48,0.18,0.34]  ETA 262.5m
   1490   237,742   +0.838   -0.902   -0.868    10811  [0.76,0.08,0.16]  ETA 261.9m
   1500   239,339   +0.370   -0.914   -0.586     9031  [0.08,0.45,0.47]  ETA 261.2m
   1510   240,832   +0.627   -0.832   -0.585    10010  [0.18,0.56,0.26]  ETA 260.6m
   1520   242,426   -0.704   -1.000   -0.733     4937  [0.00,1.00,0.00]  ETA 260.0m
   1530   244,037   -0.166   -0.935   +0.087     6986  [0.30,0.25,0.45]  ETA 259.4m
   1540   245,646   -0.737   -1.000   +0.444     4812  [0.17,0.05,0.77]  ETA 258.7m
   1550   247,242   -0.234   -0.889   +0.439     6727  [0.18,0.04,0.77]  ETA 258.1m
   1560   248,830   +0.988   -0.897   -0.838    11385  [0.59,0.31,0.11]  ETA 257.5m
   1570   250,427   +0.691   -0.917   +0.483    10252  [0.00,0.00,1.00]  ETA 256.9m
   1580   252,023   +0.861   -0.888   -0.725    10899  [0.50,0.08,0.42]  ETA 256.2m
   1590   253,611   +0.471   -0.892   -0.612     9416  [0.28,0.49,0.23]  ETA 255.6m
   1600   255,200   +0.629   -0.911   -0.662    10017  [0.44,0.25,0.30]  ETA 255.0m
