day,action_N,action_W,grnwt,swfac,nstres
0,7.3451247215271,10.099432945251465,0.0,0.0,0.0
1,7.366724491119385,10.017149925231934,0.0,0.0,0.0
2,7.3544020652771,10.005196571350098,0.0,0.0,0.0
3,7.341892242431641,9.991722106933594,0.0,0.0,0.0
4,7.3292622566223145,9.978254318237305,0.0,0.0,0.0
5,7.316539764404297,9.967042922973633,0.0,0.0,0.0
6,7.30348014831543,9.955240249633789,0.0,0.0,0.0
7,7.290013790130615,9.942734718322754,0.0,0.0,0.0
8,7.2760772705078125,9.929585456848145,0.0,0.0,0.0
9,7.261600017547607,9.915847778320312,0.0,0.0,0.0
10,7.246517658233643,9.901577949523926,0.0,0.0,0.0
11,7.2307658195495605,9.88682746887207,0.0,0.0,0.0
12,7.214282512664795,9.871641159057617,0.0,0.0,0.0
13,7.1970109939575195,9.856056213378906,0.0,0.0,0.0
14,7.1789021492004395,9.840096473693848,0.0,0.0,0.0
15,7.159908771514893,9.823777198791504,0.0,0.0,0.0
16,7.139990329742432,9.807099342346191,0.0,0.0,0.0
17,7.119107723236084,9.790060043334961,0.0,0.0,0.0
18,7.097228527069092,9.772639274597168,0.0,0.0,0.0
19,7.074317932128906,9.754805564880371,0.0,0.0,0.0
20,7.050344944000244,9.73652458190918,0.0,0.0,0.0
21,7.025275707244873,9.717742919921875,0.0,0.0,0.0
22,6.999078273773193,9.698408126831055,0.0,0.0,0.0
23,6.971713542938232,9.678460121154785,0.0,0.0,0.0
24,6.943143367767334,9.657840728759766,0.0,0.0,0.0
25,6.913322448730469,9.636489868164062,0.0,0.0,0.0
26,6.882200717926025,9.614354133605957,0.0,0.0,0.0
27,6.849724292755127,9.591389656066895,0.0,0.0,0.0
28,6.813307285308838,9.570877075195312,0.0,0.0,0.0
29,6.774567604064941,9.548640251159668,0.0,0.0,0.0
30,6.733360767364502,9.524740219116211,0.0,0.0,0.0
31,6.689548492431641,9.499289512634277,0.0,0.0,0.0
32,6.643028259277344,9.47241497039795,0.0,0.0,0.0
33,6.593750476837158,9.444253921508789,0.0,0.0,0.0
34,6.541736125946045,9.414934158325195,0.0,0.0,0.0
35,6.487084865570068,9.38455867767334,0.0,0.0,0.0
36,6.429966926574707,9.353198051452637,0.0,0.0,0.0
37,6.3706183433532715,9.32089614868164,0.0,0.0,0.0
38,6.309308052062988,9.287670135498047,0.0,0.0,0.0
39,6.246323108673096,9.25350570678711,0.0,0.0,0.0
40,6.181944847106934,9.218387603759766,0.0,0.0,0.0
41,6.116430759429932,9.182291984558105,0.0,0.0,0.0
42,6.050004482269287,9.145198822021484,0.0,0.0,0.0
43,5.982847213745117,9.107104301452637,0.0,0.0,0.0
44,5.91510009765625,9.068032264709473,0.0,0.0,0.0
45,5.846866130828857,9.028039932250977,0.0,0.0,0.012191057205200195
46,5.7653889656066895,8.982564926147461,0.0,0.0,0.018530309200286865
47,5.710813999176025,8.95281982421875,0.0,0.0,0.01609724760055542
48,5.598007678985596,8.878939628601074,0.0,0.0,0.011619925498962402
49,5.523187160491943,8.828059196472168,0.0,0.0,0.007061362266540527
50,5.403377532958984,8.74172306060791,0.0,0.0,0.003910183906555176
51,5.330761909484863,8.691871643066406,0.0,0.0,0.0
52,5.257469177246094,8.64151382446289,0.0,0.0,0.0
53,5.1535115242004395,8.559712409973145,0.0,0.0,0.0
54,5.096179485321045,8.52112865447998,0.0,0.0,0.0
55,5.037107944488525,8.48100757598877,0.0,0.0,0.0
56,4.930589199066162,8.386552810668945,0.0,0.0,0.0
57,4.875951766967773,8.347283363342285,0.0,0.0,0.0
58,4.822028160095215,8.30834674835205,0.0,0.0,0.0
59,4.775996208190918,8.272895812988281,0.0,0.0,0.0
60,4.680765628814697,8.172361373901367,0.0,0.0,0.0
61,4.639747619628906,8.137691497802734,0.0,0.0,0.0
62,4.596208095550537,8.101818084716797,0.0,0.0,0.0
63,4.5031843185424805,7.997340679168701,0.0,0.0,0.0
64,4.457624912261963,7.960415363311768,0.0,0.0,0.0
65,4.409021854400635,7.9222636222839355,0.0,0.0,0.0
66,4.367757797241211,7.8871893882751465,0.0,0.0,0.0
67,4.290781021118164,7.789237022399902,0.0,0.0,0.0
68,4.268637657165527,7.762921333312988,0.0,0.0,0.0
69,4.262548446655273,7.74798059463501,0.0,0.0,0.002214789390563965
70,4.263568878173828,7.735961437225342,0.0,0.0,0.0
71,4.240536212921143,7.663573741912842,0.0,0.0,0.0
72,4.277800559997559,7.666931629180908,0.0,0.0,0.0
73,4.27351188659668,7.605571746826172,0.0,0.0,0.0
74,4.306671619415283,7.604518413543701,0.0,0.0,0.0
75,4.308289527893066,7.5387654304504395,0.0,0.0,0.0
76,4.338597297668457,7.532693862915039,0.0,0.0,0.0
77,4.357914924621582,7.5185546875,0.0,0.0,0.0
78,4.362465858459473,7.437283992767334,0.0,0.0,0.0
79,4.401431083679199,7.426924228668213,0.0,0.0,0.0
80,4.440922737121582,7.4133501052856445,0.0,0.0,0.0
81,4.47056245803833,7.3917155265808105,0.0,0.0,0.0
82,4.470442771911621,7.285894393920898,0.0,0.0,0.0
83,4.499185562133789,7.256916522979736,0.0,0.0,0.0
84,4.52150821685791,7.221848011016846,0.0,0.0,0.0
85,4.515362739562988,7.098095893859863,0.0,0.0,0.0
86,4.525773048400879,7.052273750305176,0.0,0.0,0.0
87,4.553647518157959,7.008099555969238,0.0,0.0,0.0
88,4.528787612915039,6.865355014801025,0.0,0.0,0.0
89,4.528819561004639,6.806645393371582,0.0,0.0,0.0
90,4.524299144744873,6.743968486785889,0.0,0.0,0.0
91,4.515122890472412,6.677712440490723,0.0,0.0,0.0
92,4.475114822387695,6.515964508056641,0.0,0.0,0.0
93,4.470884799957275,6.4429473876953125,0.0,0.0,0.0
94,4.417628288269043,6.270910739898682,0.0,0.0,0.0
95,4.410839080810547,6.18836784362793,0.0,0.0,0.0
96,4.399016857147217,6.099750995635986,0.0,0.0,0.0
97,4.325483798980713,5.917357921600342,0.0,0.0,0.0
98,4.302767276763916,5.823511123657227,0.0,0.0,0.0
99,4.299922943115234,5.73360538482666,0.0,0.0,0.0027211904525756836
100,4.2244791984558105,5.550768852233887,0.0,0.0,0.01615166664123535
101,4.219446182250977,5.497122764587402,0.0,0.0,0.027119040489196777
102,4.147805690765381,5.347988605499268,0.0,0.0,0.03430581092834473
103,4.118157386779785,5.271615982055664,0.0,0.0,0.040258049964904785
104,4.024252414703369,5.102748394012451,0.0,0.0,0.046042442321777344
105,3.982163906097412,5.0203471183776855,0.0,0.0,0.048662543296813965
106,3.9316201210021973,4.924008369445801,0.0,0.0,0.04590964317321777
107,3.8157694339752197,4.742368698120117,0.0,0.0,0.04433959722518921
108,3.7569758892059326,4.641602993011475,0.0,0.0,0.03804314136505127
109,3.6883273124694824,4.520600318908691,0.0,0.0,0.0318293571472168
110,3.6217591762542725,4.4092230796813965,0.0,0.0,0.027822017669677734
111,3.5610268115997314,4.30782413482666,0.0,0.0,0.020878851413726807
