day,action_N,action_W,grnwt,swfac,nstres
0,1.358602523803711,4.085487365722656,0.0,0.0,0.0
1,1.2478841543197632,3.550565481185913,0.0,0.0,0.0
2,1.255046010017395,3.539163112640381,0.0,0.0,0.0
3,1.2602741718292236,3.5240671634674072,0.0,0.0,0.0
4,1.2631042003631592,3.5044095516204834,0.0,0.0,0.0
5,1.2651244401931763,3.483438014984131,0.0,0.0,0.0
6,1.2682219743728638,3.464897394180298,0.0,0.0,0.0
7,1.2700978517532349,3.4442265033721924,0.0,0.0,0.0
8,1.2711024284362793,3.4221580028533936,0.0,0.0,0.0
9,1.272603154182434,3.401374340057373,0.0,0.0,0.0
10,1.2766517400741577,3.3858163356781006,0.0,0.0,0.0
11,1.2812021970748901,3.3714566230773926,0.0,0.0,0.0
12,1.2866888046264648,3.3591222763061523,0.0,0.0,0.0
13,1.2922271490097046,3.347090482711792,0.0,0.0,0.0
14,1.297763705253601,3.335256576538086,0.0,0.0,0.0
15,1.3032879829406738,3.323601484298706,0.0,0.0,0.0
16,1.3088185787200928,3.3121631145477295,0.0,0.0,0.0
17,1.3142399787902832,3.300715923309326,0.0,0.0,0.0
18,1.3196433782577515,3.2894415855407715,0.0,0.0,0.0
19,1.3250212669372559,3.2783238887786865,0.0,0.0,0.0
20,1.3312772512435913,3.269129991531372,0.0,0.0,0.0
21,1.33599853515625,3.257138252258301,0.0,0.0,0.0
22,1.3407773971557617,3.245476245880127,0.0,0.0,0.0
23,1.3455064296722412,3.233931541442871,0.0,0.0,0.0
24,1.3500003814697266,3.2221434116363525,0.0,0.0,0.0
25,1.3542718887329102,3.2101387977600098,0.0,0.0,0.0
26,1.3582665920257568,3.197807550430298,0.0,0.0,0.0
27,1.3628243207931519,3.18681263923645,0.0,0.0,0.0
28,1.3770679235458374,3.1402933597564697,0.0,0.0,0.0
29,1.3909361362457275,3.0950889587402344,0.0,0.0,0.0
30,1.4044336080551147,3.0512473583221436,0.0,0.0,0.0
31,1.4175622463226318,3.008802652359009,0.0,0.0,0.0
32,1.430324912071228,2.967783212661743,0.0,0.0,0.0
33,1.442723035812378,2.928206205368042,0.0,0.0,0.0
34,1.4547580480575562,2.8900814056396484,0.0,0.0,0.0
35,1.4664316177368164,2.8534092903137207,0.0,0.0,0.0
36,1.4777472019195557,2.8181838989257812,0.0,0.0,0.0
37,1.4887070655822754,2.784390926361084,0.0,0.0,0.0
38,1.4993170499801636,2.7520079612731934,0.0,0.0,0.0
39,1.5095821619033813,2.721010208129883,0.0,0.0,0.0
40,1.5195107460021973,2.6913650035858154,0.0,0.0,0.0
41,1.5291101932525635,2.6630356311798096,0.0,0.0,0.0
42,1.5383901596069336,2.635982036590576,0.0,0.0,0.0
43,1.547362208366394,2.610161542892456,0.0,0.0,0.0
44,1.5560365915298462,2.5855283737182617,0.0,0.0,0.0
45,1.5645231008529663,2.562293529510498,0.0,0.0,0.012191057205200195
