episode,cum_reward,yield_kg_ha,total_N_kg_ha
197,8.945345,6713.1,320.8
198,14.30933,1642.8,425.5
199,20.842795,5439.2,341.6
200,-7.103005,3514.2,268.7
201,-6.700831,1750.0,275.9
202,-13.571646,1497.5,237.9
203,-6.629019,4682.2,263.9
204,-5.698172,5372.7,282.3
205,7.983596,2172.1,370.7
206,4.268536,4784.7,357.7
207,21.24558,6324.8,373.4
208,13.143922,3438.1,400.2
209,16.837762,6910.8,318.6
210,-6.64194,3326.0,229.1
211,1.574219,5029.7,304.6
212,-3.817745,5017.5,289.2
213,3.64815,4432.0,277.7
214,10.078195,3503.4,375.1
215,1.646582,4499.3,298.7
216,-10.974921,1569.3,232.7
217,10.573165,3931.9,402.9
218,-1.666926,4732.9,260.8
219,-0.586026,2094.7,374.8
220,-5.086565,3482.8,267.2
221,6.602312,7528.2,300.1
222,-1.997143,6162.0,275.6
223,-7.518561,4608.4,256.9
224,-4.059879,7064.8,262.8
225,5.969137,2995.1,370.3
226,13.095536,6171.7,357.3
227,11.80445,5985.1,340.7
228,-8.388654,2235.8,276.5
229,10.983421,5035.5,366.0
230,-1.273648,1853.3,390.8
231,4.545671,6069.9,299.3
232,4.617088,1784.7,401.3
233,6.673202,2750.3,341.7
234,11.709777,4960.7,390.3
235,-7.340464,1754.3,256.5
236,-8.770756,4142.4,314.2
237,-9.175499,2833.3,302.5
238,-2.871241,2321.5,307.4
239,-4.384533,3631.5,292.1
240,8.627572,2934.5,372.0
241,6.482226,5229.6,341.4
242,17.993395,4017.4,400.5
243,-8.893434,1323.4,230.7
244,21.861866,5368.0,398.2
245,4.010271,3049.3,354.2
246,21.477647,7171.7,368.8
247,33.250594,5668.8,378.7
248,34.804982,5529.3,377.6
249,1.12616,6692.8,269.7
250,9.438115,2193.7,379.5
251,-3.032629,2136.5,338.3
252,-3.372348,4055.0,343.6
253,-3.353456,1041.5,330.1
254,-10.618274,5702.9,340.4
255,-10.39353,3092.0,311.7
256,-2.388536,3629.8,379.5
257,21.482986,7922.6,399.1
258,23.131394,3799.6,373.9
259,-5.438236,5499.0,367.3
260,-15.851767,2024.9,325.0
261,4.092653,5760.3,338.5
262,0.442888,1388.1,379.4
263,-5.288945,1123.8,391.0
264,-6.856782,2804.9,303.4
265,8.371998,1125.3,373.7
266,27.085908,5646.4,366.7
267,25.447332,10713.6,405.8
268,0.024076,3784.1,387.8
269,3.682861,6081.5,372.9
270,-6.199082,3027.0,387.5
271,-5.187131,1101.5,377.0
272,-0.088067,4550.6,383.4
273,-4.388439,2209.7,404.3
274,-0.094423,5714.0,324.1
275,7.083255,2037.0,381.0
276,8.355206,3248.9,411.9
277,0.481572,1502.7,391.8
278,52.417736,8073.5,337.8
279,-0.236893,4089.5,408.7
280,30.0923,7878.5,371.2
281,-4.830339,4991.7,364.9
282,-8.622597,990.8,403.4
283,-5.875275,2694.5,355.4
284,-7.53779,1626.1,385.7
285,-2.015815,1292.5,361.1
286,-0.399541,3845.5,422.0
287,5.288464,4022.1,382.5
288,-2.936161,4761.6,340.9
289,-9.683299,1052.6,395.4
290,4.779915,2201.5,398.7
291,-8.403325,1215.6,409.7
292,-5.892133,3084.4,368.8
293,12.734276,4803.0,448.5
294,30.823611,6490.0,376.6
295,1.438882,1505.9,405.8
296,23.76815,8058.4,373.3
297,17.811089,5614.2,371.2
298,-9.292401,1831.1,364.2
299,-10.607938,5997.3,356.5
300,-6.141733,4013.5,394.3
301,3.90403,4200.5,389.3
302,-9.523704,930.4,360.7
303,-4.605073,9833.5,325.5
304,2.944092,3609.2,434.0
305,-13.457449,987.0,320.3
306,7.805586,6251.5,378.4
307,4.813558,3110.7,384.4
308,-1.360867,2979.9,371.8
309,17.450883,4226.6,406.2
310,-5.497127,2254.8,358.8
311,-6.24407,2298.1,373.9
312,-11.5088,4711.9,347.6
313,11.111555,3032.9,413.3
314,-10.28289,3805.0,367.8
315,17.725366,6538.4,421.4
316,-9.504416,2647.2,317.6
317,2.366774,3775.4,354.0
318,-5.385595,4351.3,344.5
319,1.215351,2167.4,413.9
320,-10.570204,2508.9,301.0
321,2.61588,3350.6,393.3
322,-19.185366,4520.6,342.3
323,-14.304979,1136.5,343.2
324,6.428791,5591.3,393.9
325,-11.280664,1017.9,345.3
326,4.150456,8120.6,327.2
327,-4.762774,5256.2,347.5
328,-0.580759,1397.8,410.8
329,33.790503,4742.4,376.4
330,41.423233,6576.4,404.2
331,37.256344,5347.1,383.9
332,27.564994,6895.6,427.6
333,18.109167,3694.2,421.9
334,-8.953606,5467.3,330.3
335,9.125114,2553.8,462.9
336,-4.736723,1491.4,384.9
337,12.561909,6626.1,407.7
338,-3.814092,2860.1,359.3
339,16.826614,8877.2,446.6
340,-9.448635,2800.9,333.8
341,-11.079777,3436.0,301.3
342,2.967093,6307.2,380.8
343,-10.29789,5148.1,299.4
344,-12.407988,2747.9,305.9
345,52.971014,7291.2,365.5
346,22.25474,8160.5,419.0
347,6.07404,2018.2,415.6
348,13.49758,8105.2,407.9
349,-10.899795,4264.4,317.9
350,2.060307,5257.7,398.7
351,0.737594,4012.8,395.2
352,-3.517069,1403.3,388.3
353,-12.863384,1626.0,357.3
354,-14.880296,1448.9,347.2
355,44.387703,8892.6,421.8
356,-10.763871,3872.3,329.0
357,-8.129278,3237.7,394.9
358,-6.013013,4673.9,372.9
359,-7.85867,3293.6,338.0
360,13.104375,5156.4,449.5
361,26.727503,6161.7,411.2
362,20.211449,7636.9,423.4
363,4.308046,5456.2,357.7
364,35.927472,4455.0,376.7
365,1.854933,4105.3,351.0
366,3.77751,1483.1,454.8
367,-5.024361,6834.6,356.2
368,17.907457,3660.2,461.5
369,-5.73835,3367.3,359.8
370,21.609108,6933.9,433.1
371,6.234386,2781.2,440.0
372,1.777398,3353.2,403.5
373,-1.226362,5229.7,342.2
374,6.055879,5757.3,410.5
375,-9.292063,4155.9,334.0
376,-7.597693,5398.6,356.1
377,-10.904742,5006.6,348.0
378,-3.053588,813.6,442.0
379,7.363528,4721.0,383.0
380,2.860615,1852.5,420.8
381,28.50394,6320.8,449.2
382,14.209449,3783.9,460.7
383,-6.671727,4962.5,382.0
384,4.589573,5239.3,384.3
385,-3.558727,920.3,400.1
386,-2.565757,4929.4,412.4
387,4.24263,7510.2,384.0
388,4.925782,2891.6,434.7
389,1.059079,7881.3,373.9
390,-7.462921,1803.5,366.5
391,6.200023,3479.6,427.2
392,7.578212,3035.2,450.7
393,16.401823,7492.0,427.8
394,-0.787715,7679.9,373.2
395,-12.629929,2422.8,383.8
396,36.547644,6469.1,413.6
397,-8.367848,2883.2,393.5
398,0.760189,7264.4,386.8
399,2.72032,6930.4,427.4
400,-16.975305,3124.6,368.8
401,-12.334089,3831.3,368.6
402,18.359912,4626.2,429.4
403,51.673717,7050.8,339.8
404,3.51342,2003.2,423.5
405,-0.738931,1957.0,411.2
406,0.059078,1814.7,440.7
407,-2.816782,5135.7,397.0
408,-2.008844,1032.9,425.6
409,-12.367401,2514.8,356.9
410,-5.686729,4787.7,361.9
411,-4.516943,4648.1,372.2
412,2.498299,5908.4,401.2
413,33.421461,6810.9,422.8
414,1.231939,6608.0,383.7
415,-8.272738,4060.1,363.9
416,-7.50225,3981.4,403.3
417,-8.597365,3264.1,360.5
418,2.506293,4793.0,401.7
419,12.111635,5001.5,427.9
420,-4.677852,8642.2,381.4
421,-13.054756,1004.9,363.5
422,29.560921,9139.6,411.6
423,-3.977439,1006.1,406.6
424,-6.622057,8200.3,334.0
425,-3.59851,7106.6,351.0
426,-2.704353,4475.1,360.0
427,-4.515043,9214.1,340.3
428,-7.125125,3800.0,366.4
429,57.243711,7361.2,333.8
430,12.363252,6345.8,419.3
431,-9.206028,6994.1,346.2
432,8.571736,8735.9,392.8
433,-4.65287,4552.7,315.6
434,-16.578872,2353.6,349.2
435,-17.441041,898.9,312.8
436,7.961947,4646.9,415.3
437,6.013043,2927.3,421.4
438,-7.250356,2191.0,350.2
439,-11.781229,2605.0,370.6
440,-5.801813,847.3,390.4
441,11.658095,3784.2,414.5
442,-8.126661,4280.1,381.8
443,-1.078161,5742.2,350.4
444,-7.605485,5247.8,374.6
445,36.601448,6417.5,391.8
446,-9.797613,1427.9,348.9
447,-6.131537,3142.2,376.5
448,-4.546901,2945.4,388.8
449,-7.880752,2251.1,378.4
450,-8.576755,2785.6,372.2
451,-4.639896,3763.6,343.7
452,-13.331773,1772.2,302.2
453,-5.685854,4709.8,382.9
454,-5.436979,5311.3,349.6
455,6.075212,3741.9,399.0
456,-3.606391,8528.4,381.5
457,-6.283371,2948.5,334.4
458,43.758337,7112.9,407.2
459,5.554291,5993.0,392.4
460,-1.365396,4632.9,366.6
461,3.824785,6364.8,346.7
462,-1.72287,718.7,376.4
463,-10.034456,4177.5,317.4
464,10.848097,8758.8,394.7
465,-10.078187,4601.0,351.1
466,-7.956929,2768.6,347.4
467,13.393083,6278.4,424.2
468,11.428034,6648.2,384.0
469,10.085011,3046.1,423.3
470,-7.441133,4642.2,330.4
471,19.094739,3710.9,413.6
472,-5.158587,1780.1,416.3
473,-13.720463,3700.6,336.3
474,-12.499766,921.4,321.8
475,-3.186803,8545.3,338.6
476,25.297763,7738.8,411.2
477,-4.9278,3647.4,374.7
478,-2.049708,1256.0,387.4
479,29.901517,3477.0,323.8
480,-6.629706,7910.8,376.1
481,-12.678354,3876.0,295.5
482,32.653669,5983.6,344.8
483,1.278464,3586.3,403.2
484,2.05727,1248.6,413.7
485,2.988029,4128.0,385.1
486,-4.443543,3070.7,329.6
487,-7.536463,5296.8,278.0
488,-8.131797,5626.6,321.3
489,20.155959,4855.7,386.5
490,17.526227,6058.5,432.6
491,4.984769,1880.0,374.0
492,-13.618846,4109.8,372.0
493,4.558013,11162.5,385.7
494,-17.503173,1224.2,335.6
495,13.3299,4200.7,377.5
496,-5.897739,3481.1,387.0
497,-9.495396,5346.7,367.5
498,2.691365,5109.4,414.0
499,0.277414,3785.0,357.2
500,-6.759087,4114.5,325.7
501,2.364601,8839.3,310.8
502,-5.817464,3754.2,295.9
503,5.931486,8710.8,395.6
504,16.323548,4214.3,454.7
505,2.851462,4141.9,339.7
506,-14.288039,2465.9,347.9
507,9.43297,8927.5,418.7
508,-0.13253,4041.7,402.6
509,-8.001911,10095.4,361.6
510,10.474741,3435.0,398.2
511,-11.905233,1262.0,354.2
512,-10.841536,5581.5,356.3
513,-5.230776,2343.1,419.4
514,0.35844,1268.7,398.1
515,0.410327,1110.8,365.2
516,9.985411,2934.0,419.0
517,11.705285,2700.7,419.9
518,-6.681608,4448.0,330.3
519,-9.1808,1712.7,404.6
520,24.412106,3157.0,324.1
521,-9.820114,6984.1,354.3
522,14.215256,4598.0,401.5
523,21.58232,8142.7,390.6
524,22.821446,4491.3,386.6
525,3.946996,2791.2,413.8
526,25.503093,3953.0,368.3
527,8.054309,2582.5,400.5
528,-1.090038,3570.6,369.5
529,29.404285,5014.1,381.8
530,-0.202182,2278.1,403.2
531,-5.364469,4298.1,350.0
532,7.855636,3993.9,386.6
533,-9.343053,4236.8,334.2
534,9.911876,3262.6,366.2
535,19.902946,4095.4,367.8
536,29.827705,4174.3,321.7
537,-3.187113,1042.5,359.9
538,-7.784167,7194.3,313.1
539,-11.961593,3069.5,356.4
540,17.721846,3430.0,342.7
541,4.278836,1838.6,398.2
542,-14.170069,4228.0,341.0
543,-7.628921,1718.4,379.1
544,8.11752,6116.9,365.5
545,-12.542847,5427.9,352.1
546,-8.089342,1847.5,353.2
547,-10.117169,944.7,393.2
548,-7.36761,3914.7,392.8
549,-9.519813,6701.9,365.7
550,-6.631868,7005.4,325.7
551,11.013062,4880.3,377.9
552,8.68445,1900.0,378.6
553,-4.922264,2498.9,363.9
554,-3.580498,1958.8,373.4
555,15.099511,4843.6,391.9
556,-14.66093,2610.6,351.8
557,17.39311,6019.2,382.7
558,3.914418,5700.3,381.9
559,1.584467,3174.9,393.3
560,-5.617167,6745.3,309.3
561,-9.190819,1454.5,372.8
562,-3.671494,3894.0,375.0
563,20.853809,2979.6,258.8
564,-2.889723,5394.9,396.8
565,17.554224,4636.9,379.8
566,0.197283,6522.9,391.7
567,-4.955521,1971.3,416.7
568,-9.431122,4355.7,358.6
569,-2.831898,1153.8,387.6
570,1.489726,2801.7,421.6
571,-2.792658,2450.0,364.9
572,6.373078,2661.8,392.1
573,2.661499,4615.5,382.0
574,12.79164,4420.5,398.2
575,9.924582,3056.7,393.0
576,5.037433,6641.7,424.3
577,-1.405397,7376.4,394.0
578,5.455263,2200.8,388.4
579,0.363489,1654.8,367.2
580,-1.417032,5114.1,403.7
581,14.89351,6511.3,441.2
582,-1.01908,0.0,136.0
583,-11.354643,2010.6,328.1
584,-8.167293,5917.3,422.6
585,1.503611,1926.4,379.5
